Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3up18t49bq8thej74h5lgf0us,2026-05-23 19:00:00,4dtdjgnpdq9uw4sdutti0vaar,True,False,False,True,False,ALA,ALA,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,L 1-2,Enrique Sánchez Flores,13.0,166.0,41.0%,51.3%,13.0,19.0,4.0,36.0,46,55.2%,44.2%,49.1%,30,20.0,54.0,4.0,54,13.0,45,0.0,49.6%,5.0,11.0,1.0,58.0,92.0,127.0,86.0,75.0,219,10.0,1.0,0.0,0.0,42.6%,147,1.63,42.3%,20.0,13.0,1.0,2.0,279.0,33.1,16.0,-,13.0%,13.0%,26.1%,57.4%,27.2,42.6%,19.0,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3tkk80csb0shs70l1ucy03uok,2026-05-17 17:00:00,4dtdjgnpdq9uw4sdutti0vaar,False,True,True,False,False,ALA,ALA,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,W 1-0,Enrique Sánchez Flores,14.0,95.0,30.3%,36.4%,11.0,19.0,7.0,16.0,26,34.1%,28.5%,53.6%,20,7.0,27.0,0.0,27,4.0,24,1.0,48.6%,5.0,6.0,0.0,86.0,152.0,141.0,134.0,73.0,293,8.0,1.0,0.0,0.0,39.4%,97,1.06,54.3%,35.0,11.0,2.0,1.0,114.0,31.4,11.0,-,25.0%,12.5%,37.5%,51.8%,19.2,39.4%,7.0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3n65mnr76iym0yv9wmk1ug6c4,2026-05-13 19:30:00,4dtdjgnpdq9uw4sdutti0vaar,True,False,True,False,False,ALA,ALA,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,W 1-0,Enrique Sánchez Flores,20.0,94.0,16.0%,20.0%,8.0,24.0,2.0,19.0,20,22.7%,25.4%,57.5%,13,9.0,23.0,3.0,23,6.0,16,1.0,56.9%,7.0,4.0,0.0,112.0,220.0,148.0,189.0,67.0,368,14.0,1.0,0.0,0.0,54.7%,104,0.72,58.6%,25.0,7.0,0.0,1.0,67.0,30.3,12.0,-,11.8%,0.0%,70.6%,46.2%,20.1,54.7%,9.0,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3logguenlwy065aa7gb1hf3tg,2026-05-09 12:00:00,4dtdjgnpdq9uw4sdutti0vaar,False,True,False,False,True,ALA,ALA,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,D 1-1,Enrique Sánchez Flores,28.0,119.0,25.0%,25.0%,13.0,23.0,2.0,22.0,44,32.1%,40.3%,55.4%,26,15.0,39.0,5.0,39,10.0,21,0.0,56.8%,11.0,8.0,0.0,125.0,196.0,116.0,128.0,59.0,312,11.0,1.0,0.0,0.0,42.5%,107,2.05,48.8%,36.0,21.0,0.0,2.0,187.0,31.8,20.0,-,9.1%,9.1%,45.5%,25.6%,20.4,42.5%,12.0,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3getgrlqh307l5da5tutqt3pw,2026-05-02 16:30:00,4dtdjgnpdq9uw4sdutti0vaar,True,False,False,True,False,ALA,ALA,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,L 2-4,Enrique Sánchez Flores,19.0,144.0,40.0%,53.3%,14.0,20.0,5.0,38.0,49,45.7%,54.1%,59.4%,38,14.0,56.0,5.0,56,5.0,40,0.0,57.8%,7.0,8.0,0.0,100.0,171.0,116.0,123.0,64.0,287,9.0,1.0,0.0,1.0,37.3%,150,0.49,50.7%,33.0,22.0,2.0,2.0,300.0,32.1,17.0,-,4.0%,12.0%,28.0%,40.9%,26.3,37.3%,7.0,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),38dsrz394cwn8gbxbm6ahnllg,2026-04-25 12:00:00,4dtdjgnpdq9uw4sdutti0vaar,True,False,True,False,False,ALA,ALA,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,W 2-1,Enrique Sánchez Flores,16.0,178.0,35.0%,37.5%,17.0,14.0,5.0,59.0,70,61.7%,42.6%,48.6%,29,15.0,54.0,4.0,54,13.0,25,0.0,57.0%,2.0,11.0,0.0,53.0,105.0,118.0,105.0,65.0,223,4.0,1.0,0.0,1.0,37.8%,151,1.22,53.1%,33.0,24.0,2.0,1.0,254.0,30.9,11.0,-,5.3%,5.3%,42.1%,46.2%,28.5,37.8%,15.0,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3e4k0muk9qdqz748em5e5dtzo,2026-04-21 19:30:00,4dtdjgnpdq9uw4sdutti0vaar,False,True,False,True,False,ALA,ALA,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186.0,L 1-2,Enrique Sánchez Flores,44.0,170.0,20.0%,23.3%,8.0,25.0,3.0,41.0,60,37.1%,43.4%,51.9%,33,17.0,62.0,6.0,62,16.0,53,0.0,54.9%,3.0,18.0,0.0,135.0,224.0,127.0,152.0,64.0,351,12.0,1.0,0.0,0.0,36.6%,146,1.76,45.7%,29.0,20.0,1.0,2.0,213.0,25.5,7.0,-,8.3%,4.2%,45.8%,7.5%,22.4,36.6%,19.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),36vy9cu402k8m0goxchkpmpzo,2026-04-11 12:00:00,4dtdjgnpdq9uw4sdutti0vaar,False,True,False,False,True,ALA,ALA,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,D 3-3,Enrique Sánchez Flores,20.0,155.0,24.2%,27.3%,21.0,32.0,4.0,45.0,63,47.8%,45.0%,55.3%,24,14.0,52.0,6.0,52,10.0,59,0.0,53.5%,7.0,10.0,0.0,84.0,184.0,146.0,181.0,65.0,330,7.0,3.0,0.0,0.0,39.1%,166,1.04,43.1%,29.0,18.0,2.0,3.0,337.0,31.6,11.0,-,24.1%,10.3%,17.2%,17.5%,21.2,39.1%,12.0,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),31mkjysd2ypln9u9s88ge8qhg,2026-04-05 19:00:00,4dtdjgnpdq9uw4sdutti0vaar,True,False,False,False,True,ALA,ALA,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,D 2-2,Enrique Sánchez Flores,9.0,160.0,38.5%,50.0%,14.0,16.0,0.0,41.0,39,55.6%,42.9%,48.8%,27,14.0,45.0,2.0,45,11.0,39,1.0,57.0%,3.0,6.0,0.0,61.0,123.0,143.0,113.0,92.0,266,3.0,2.0,0.0,0.0,34.4%,128,2.07,60.5%,18.0,14.0,3.0,4.0,200.0,27.8,11.0,-,14.3%,10.7%,28.6%,21.6%,33.5,34.4%,18.0,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3036nph9xhmltiks40aso8lck,2026-03-22 15:15:00,4dtdjgnpdq9uw4sdutti0vaar,False,True,True,False,False,ALA,ALA,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,W 4-3,Enrique Sánchez Flores,31.0,173.0,28.0%,32.0%,17.0,15.0,10.0,38.0,42,46.9%,43.4%,49.8%,46,32.0,84.0,8.0,84,7.0,38,1.0,52.8%,9.0,7.0,1.0,93.0,160.0,134.0,122.0,79.0,294,7.0,4.0,0.0,0.0,34.7%,140,1.94,53.1%,23.0,19.0,3.0,3.0,289.0,32.5,14.0,-,9.4%,25.0%,18.8%,26.7%,22.8,34.7%,14.0,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
