Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3xq4alyjtlltd6j11gckoxvkk,2026-05-23 19:00:00,agh9ifb2mw3ivjusgedj7c3fe,False,True,False,True,False,BAR,BAR,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,L 1-3,Hansi Flick,26.0,153.0,26.7%,43.3%,15.0,15.0,1.0,63.0,71,75.1%,76.1%,56.6%,41,16.0,62.0,6.0,62,8.0,45,0.0,48.8%,0.0,8.0,0.0,61.0,87.0,69.0,53.0,42.0,156,9.0,1.0,0.0,0.0,24.4%,167,1.18,56.6%,26.0,21.0,4.0,4.0,549.0,31.3,11.0,-,10.3%,3.4%,13.8%,31.6%,41.4,24.4%,11.0,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3rpa9gg887sphjnou8h1uv6s4,2026-05-17 19:15:00,agh9ifb2mw3ivjusgedj7c3fe,True,False,True,False,False,BAR,BAR,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,W 3-1,Hansi Flick,18.0,204.0,23.3%,46.7%,21.0,18.0,7.0,70.0,87,64.5%,61.6%,54.8%,51,16.0,84.0,11.0,84,11.0,92,1.0,51.6%,9.0,6.0,1.0,65.0,109.0,145.0,102.0,87.0,254,6.0,2.0,0.0,1.0,26.7%,188,1.12,60.0%,18.0,19.0,1.0,2.0,550.0,32.1,20.0,-,4.0%,8.0%,16.0%,76.9%,30.6,26.7%,15.0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3n65mnr76iym0yv9wmk1ug6c4,2026-05-13 19:30:00,agh9ifb2mw3ivjusgedj7c3fe,False,True,False,True,False,BAR,BAR,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,L 0-1,Hansi Flick,17.0,197.0,35.3%,44.1%,18.0,14.0,4.0,99.0,94,77.3%,74.6%,48.5%,40,31.0,77.0,6.0,77,8.0,101,0.0,57.4%,1.0,7.0,1.0,54.0,88.0,75.0,61.0,48.0,163,4.0,0.0,0.0,0.0,27.7%,187,0.6,60.0%,34.0,24.0,4.0,2.0,527.0,35.4,26.0,-,5.3%,18.4%,10.5%,24.1%,37.1,27.7%,8.0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3kigmlbqhunbi6gixcr7cz6z8,2026-05-10 19:00:00,agh9ifb2mw3ivjusgedj7c3fe,True,False,True,False,False,BAR,BAR,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186.0,W 2-0,Hansi Flick,21.0,112.0,21.7%,30.4%,17.0,9.0,7.0,49.0,50,63.8%,52.6%,59.5%,53,14.0,74.0,7.0,74,7.0,33,0.0,53.6%,6.0,5.0,0.0,45.0,94.0,125.0,106.0,68.0,219,6.0,1.0,0.0,1.0,28.2%,149,1.01,46.8%,21.0,18.0,1.0,0.0,428.0,28.0,11.0,-,4.8%,4.8%,14.3%,86.1%,32.8,28.2%,10.0,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3j0vwkubszbtkr21f7upb4il0,2026-05-02 19:00:00,agh9ifb2mw3ivjusgedj7c3fe,False,True,True,False,False,BAR,BAR,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,W 2-1,Hansi Flick,23.0,281.0,33.3%,40.7%,13.0,12.0,9.0,84.0,77,74.7%,62.4%,40.7%,30,25.0,85.0,11.0,85,9.0,110,1.0,53.2%,6.0,2.0,0.0,59.0,119.0,113.0,95.0,78.0,232,2.0,1.0,1.0,0.0,26.8%,177,1.29,55.8%,41.0,24.0,1.0,6.0,559.0,34.3,14.0,-,8.3%,5.6%,16.7%,47.5%,34.7,26.8%,13.0,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3apuzcf26kfvpej8uc98l2n10,2026-04-25 14:15:00,agh9ifb2mw3ivjusgedj7c3fe,False,True,True,False,False,BAR,BAR,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,W 2-0,Hansi Flick,10.0,149.0,42.9%,47.6%,13.0,11.0,5.0,65.0,93,71.1%,76.0%,53.4%,38,17.0,76.0,10.0,76,11.0,68,0.0,42.6%,6.0,3.0,1.0,40.0,73.0,72.0,71.0,34.0,145,9.0,2.0,0.0,0.0,25.4%,156,1.79,65.5%,38.0,20.0,2.0,2.0,460.0,32.8,18.0,-,3.8%,7.7%,7.7%,65.1%,34.8,25.4%,13.0,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3cmwlyivmqd5wesvf6o13mtjo,2026-04-22 19:30:00,agh9ifb2mw3ivjusgedj7c3fe,True,False,True,False,False,BAR,BAR,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,W 1-0,Hansi Flick,11.0,219.0,33.3%,33.3%,24.0,12.0,3.0,73.0,69,65.9%,55.7%,48.4%,62,24.0,120.0,14.0,120,7.0,111,0.0,56.9%,8.0,4.0,0.0,74.0,130.0,139.0,114.0,81.0,269,2.0,1.0,0.0,0.0,23.8%,169,1.3,55.7%,30.0,23.0,2.0,0.0,541.0,34.5,29.0,-,16.7%,8.3%,4.2%,69.2%,36.6,23.8%,10.0,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),35cufmoxi0kf40kxn49gj71g4,2026-04-11 16:30:00,agh9ifb2mw3ivjusgedj7c3fe,True,False,True,False,False,BAR,BAR,c8llrezkm3b3op4afrou6b487,ESP,ESP,177.0,W 4-1,Hansi Flick,21.0,174.0,35.3%,44.1%,15.0,14.0,5.0,60.0,103,79.7%,72.8%,54.0%,37,17.0,73.0,6.0,73,12.0,59,1.0,56.0%,0.0,4.0,1.0,47.0,77.0,105.0,77.0,58.0,182,9.0,3.0,0.0,1.0,23.8%,174,2.73,69.7%,36.0,30.0,1.0,0.0,571.0,35.2,25.0,-,12.5%,9.4%,12.5%,88.8%,41.3,23.8%,20.0,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),31zxsexwgw81km23uib95otuc,2026-04-04 19:00:00,agh9ifb2mw3ivjusgedj7c3fe,False,True,True,False,False,BAR,BAR,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,W 2-1,Hansi Flick,13.0,297.0,37.1%,42.9%,22.0,13.0,2.0,81.0,81,80.0%,54.0%,40.7%,34,21.0,76.0,10.0,76,17.0,117,0.0,56.1%,2.0,3.0,0.0,37.0,72.0,119.0,73.0,81.0,191,3.0,2.0,0.0,0.0,24.7%,156,2.52,58.5%,16.0,17.0,1.0,2.0,492.0,32.9,41.0,-,10.5%,10.5%,15.8%,37.6%,44.2,24.7%,22.0,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2y7mqtoumr3710vgfit7046j8,2026-03-22 13:00:00,agh9ifb2mw3ivjusgedj7c3fe,True,False,True,False,False,BAR,BAR,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,W 1-0,Hansi Flick,20.0,147.0,41.9%,48.4%,23.0,20.0,6.0,46.0,68,62.8%,58.4%,55.0%,35,15.0,61.0,8.0,61,10.0,47,1.0,46.7%,9.0,6.0,0.0,50.0,102.0,118.0,100.0,70.0,220,5.0,1.0,0.0,0.0,30.6%,148,1.39,61.2%,40.0,29.0,1.0,1.0,373.0,34.2,38.0,-,14.8%,0.0%,25.9%,77.0%,27.0,30.6%,15.0,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
