Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3y3gz2ufpcbu5vkgph7jyg74k,2026-05-23 19:00:00,4yg9ttzw0m51048doksv8uq5r,False,True,False,False,True,ELC,ELC,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,D 1-1,Jon Lopez,25.0,125.0,32.7%,40.8%,14.0,19.0,5.0,24.0,36,45.9%,42.9%,55.9%,25,14.0,41.0,0.0,41,1.0,42,0.0,54.1%,6.0,9.0,0.0,86.0,133.0,130.0,83.0,94.0,263,6.0,0.0,1.0,0.0,43.9%,143,0.18,61.0%,34.0,12.0,1.0,3.0,149.0,34.3,16.0,-,11.1%,11.1%,38.9%,27.3%,22.8,43.9%,3.0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3s2q5sph3bm3auk1b8odb493o,2026-05-17 17:00:00,4yg9ttzw0m51048doksv8uq5r,True,False,True,False,False,ELC,ELC,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,W 1-0,Jon Lopez,10.0,154.0,51.4%,54.3%,12.0,21.0,4.0,34.0,53,56.3%,61.2%,56.9%,30,19.0,49.0,5.0,49,8.0,27,0.0,51.1%,4.0,4.0,0.0,47.0,98.0,90.0,86.0,55.0,188,3.0,1.0,0.0,0.0,33.3%,138,0.66,50.7%,48.0,12.0,2.0,2.0,283.0,36.2,26.0,-,24.0%,16.0%,20.0%,84.0%,26.0,33.3%,10.0,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3njoj8cm40koxt8u94a1h3yfo,2026-05-12 18:00:00,4yg9ttzw0m51048doksv8uq5r,False,True,False,True,False,ELC,ELC,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,L 1-2,Eder Sarabia,38.0,168.0,33.3%,40.0%,17.0,19.0,3.0,57.0,69,56.1%,53.6%,51.4%,39,15.0,70.0,5.0,70,4.0,59,0.0,45.8%,6.0,11.0,0.0,71.0,117.0,125.0,105.0,66.0,242,10.0,0.0,0.0,1.0,30.5%,165,0.4,55.4%,21.0,18.0,2.0,4.0,355.0,31.6,27.0,-,23.1%,11.5%,15.4%,13.2%,31.3,30.5%,8.0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3logguenlwy065aa7gb1hf3tg,2026-05-09 12:00:00,4yg9ttzw0m51048doksv8uq5r,True,False,False,False,True,ELC,ELC,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,D 1-1,Eder Sarabia,23.0,220.0,20.0%,33.3%,19.0,18.0,2.0,53.0,91,67.9%,59.7%,44.1%,30,21.0,70.0,2.0,70,13.0,66,0.0,53.8%,4.0,4.0,1.0,64.0,107.0,80.0,81.0,42.0,187,8.0,1.0,0.0,0.0,31.4%,145,1.39,53.0%,44.0,42.0,3.0,3.0,371.0,36.1,17.0,-,31.4%,5.7%,2.9%,34.5%,29.6,31.4%,16.0,31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3h5n4m7klbnl9dx9yx9w5zk7o,2026-05-03 12:00:00,4yg9ttzw0m51048doksv8uq5r,False,True,False,True,False,ELC,ELC,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,L 1-3,Eder Sarabia,14.0,215.0,37.5%,50.0%,17.0,12.0,5.0,54.0,81,74.0%,58.6%,44.2%,56,23.0,104.0,15.0,104,10.0,99,0.0,56.0%,11.0,3.0,0.0,56.0,103.0,126.0,100.0,73.0,229,4.0,1.0,0.0,0.0,27.9%,166,1.71,54.1%,21.0,22.0,4.0,2.0,375.0,39.2,24.0,-,18.8%,9.4%,12.5%,8.1%,29.5,27.9%,15.0,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3bihehy0y8mtxizg74rkkuh3o,2026-04-26 14:15:00,4yg9ttzw0m51048doksv8uq5r,False,True,True,False,False,ELC,ELC,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,W 2-1,Eder Sarabia,19.0,103.0,32.1%,39.3%,19.0,10.0,3.0,21.0,22,40.9%,38.4%,54.5%,29,14.0,41.0,1.0,41,1.0,35,1.0,50.6%,5.0,8.0,0.0,88.0,148.0,107.0,117.0,50.0,255,9.0,1.0,1.0,0.0,37.8%,115,0.4,62.2%,44.0,8.0,1.0,4.0,138.0,31.1,22.0,-,11.8%,11.8%,47.1%,75.3%,23.5,37.8%,4.0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ehzlcos9xo56ol70wttwmu50,2026-04-22 17:00:00,4yg9ttzw0m51048doksv8uq5r,True,False,True,False,False,ELC,ELC,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,W 3-2,Eder Sarabia,8.0,335.0,30.6%,38.9%,14.0,15.0,4.0,87.0,99,81.4%,57.7%,34.8%,23,24.0,74.0,11.0,74,10.0,133,1.0,47.6%,1.0,6.0,0.0,30.0,88.0,108.0,86.0,80.0,196,6.0,3.0,0.0,0.0,26.6%,174,2.78,66.7%,32.0,34.0,1.0,4.0,424.0,34.4,18.0,-,6.3%,3.1%,18.8%,65.8%,34.3,26.6%,14.0,33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),363nbiu36arb8us8vuxlizqc4,2026-04-11 14:15:00,4yg9ttzw0m51048doksv8uq5r,True,False,True,False,False,ELC,ELC,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,W 1-0,Eder Sarabia,30.0,139.0,17.2%,20.7%,20.0,18.0,1.0,42.0,58,57.5%,56.5%,56.3%,21,13.0,43.0,8.0,43,5.0,42,0.0,49.3%,9.0,5.0,0.0,71.0,118.0,114.0,103.0,58.0,232,10.0,1.0,0.0,0.0,32.1%,142,0.71,62.5%,35.0,27.0,1.0,2.0,299.0,32.4,19.0,-,20.0%,16.0%,40.0%,55.3%,25.9,32.1%,7.0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),30u02n6fw3bxc2lk51wv1cowk,2026-04-03 19:00:00,4yg9ttzw0m51048doksv8uq5r,False,True,False,True,False,ELC,ELC,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,L 0-1,Eder Sarabia,27.0,133.0,21.2%,27.3%,10.0,18.0,1.0,23.0,28,37.4%,46.1%,58.8%,19,13.0,36.0,4.0,36,9.0,34,0.0,39.7%,3.0,6.0,0.0,79.0,129.0,105.0,82.0,73.0,234,12.0,0.0,0.0,0.0,42.4%,122,0.39,57.7%,37.0,12.0,3.0,0.0,171.0,29.2,24.0,-,25.0%,16.7%,16.7%,16.1%,28.2,42.4%,9.0,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2yl5s151fw9kjhq3j3dx1g2l0,2026-03-21 13:00:00,4yg9ttzw0m51048doksv8uq5r,True,False,True,False,False,ELC,ELC,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,W 2-1,Eder Sarabia,28.0,135.0,31.3%,40.6%,21.0,20.0,1.0,30.0,60,40.9%,52.8%,58.6%,43,15.0,64.0,12.0,64,8.0,25,0.0,54.8%,7.0,11.0,0.0,102.0,171.0,138.0,131.0,76.0,309,5.0,2.0,0.0,0.0,35.3%,124,1.6,59.3%,53.0,19.0,1.0,2.0,262.0,30.6,23.0,-,20.8%,12.5%,16.7%,54.8%,21.8,35.3%,13.0,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
