Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3vur4jhid3p73hq5qz0t48bv8,2026-05-23 19:00:00,c8llrezkm3b3op4afrou6b487,True,False,False,False,True,ESP,ESP,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,D 1-1,José Manuel González Álvarez,13.0,105.0,40.6%,43.8%,17.0,22.0,4.0,40.0,51,44.0%,53.4%,60.9%,58,17.0,77.0,7.0,77,7.0,34,0.0,53.2%,7.0,6.0,0.0,66.0,140.0,131.0,136.0,69.0,271,6.0,1.0,0.0,0.0,36.0%,146,2.41,56.1%,34.0,12.0,1.0,5.0,285.0,32.0,24.0,-,29.6%,14.8%,7.4%,23.4%,21.6,36.0%,17.0,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ty1scc4fcein2b664ssgnwus,2026-05-17 17:00:00,c8llrezkm3b3op4afrou6b487,False,True,True,False,False,ESP,ESP,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,W 2-1,José Manuel González Álvarez,52.0,78.0,31.3%,34.4%,13.0,14.0,1.0,18.0,35,25.4%,38.8%,68.7%,33,9.0,42.0,1.0,42,3.0,15,2.0,52.9%,5.0,2.0,0.0,119.0,201.0,110.0,135.0,57.0,311,8.0,2.0,0.0,0.0,45.2%,114,0.78,52.8%,43.0,10.0,2.0,3.0,137.0,33.5,13.0,-,29.4%,5.9%,29.4%,44.6%,16.6,45.2%,7.0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3p1xhxrl565qq3x5swdj977dg,2026-05-13 17:00:00,c8llrezkm3b3op4afrou6b487,True,False,True,False,False,ESP,ESP,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,W 2-0,José Manuel González Álvarez,20.0,145.0,45.5%,59.1%,21.0,13.0,3.0,55.0,60,61.5%,64.1%,58.6%,30,20.0,50.0,6.0,50,7.0,42,1.0,59.3%,8.0,4.0,0.0,70.0,109.0,119.0,78.0,80.0,228,5.0,1.0,0.0,1.0,34.9%,172,0.75,52.1%,38.0,16.0,1.0,1.0,331.0,33.4,12.0,-,20.0%,16.7%,16.7%,59.2%,23.5,34.9%,12.0,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3mfg133s0kwtlbnaes34dxhxw,2026-05-09 14:15:00,c8llrezkm3b3op4afrou6b487,False,True,False,True,False,ESP,ESP,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179.0,L 1-2,José Manuel González Álvarez,34.0,88.0,27.0%,37.8%,16.0,19.0,1.0,15.0,25,34.5%,37.3%,57.0%,28,7.0,33.0,2.0,33,6.0,15,0.0,50.3%,11.0,10.0,1.0,80.0,153.0,150.0,142.0,81.0,303,8.0,1.0,0.0,0.0,55.7%,128,0.61,47.0%,27.0,12.0,3.0,3.0,107.0,31.4,13.0,-,27.3%,0.0%,36.4%,25.2%,21.9,55.7%,10.0,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3hj39lcguw2pwxyqlq86jqntg,2026-05-03 19:00:00,c8llrezkm3b3op4afrou6b487,True,False,False,True,False,ESP,ESP,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186.0,L 0-2,José Manuel González Álvarez,32.0,138.0,25.9%,29.6%,14.0,25.0,3.0,31.0,41,35.8%,32.1%,58.3%,17,10.0,28.0,1.0,28,14.0,45,0.0,47.8%,9.0,10.0,0.0,77.0,146.0,153.0,144.0,78.0,299,3.0,0.0,0.0,0.0,37.4%,114,1.21,53.3%,16.0,20.0,2.0,4.0,219.0,32.3,17.0,-,16.0%,32.0%,28.0%,18.1%,22.0,37.4%,17.0,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),394u1x6d00xy857x0kzh48oic,2026-04-27 19:00:00,c8llrezkm3b3op4afrou6b487,True,False,False,False,True,ESP,ESP,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855.0,D 0-0,José Manuel González Álvarez,13.0,116.0,35.1%,40.5%,18.0,10.0,6.0,36.0,43,50.6%,49.3%,59.7%,31,18.0,45.0,5.0,45,6.0,32,0.0,52.7%,5.0,5.0,0.0,58.0,108.0,141.0,105.0,86.0,249,9.0,0.0,0.0,0.0,37.4%,138,0.72,58.2%,31.0,12.0,2.0,4.0,274.0,33.0,15.0,-,11.1%,11.1%,22.2%,33.7%,23.5,37.4%,9.0,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3f8qbmbzrg2o195netsozsmxg,2026-04-23 18:00:00,c8llrezkm3b3op4afrou6b487,False,True,False,True,False,ESP,ESP,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,L 0-1,José Manuel González Álvarez,23.0,134.0,35.0%,40.0%,22.0,15.0,5.0,35.0,24,55.3%,43.1%,50.4%,25,10.0,38.0,2.0,38,8.0,40,0.0,48.4%,7.0,6.0,1.0,60.0,106.0,148.0,112.0,82.0,254,12.0,0.0,0.0,0.0,44.1%,130,1.96,49.1%,30.0,7.0,2.0,8.0,193.0,32.5,12.0,-,14.3%,14.3%,33.3%,17.7%,23.7,44.1%,15.0,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),35cufmoxi0kf40kxn49gj71g4,2026-04-11 16:30:00,c8llrezkm3b3op4afrou6b487,False,True,False,True,False,ESP,ESP,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,L 1-4,José Manuel González Álvarez,35.0,84.0,25.0%,29.2%,7.0,17.0,1.0,27.0,23,20.3%,27.2%,61.7%,28,7.0,41.0,6.0,41,8.0,17,0.0,51.7%,6.0,3.0,0.0,90.0,202.0,167.0,209.0,70.0,369,9.0,1.0,0.0,0.0,43.7%,87,1.13,33.8%,18.0,10.0,2.0,1.0,159.0,34.1,15.0,-,12.5%,12.5%,31.3%,3.8%,19.2,43.7%,10.0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),32dgfvl5v0zo942n2e2zihfdg,2026-04-04 16:30:00,c8llrezkm3b3op4afrou6b487,False,True,False,False,True,ESP,ESP,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,D 0-0,José Manuel González Álvarez,30.0,114.0,25.6%,30.8%,15.0,19.0,6.0,30.0,48,28.0%,33.0%,53.7%,29,15.0,43.0,2.0,43,4.0,35,0.0,57.1%,7.0,10.0,0.0,116.0,218.0,130.0,162.0,70.0,348,13.0,0.0,0.0,0.0,45.4%,127,0.25,52.5%,21.0,16.0,1.0,2.0,178.0,33.7,23.0,-,20.0%,20.0%,16.0%,11.2%,16.2,45.4%,8.0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2yypobxbbgweakpwxt4090v10,2026-03-21 15:15:00,c8llrezkm3b3op4afrou6b487,True,False,False,True,False,ESP,ESP,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,L 1-2,José Manuel González Álvarez,12.0,151.0,30.4%,41.3%,16.0,20.0,1.0,47.0,75,67.7%,62.5%,52.2%,33,20.0,51.0,5.0,51,13.0,32,0.0,48.3%,4.0,13.0,0.0,42.0,86.0,144.0,94.0,94.0,230,7.0,1.0,0.0,0.0,41.3%,179,1.81,60.3%,38.0,23.0,5.0,8.0,327.0,29.3,26.0,-,5.9%,11.8%,29.4%,27.1%,28.8,41.3%,15.0,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
