Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3w881304b6s154go90fihrjtg,2026-05-23 19:00:00,1n1j0wsl763lq7ee1k0c11c02,True,False,True,False,False,GET,GET,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,W 1-0,José Bordalás,15.0,117.0,51.7%,55.2%,14.0,11.0,1.0,19.0,23,53.0%,53.5%,57.2%,17,19.0,31.0,1.0,31,4.0,19,0.0,52.8%,6.0,6.0,0.0,57.0,91.0,108.0,72.0,70.0,199,7.0,1.0,0.0,0.0,45.3%,121,0.27,60.3%,39.0,8.0,4.0,2.0,155.0,32.4,14.0,-,26.9%,15.4%,38.5%,57.7%,23.0,45.3%,7.0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3s2q5sph3bm3auk1b8odb493o,2026-05-17 17:00:00,1n1j0wsl763lq7ee1k0c11c02,False,True,False,True,False,GET,GET,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,L 0-1,José Bordalás,9.0,92.0,39.5%,39.5%,8.0,24.0,1.0,21.0,29,43.7%,38.8%,58.5%,21,12.0,39.0,1.0,39,2.0,32,0.0,55.2%,6.0,6.0,0.0,85.0,132.0,137.0,116.0,68.0,269,7.0,0.0,0.0,0.0,42.8%,121,0.11,65.3%,41.0,11.0,3.0,3.0,133.0,30.3,16.0,-,23.5%,0.0%,35.3%,5.1%,17.4,42.8%,4.0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3oazgnn4to0s2xa8mtme8o36c,2026-05-13 19:30:00,1n1j0wsl763lq7ee1k0c11c02,True,False,True,False,False,GET,GET,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,W 3-1,José Bordalás,12.0,130.0,51.6%,54.8%,19.0,14.0,2.0,31.0,26,46.5%,35.7%,51.9%,32,12.0,50.0,5.0,50,3.0,26,0.0,50.9%,9.0,5.0,0.0,58.0,130.0,165.0,151.0,86.0,295,7.0,3.0,0.0,0.0,42.5%,133,1.58,61.8%,29.0,11.0,5.0,2.0,188.0,32.0,19.0,-,5.6%,11.1%,16.7%,81.3%,20.8,42.5%,6.0,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3msszbu4fc0okhk1cy6k7f09g,2026-05-10 16:30:00,1n1j0wsl763lq7ee1k0c11c02,False,True,False,False,True,GET,GET,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,D 0-0,José Bordalás,9.0,207.0,54.1%,59.5%,20.0,19.0,1.0,45.0,56,61.5%,47.9%,46.7%,22,14.0,46.0,1.0,46,15.0,45,0.0,55.0%,4.0,5.0,0.0,60.0,114.0,150.0,114.0,90.0,264,3.0,0.0,0.0,0.0,36.6%,144,1.36,52.2%,35.0,15.0,2.0,3.0,280.0,33.7,15.0,-,28.6%,2.9%,22.9%,29.1%,21.8,36.6%,22.0,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3hwithiznhjl7ecaoxv7hemfo,2026-05-03 14:15:00,1n1j0wsl763lq7ee1k0c11c02,True,False,False,True,False,GET,GET,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,L 0-2,José Bordalás,13.0,150.0,59.6%,63.8%,14.0,13.0,5.0,31.0,45,70.3%,46.4%,46.2%,22,11.0,32.0,2.0,32,9.0,28,0.0,63.4%,14.0,10.0,1.0,45.0,93.0,172.0,114.0,106.0,265,5.0,0.0,0.0,0.0,48.3%,141,1.49,57.8%,29.0,13.0,6.0,3.0,221.0,33.1,21.0,-,29.4%,11.8%,23.5%,16.2%,21.0,48.3%,13.0,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3apuzcf26kfvpej8uc98l2n10,2026-04-25 14:15:00,1n1j0wsl763lq7ee1k0c11c02,True,False,False,True,False,GET,GET,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,L 0-2,José Bordalás,19.0,94.0,19.2%,23.1%,18.0,8.0,1.0,21.0,14,28.9%,24.0%,51.0%,12,10.0,27.0,5.0,27,3.0,21,0.0,49.7%,5.0,4.0,0.0,74.0,174.0,171.0,194.0,77.0,345,8.0,0.0,0.0,0.0,60.2%,115,1.14,35.7%,19.0,5.0,2.0,2.0,90.0,35.2,8.0,-,33.3%,6.7%,33.3%,16.5%,17.9,60.2%,4.0,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3bvyrbl5qq7s93s7yat969q1g,2026-04-22 18:00:00,1n1j0wsl763lq7ee1k0c11c02,False,True,True,False,False,GET,GET,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,W 1-0,José Bordalás,30.0,112.0,36.4%,45.5%,17.0,22.0,0.0,25.0,24,36.7%,31.7%,53.0%,20,13.0,33.0,5.0,33,2.0,36,0.0,63.7%,6.0,6.0,0.0,130.0,198.0,134.0,131.0,71.0,332,10.0,1.0,0.0,0.0,45.8%,115,0.12,43.8%,25.0,8.0,5.0,0.0,159.0,35.9,20.0,-,57.1%,4.8%,9.5%,44.2%,17.9,45.8%,5.0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),348p051ww3c5h5f7yu6puqplg,2026-04-13 19:00:00,1n1j0wsl763lq7ee1k0c11c02,False,True,False,True,False,GET,GET,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855.0,L 0-1,Patri Moreno,30.0,89.0,24.2%,27.3%,11.0,20.0,1.0,21.0,30,35.1%,39.2%,63.3%,20,10.0,36.0,2.0,36,5.0,33,0.0,57.8%,9.0,5.0,1.0,104.0,174.0,119.0,133.0,56.0,293,13.0,0.0,0.0,0.0,48.1%,112,0.29,45.9%,35.0,9.0,3.0,3.0,151.0,37.5,12.0,-,20.0%,20.0%,26.7%,11.2%,16.1,48.1%,5.0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),33vcbxcbnojlxdm39q4elkutw,2026-04-05 12:00:00,1n1j0wsl763lq7ee1k0c11c02,True,False,True,False,False,GET,GET,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,W 2-0,Patri Moreno,23.0,110.0,27.8%,36.1%,14.0,22.0,4.0,28.0,31,33.5%,32.0%,53.8%,18,11.0,32.0,4.0,32,6.0,19,0.0,57.7%,8.0,10.0,0.0,94.0,195.0,118.0,152.0,67.0,313,11.0,2.0,0.0,0.0,49.4%,115,1.94,59.6%,27.0,8.0,1.0,3.0,127.0,35.8,17.0,-,16.0%,8.0%,40.0%,67.3%,15.5,49.4%,10.0,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2yypobxbbgweakpwxt4090v10,2026-03-21 15:15:00,1n1j0wsl763lq7ee1k0c11c02,False,True,True,False,False,GET,GET,c8llrezkm3b3op4afrou6b487,ESP,ESP,177.0,W 2-1,José Bordalás,28.0,87.0,30.6%,41.7%,15.0,19.0,3.0,20.0,18,32.3%,37.5%,64.0%,27,6.0,36.0,4.0,36,8.0,14,0.0,51.7%,9.0,2.0,0.0,78.0,152.0,116.0,137.0,53.0,268,9.0,2.0,0.0,0.0,54.1%,126,1.51,50.6%,40.0,7.0,3.0,1.0,113.0,39.7,16.0,-,33.3%,13.3%,20.0%,49.6%,18.6,54.1%,10.0,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
