Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3v3zljn1yog1g4knq4uoaledw,2026-05-23 19:00:00,4grc9qgcvusllap8h5j6gc5h5,False,True,False,True,False,LEV,LEV,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,L 1-2,Luís Manuel Ferreira de Castro,10.0,122.0,23.3%,26.7%,29.0,10.0,4.0,37.0,72,41.2%,33.6%,51.9%,27,12.0,44.0,6.0,44,11.0,32,0.0,45.8%,9.0,8.0,0.0,60.0,127.0,193.0,135.0,125.0,320,5.0,1.0,0.0,0.0,31.3%,105,2.53,64.9%,20.0,20.0,1.0,7.0,266.0,31.9,8.0,-,20.0%,16.7%,13.3%,8.7%,27.1,31.3%,15.0,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3sg7p1fgas9oyig0lv5gdmvis,2026-05-17 17:00:00,4grc9qgcvusllap8h5j6gc5h5,True,False,True,False,False,LEV,LEV,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,W 2-0,Luís Manuel Ferreira de Castro,16.0,100.0,24.1%,37.9%,13.0,19.0,3.0,15.0,33,24.0%,34.1%,63.0%,14,8.0,24.0,2.0,24,9.0,23,2.0,46.9%,3.0,3.0,0.0,75.0,168.0,124.0,149.0,68.0,292,9.0,1.0,0.0,1.0,47.7%,102,2.39,63.8%,34.0,11.0,5.0,1.0,156.0,34.4,13.0,-,20.0%,13.3%,13.3%,54.6%,17.5,47.7%,15.0,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3nxmo9ajqnht9425i3n9szevo,2026-05-12 17:00:00,4grc9qgcvusllap8h5j6gc5h5,False,True,True,False,False,LEV,LEV,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,W 3-2,Luís Manuel Ferreira de Castro,24.0,169.0,30.4%,39.1%,14.0,12.0,6.0,35.0,62,45.2%,39.8%,48.6%,26,19.0,60.0,9.0,60,9.0,56,1.0,49.7%,2.0,1.0,0.0,85.0,156.0,136.0,119.0,88.0,292,5.0,2.0,0.0,1.0,27.2%,115,1.52,69.0%,25.0,18.0,4.0,5.0,304.0,35.1,9.0,-,20.0%,0.0%,25.0%,36.1%,24.6,27.2%,14.0,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3kvn4dplqj7ecztktcd1afhuc,2026-05-08 19:00:00,4grc9qgcvusllap8h5j6gc5h5,True,False,True,False,False,LEV,LEV,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,W 3-2,Luís Manuel Ferreira de Castro,7.0,280.0,52.9%,55.9%,16.0,12.0,8.0,75.0,86,83.8%,48.7%,35.4%,20,21.0,53.0,7.0,53,23.0,93,2.0,51.1%,3.0,7.0,0.0,24.0,53.0,143.0,61.0,111.0,196,4.0,2.0,1.0,0.0,30.0%,153,2.99,51.2%,20.0,33.0,3.0,15.0,461.0,33.9,14.0,-,16.7%,4.8%,21.4%,38.8%,34.8,30.0%,35.0,52,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3fm6zt7nl7hs2oolj5ksug3ys,2026-05-02 12:00:00,4grc9qgcvusllap8h5j6gc5h5,False,True,False,True,False,LEV,LEV,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449.0,L 1-5,Luís Manuel Ferreira de Castro,33.0,113.0,24.1%,27.6%,11.0,24.0,5.0,37.0,54,38.7%,52.2%,67.6%,33,3.0,43.0,2.0,43,7.0,41,0.0,51.9%,3.0,5.0,0.0,98.0,163.0,135.0,121.0,79.0,298,10.0,1.0,0.0,0.0,30.1%,144,0.76,54.9%,17.0,13.0,3.0,3.0,297.0,32.9,17.0,-,8.3%,4.2%,29.2%,11.1%,23.4,30.1%,12.0,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),394u1x6d00xy857x0kzh48oic,2026-04-27 19:00:00,4grc9qgcvusllap8h5j6gc5h5,False,True,False,False,True,LEV,LEV,c8llrezkm3b3op4afrou6b487,ESP,ESP,177.0,D 0-0,Luís Manuel Ferreira de Castro,17.0,110.0,26.1%,30.4%,9.0,20.0,0.0,24.0,54,49.4%,50.7%,62.8%,34,5.0,44.0,2.0,44,3.0,32,0.0,48.3%,2.0,7.0,0.0,56.0,114.0,128.0,116.0,70.0,242,11.0,0.0,0.0,0.0,37.5%,136,1.12,52.4%,44.0,20.0,0.0,7.0,226.0,35.2,12.0,-,23.1%,15.4%,23.1%,18.8%,26.8,37.5%,8.0,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3d093m8yc27r7p3gumt3gg4d0,2026-04-23 17:00:00,4grc9qgcvusllap8h5j6gc5h5,True,False,True,False,False,LEV,LEV,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179.0,W 2-0,Luís Manuel Ferreira de Castro,15.0,102.0,28.6%,34.3%,15.0,16.0,1.0,32.0,46,45.3%,41.3%,57.5%,23,14.0,37.0,2.0,37,4.0,22,0.0,50.0%,13.0,2.0,0.0,53.0,96.0,157.0,109.0,91.0,253,5.0,1.0,1.0,0.0,36.6%,113,1.53,56.3%,26.0,10.0,3.0,4.0,222.0,35.6,17.0,-,30.4%,13.0%,21.7%,69.4%,21.6,36.6%,8.0,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),348p051ww3c5h5f7yu6puqplg,2026-04-13 19:00:00,4grc9qgcvusllap8h5j6gc5h5,True,False,True,False,False,LEV,LEV,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,W 1-0,Vicente Iborra,7.0,180.0,39.4%,42.4%,21.0,14.0,5.0,35.0,64,64.9%,60.8%,49.8%,28,22.0,52.0,7.0,52,13.0,44,0.0,64.0%,5.0,12.0,1.0,57.0,102.0,121.0,96.0,70.0,223,5.0,1.0,0.0,0.0,37.4%,149,2.9,66.7%,28.0,19.0,6.0,9.0,270.0,31.5,23.0,-,13.8%,24.1%,6.9%,57.5%,30.3,37.4%,22.0,29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),317f8nnd5kiqw5pomd91v86j8,2026-04-04 12:00:00,4grc9qgcvusllap8h5j6gc5h5,False,True,False,True,False,LEV,LEV,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,L 0-2,Luís Manuel Ferreira de Castro,29.0,109.0,47.8%,52.2%,13.0,11.0,4.0,33.0,34,39.7%,42.6%,58.7%,30,6.0,38.0,3.0,38,7.0,35,0.0,52.6%,8.0,6.0,0.0,82.0,137.0,165.0,135.0,85.0,302,9.0,0.0,0.0,0.0,38.4%,121,0.28,41.8%,24.0,16.0,4.0,3.0,221.0,37.8,7.0,-,11.1%,11.1%,22.2%,8.6%,20.2,38.4%,8.0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2zc6div45o8artjqg9vrawb2s,2026-03-21 17:30:00,4grc9qgcvusllap8h5j6gc5h5,True,False,True,False,False,LEV,LEV,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,W 4-2,Luís Manuel Ferreira de Castro,18.0,140.0,37.0%,44.4%,18.0,14.0,6.0,22.0,26,34.9%,40.9%,56.1%,27,11.0,38.0,3.0,38,10.0,23,2.0,57.5%,6.0,11.0,0.0,77.0,153.0,152.0,152.0,76.0,305,6.0,3.0,0.0,1.0,44.2%,125,2.36,41.6%,33.0,6.0,2.0,1.0,169.0,31.2,23.0,-,35.0%,0.0%,40.0%,72.1%,20.3,44.2%,20.0,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
