Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3up18t49bq8thej74h5lgf0us,2026-05-23 19:00:00,3budh3j9xivsid3ptm8ptpy4k,False,True,True,False,False,RAY,RAY,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,W 2-1,Iñigo Pérez,27.0,117.0,38.2%,44.1%,18.0,27.0,3.0,41.0,54,44.8%,55.8%,62.3%,28,12.0,41.0,1.0,41,10.0,29,0.0,57.8%,4.0,10.0,0.0,96.0,147.0,93.0,93.0,51.0,240,1.0,2.0,0.0,0.0,34.7%,131,1.34,52.5%,33.0,14.0,4.0,3.0,287.0,34.3,11.0,-,16.7%,8.3%,16.7%,13.8%,20.2,34.7%,15.0,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3stn5qtfq9b7w461hrsz1y0wk,2026-05-17 17:00:00,3budh3j9xivsid3ptm8ptpy4k,True,False,True,False,False,RAY,RAY,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449.0,W 2-0,Iñigo Pérez,30.0,172.0,25.8%,41.9%,28.0,20.0,8.0,51.0,63,57.0%,50.1%,55.1%,24,19.0,48.0,10.0,48,10.0,40,1.0,52.3%,10.0,6.0,0.0,80.0,131.0,142.0,99.0,94.0,273,7.0,2.0,0.0,0.0,30.4%,144,1.49,73.3%,39.0,27.0,2.0,4.0,329.0,35.4,17.0,-,20.0%,12.0%,16.0%,76.5%,22.1,30.4%,15.0,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3psr2605g4d19sdukq2711gd0,2026-05-14 17:00:00,3budh3j9xivsid3ptm8ptpy4k,False,True,False,False,True,RAY,RAY,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,D 1-1,Iñigo Pérez,23.0,126.0,36.8%,39.5%,17.0,29.0,4.0,34.0,47,39.5%,53.1%,62.2%,38,12.0,52.0,1.0,52,3.0,37,0.0,48.7%,8.0,6.0,0.0,77.0,154.0,107.0,130.0,54.0,261,7.0,1.0,0.0,0.0,35.4%,143,1.16,62.5%,38.0,13.0,0.0,3.0,239.0,34.4,19.0,-,9.1%,9.1%,18.2%,28.3%,18.8,35.4%,6.0,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3je81f1r98u8rqsk99bzjwyl0,2026-05-11 19:00:00,3budh3j9xivsid3ptm8ptpy4k,True,False,False,False,True,RAY,RAY,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,D 1-1,Iñigo Pérez,11.0,192.0,32.6%,39.5%,19.0,23.0,7.0,53.0,62,59.6%,58.4%,52.7%,45,18.0,69.0,13.0,69,13.0,62,1.0,57.3%,6.0,7.0,0.0,67.0,114.0,148.0,88.0,107.0,262,3.0,1.0,0.0,0.0,32.2%,156,1.2,47.6%,22.0,21.0,3.0,6.0,302.0,34.2,22.0,-,30.3%,15.2%,21.2%,37.4%,29.9,32.2%,18.0,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3hwithiznhjl7ecaoxv7hemfo,2026-05-03 14:15:00,3budh3j9xivsid3ptm8ptpy4k,False,True,True,False,False,RAY,RAY,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,W 2-0,Iñigo Pérez,28.0,71.0,28.9%,34.2%,16.0,21.0,1.0,21.0,24,29.7%,53.6%,68.5%,31,13.0,40.0,5.0,40,4.0,20,0.0,52.7%,1.0,4.0,0.0,79.0,148.0,88.0,116.0,41.0,236,15.0,2.0,0.0,0.0,49.0%,120,0.98,56.8%,42.0,11.0,0.0,3.0,106.0,32.8,23.0,-,23.5%,41.2%,17.6%,62.6%,11.3,49.0%,10.0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),39yze5lq7b1227m0ry1qpjfh0,2026-04-26 12:00:00,3budh3j9xivsid3ptm8ptpy4k,True,False,False,False,True,RAY,RAY,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,D 3-3,Iñigo Pérez,35.0,138.0,39.3%,60.7%,20.0,20.0,3.0,37.0,68,54.9%,59.6%,60.9%,36,16.0,50.0,5.0,50,19.0,37,1.0,51.2%,6.0,3.0,1.0,62.0,110.0,111.0,96.0,63.0,221,6.0,3.0,0.0,0.0,33.0%,136,2.38,50.0%,23.0,19.0,2.0,6.0,346.0,31.4,22.0,-,7.7%,23.1%,7.7%,30.1%,23.0,33.0%,24.0,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3f8qbmbzrg2o195netsozsmxg,2026-04-23 18:00:00,3budh3j9xivsid3ptm8ptpy4k,True,False,True,False,False,RAY,RAY,c8llrezkm3b3op4afrou6b487,ESP,ESP,177.0,W 1-0,Iñigo Pérez,21.0,124.0,43.3%,50.0%,17.0,23.0,2.0,30.0,54,44.7%,56.9%,64.5%,26,10.0,35.0,2.0,35,11.0,23,0.0,53.7%,5.0,2.0,0.0,72.0,131.0,101.0,107.0,53.0,232,11.0,0.0,0.0,1.0,35.3%,117,1.6,57.5%,34.0,27.0,4.0,2.0,201.0,33.2,24.0,-,23.1%,0.0%,23.1%,45.2%,19.0,35.3%,17.0,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),36img9yditg3x8kvo810l3ims,2026-04-12 14:15:00,3budh3j9xivsid3ptm8ptpy4k,False,True,False,True,False,RAY,RAY,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,L 0-3,Iñigo Pérez,22.0,155.0,28.6%,34.3%,28.0,18.0,5.0,60.0,59,54.5%,56.0%,57.0%,33,15.0,58.0,8.0,58,15.0,33,0.0,46.3%,3.0,4.0,0.0,56.0,129.0,116.0,123.0,66.0,245,6.0,0.0,0.0,0.0,37.7%,162,1.95,53.3%,29.0,24.0,6.0,3.0,326.0,35.3,7.0,-,23.7%,10.5%,10.5%,7.9%,25.9,37.7%,17.0,32,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),30u02n6fw3bxc2lk51wv1cowk,2026-04-03 19:00:00,3budh3j9xivsid3ptm8ptpy4k,True,False,True,False,False,RAY,RAY,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,W 1-0,Iñigo Pérez,12.0,199.0,41.7%,41.7%,19.0,19.0,3.0,61.0,78,62.6%,53.9%,47.1%,27,17.0,51.0,7.0,51,17.0,60,0.0,57.1%,1.0,4.0,0.0,76.0,112.0,107.0,68.0,75.0,219,6.0,1.0,0.0,0.0,36.1%,148,1.39,56.3%,36.0,34.0,2.0,6.0,288.0,34.6,16.0,-,19.0%,11.9%,14.3%,55.3%,24.6,36.1%,21.0,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2y7mqtoumr3710vgfit7046j8,2026-03-22 13:00:00,3budh3j9xivsid3ptm8ptpy4k,False,True,False,True,False,RAY,RAY,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,L 0-1,Iñigo Pérez,22.0,107.0,29.0%,41.9%,22.0,19.0,4.0,25.0,45,37.2%,41.6%,60.0%,26,13.0,38.0,6.0,38,8.0,14,0.0,59.9%,8.0,9.0,0.0,88.0,175.0,176.0,166.0,97.0,351,10.0,0.0,0.0,0.0,40.5%,120,1.56,55.4%,28.0,20.0,1.0,0.0,211.0,33.4,27.0,-,5.3%,10.5%,15.8%,8.4%,21.9,40.5%,8.0,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
