Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3v3zljn1yog1g4knq4uoaledw,2026-05-23 19:00:00,ah8dala7suqqkj04n2l8xz4zd,True,False,True,False,False,BET,BET,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855.0,W 2-1,Manuel Pellegrini,31.0,131.0,21.7%,26.1%,11.0,18.0,3.0,48.0,69,58.8%,66.4%,62.2%,58,17.0,87.0,3.0,87,13.0,53,1.0,50.0%,7.0,4.0,0.0,61.0,115.0,75.0,96.0,33.0,190,8.0,2.0,0.0,0.0,25.5%,157,1.57,47.1%,21.0,10.0,2.0,2.0,489.0,32.6,15.0,-,16.0%,16.0%,12.0%,71.3%,34.4,25.5%,19.0,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3rpa9gg887sphjnou8h1uv6s4,2026-05-17 19:15:00,ah8dala7suqqkj04n2l8xz4zd,False,True,False,True,False,BET,BET,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,L 1-3,Manuel Pellegrini,27.0,126.0,14.3%,17.9%,18.0,24.0,6.0,36.0,49,35.5%,38.4%,59.1%,38,9.0,57.0,9.0,57,6.0,38,1.0,50.0%,6.0,7.0,0.0,102.0,174.0,159.0,147.0,84.0,333,9.0,1.0,0.0,0.0,33.1%,136,0.97,44.7%,23.0,11.0,0.0,0.0,232.0,31.9,13.0,-,11.8%,11.8%,29.4%,8.5%,20.9,33.1%,7.0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3njoj8cm40koxt8u94a1h3yfo,2026-05-12 18:00:00,ah8dala7suqqkj04n2l8xz4zd,True,False,True,False,False,BET,BET,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,W 2-1,Manuel Pellegrini,15.0,155.0,7.4%,25.9%,16.0,20.0,7.0,50.0,73,43.9%,46.4%,55.3%,27,9.0,52.0,2.0,52,13.0,37,0.0,58.9%,4.0,6.0,0.0,99.0,184.0,140.0,151.0,74.0,324,6.0,2.0,0.0,0.0,30.3%,134,1.8,55.3%,39.0,21.0,2.0,2.0,354.0,34.7,12.0,-,7.4%,3.7%,29.6%,62.6%,25.4,30.3%,16.0,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3m24sjc20wo15f6mmkw3qeqz8,2026-05-09 19:00:00,ah8dala7suqqkj04n2l8xz4zd,False,True,False,False,True,BET,BET,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,D 2-2,Manuel Pellegrini,26.0,79.0,20.0%,28.0%,17.0,17.0,6.0,29.0,55,32.1%,36.2%,62.8%,25,6.0,39.0,5.0,39,8.0,18,0.0,52.0%,7.0,2.0,0.0,93.0,166.0,118.0,144.0,47.0,284,7.0,0.0,1.0,1.0,33.9%,108,1.94,61.7%,30.0,19.0,1.0,1.0,248.0,34.3,15.0,-,33.3%,0.0%,13.3%,51.6%,20.1,33.9%,14.0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3gs6lllokoo9wk19co9k4yyac,2026-05-03 16:30:00,ah8dala7suqqkj04n2l8xz4zd,True,False,True,False,False,BET,BET,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,W 3-0,Manuel Pellegrini,19.0,166.0,35.5%,38.7%,17.0,22.0,7.0,37.0,48,60.3%,50.1%,54.2%,39,6.0,66.0,4.0,66,7.0,66,1.0,49.3%,10.0,10.0,0.0,70.0,119.0,137.0,110.0,76.0,256,8.0,3.0,0.0,0.0,30.4%,154,1.53,64.0%,33.0,15.0,0.0,1.0,263.0,33.5,16.0,-,4.8%,42.9%,9.5%,80.3%,25.4,30.4%,10.0,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),38r38grppqfwcb99s9ikyv6s4,2026-04-24 19:00:00,ah8dala7suqqkj04n2l8xz4zd,True,False,False,False,True,BET,BET,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186.0,D 1-1,Manuel Pellegrini,36.0,209.0,31.0%,34.5%,16.0,21.0,3.0,59.0,72,51.8%,51.5%,51.9%,39,7.0,61.0,4.0,61,14.0,87,1.0,59.9%,5.0,4.0,0.0,112.0,183.0,129.0,123.0,77.0,312,3.0,1.0,0.0,0.0,31.2%,179,1.08,43.9%,23.0,24.0,1.0,4.0,488.0,33.9,10.0,-,12.1%,6.1%,15.2%,13.8%,31.0,31.2%,19.0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3eve0z8ko67bbailw6nhbl3x0,2026-04-21 19:30:00,ah8dala7suqqkj04n2l8xz4zd,False,True,True,False,False,BET,BET,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,W 3-2,Manuel Pellegrini,18.0,109.0,19.2%,38.5%,10.0,24.0,2.0,38.0,47,40.2%,47.0%,57.5%,33,18.0,54.0,5.0,54,3.0,19,0.0,53.4%,7.0,7.0,0.0,102.0,172.0,152.0,140.0,82.0,324,4.0,3.0,0.0,0.0,32.3%,145,1.04,53.1%,18.0,12.0,0.0,0.0,323.0,33.3,12.0,-,22.2%,22.2%,11.1%,28.1%,25.7,32.3%,7.0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),37mlon39zla9t9jjetz0zei38,2026-04-12 12:00:00,ah8dala7suqqkj04n2l8xz4zd,False,True,False,False,True,BET,BET,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,D 1-1,Manuel Pellegrini,23.0,136.0,31.3%,31.3%,18.0,24.0,2.0,42.0,65,45.1%,52.6%,60.5%,31,9.0,48.0,5.0,48,4.0,48,0.0,48.3%,3.0,6.0,0.0,98.0,152.0,122.0,102.0,74.0,274,5.0,1.0,0.0,0.0,31.6%,142,0.55,55.9%,30.0,21.0,2.0,3.0,360.0,30.9,21.0,-,28.0%,8.0%,12.0%,23.6%,20.4,31.6%,8.0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),32dgfvl5v0zo942n2e2zihfdg,2026-04-04 16:30:00,ah8dala7suqqkj04n2l8xz4zd,True,False,False,False,True,BET,BET,c8llrezkm3b3op4afrou6b487,ESP,ESP,177.0,D 0-0,Manuel Pellegrini,6.0,203.0,37.1%,51.4%,20.0,22.0,2.0,68.0,93,72.0%,67.0%,47.7%,34,24.0,74.0,11.0,74,12.0,73,0.0,64.9%,4.0,5.0,2.0,74.0,123.0,100.0,84.0,65.0,223,7.0,0.0,0.0,0.0,25.2%,167,1.38,58.1%,35.0,24.0,1.0,4.0,550.0,33.0,9.0,-,8.3%,2.8%,16.7%,52.1%,32.5,25.2%,19.0,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2xuajcyluofrmnt1siit15jbo,2026-03-22 17:30:00,ah8dala7suqqkj04n2l8xz4zd,False,True,False,True,False,BET,BET,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,L 1-2,Manuel Pellegrini,23.0,138.0,27.5%,27.5%,19.0,28.0,1.0,53.0,68,49.4%,68.9%,65.7%,35,13.0,62.0,5.0,62,7.0,28,0.0,53.7%,5.0,6.0,0.0,108.0,158.0,93.0,81.0,62.0,251,5.0,1.0,0.0,0.0,28.9%,164,0.47,69.2%,39.0,15.0,2.0,3.0,434.0,36.4,22.0,-,25.0%,10.7%,14.3%,8.2%,23.3,28.9%,11.0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
