Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,PrlgcnesCabza,Presiones AltasP90,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,Goles desde el Area,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),ytxz0i1eppxxqupm27ktuln8,2025-10-26 15:15:00,3kq9cckrnlogidldtdie2fkbl,True,False,True,False,False,RMA,RMA,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,W 2-1,17.0,163.0,25.8%,41.9%,18.0,14.0,5.0,41.0,47,1.0,323.0,29.3%,34.2%,49.9%,21,8.0,35.0,6.0,35,15.0,37,0.0,49.1%,5.0,6.0,0.0,112.0,194.0,129.0,124.0,87.0,323,6.0,2.0,2.0,0.0,0.0,35.6%,98,3.63,52.9%,28.0,16.0,0.0,0.0,178.0,32.1,24.0,-,18.2%,13.6%,27.3%,61.4%,22.0,35.6%,23.0,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ubq4xhedh6kqvsb2d7cvw650,2026-05-17 17:00:00,3kq9cckrnlogidldtdie2fkbl,False,True,True,False,False,RMA,RMA,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179.0,W 1-0,26.0,123.0,29.4%,29.4%,17.0,21.0,2.0,36.0,78,3.0,245.0,46.8%,66.4%,67.3%,25,13.0,46.0,6.0,46,9.0,49,0.0,66.5%,4.0,3.0,0.0,115.0,160.0,85.0,81.0,49.0,245,13.0,1.0,1.0,0.0,0.0,29.9%,159,1.0,56.9%,24.0,21.0,0.0,1.0,321.0,34.4,26.0,-,20.7%,20.7%,20.7%,67.6%,26.2,29.9%,12.0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),16234pc0mx6bpyeqhj4i81p90,2025-11-09 15:15:00,3kq9cckrnlogidldtdie2fkbl,False,True,False,False,True,RMA,RMA,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,D 0-0,22.0,198.0,31.6%,50.0%,13.0,17.0,3.0,60.0,79,0.0,248.0,58.0%,51.3%,49.3%,22,15.0,40.0,2.0,40,14.0,57,0.0,50.3%,3.0,2.0,0.0,72.0,114.0,135.0,81.0,95.0,248,17.0,0.0,0.0,0.0,0.0,33.9%,151,0.98,57.1%,14.0,39.0,3.0,2.0,261.0,34.3,34.0,-,16.1%,9.7%,16.1%,24.7%,26.9,33.9%,21.0,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),4zhv5gr0aqfz7e8e32rrx6hg,2025-08-24 19:30:00,3kq9cckrnlogidldtdie2fkbl,False,True,True,False,False,RMA,RMA,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,W 3-0,16.0,369.0,27.8%,33.3%,26.0,12.0,10.0,81.0,115,0.0,203.0,79.6%,42.4%,27.7%,6,25.0,66.0,5.0,66,18.0,189,2.0,45.6%,6.0,5.0,0.0,41.0,73.0,130.0,63.0,99.0,203,4.0,3.0,3.0,0.0,0.0,22.3%,156,2.68,78.4%,28.0,36.0,0.0,1.0,616.0,34.2,44.0,-,15.2%,13.0%,15.2%,69.9%,33.0,22.3%,26.0,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2wpgnr91h1yid0zf4zu0y5afo,2026-03-22 20:00:00,3kq9cckrnlogidldtdie2fkbl,True,False,True,False,False,RMA,RMA,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,W 3-2,19.0,221.0,34.5%,55.2%,20.0,9.0,6.0,72.0,75,1.0,262.0,55.4%,49.4%,41.3%,18,20.0,52.0,4.0,52,10.0,104,2.0,41.5%,4.0,7.0,0.0,71.0,121.0,141.0,93.0,98.0,262,4.0,2.0,2.0,1.0,0.0,26.3%,147,2.41,43.3%,14.0,30.0,1.0,2.0,355.0,32.3,17.0,-,6.1%,12.1%,15.2%,57.1%,39.6,26.3%,17.0,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2sx9kf2syjyyqwaxz74i46n10,2026-03-14 20:00:00,3kq9cckrnlogidldtdie2fkbl,True,False,True,False,False,RMA,RMA,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,W 4-1,19.0,162.0,16.1%,22.6%,17.0,24.0,4.0,53.0,54,1.0,293.0,45.6%,49.3%,55.4%,43,18.0,61.0,4.0,61,8.0,66,0.0,46.8%,6.0,5.0,0.0,80.0,162.0,131.0,153.0,60.0,293,5.0,2.0,3.0,0.0,1.0,32.7%,157,1.37,59.4%,29.0,23.0,0.0,2.0,290.0,35.6,21.0,-,10.0%,15.0%,15.0%,76.6%,27.1,32.7%,14.0,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3wz71k4469ny273fw5c1yavx0,2026-05-23 19:00:00,3kq9cckrnlogidldtdie2fkbl,True,False,True,False,False,RMA,RMA,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,W 4-2,12.0,112.0,51.6%,58.1%,14.0,21.0,3.0,51.0,88,1.0,142.0,61.9%,79.7%,68.0%,47,16.0,77.0,9.0,77,4.0,50,0.0,50.0%,5.0,1.0,0.0,38.0,83.0,59.0,68.0,36.0,142,7.0,3.0,3.0,1.0,0.0,26.7%,199,1.9,61.2%,14.0,18.0,0.0,1.0,482.0,37.0,17.0,-,14.8%,7.4%,14.8%,84.7%,35.6,26.7%,13.0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),h6rpuztodqc4wokrpyck2zv8,2025-09-20 14:15:00,3kq9cckrnlogidldtdie2fkbl,True,False,True,False,False,RMA,RMA,c8llrezkm3b3op4afrou6b487,ESP,ESP,177.0,W 2-0,13.0,235.0,43.9%,51.2%,18.0,22.0,5.0,100.0,97,0.0,183.0,78.9%,65.8%,46.4%,27,36.0,88.0,6.0,88,10.0,113,0.0,46.6%,8.0,8.0,0.0,48.0,79.0,104.0,71.0,64.0,183,3.0,0.0,1.0,1.0,0.0,25.1%,189,1.19,69.8%,24.0,21.0,0.0,2.0,603.0,36.0,30.0,-,8.6%,2.9%,11.4%,81.2%,35.4,25.1%,16.0,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),27t0dyh53751craqajb3o62hg,2026-02-01 13:00:00,3kq9cckrnlogidldtdie2fkbl,True,False,True,False,False,RMA,RMA,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,W 2-1,16.0,257.0,29.0%,45.2%,17.0,28.0,7.0,63.0,113,0.0,251.0,64.5%,49.3%,44.2%,20,16.0,61.0,9.0,61,12.0,94,1.0,51.4%,12.0,3.0,0.0,72.0,116.0,135.0,93.0,86.0,251,5.0,2.0,1.0,1.0,0.0,26.8%,156,2.21,65.7%,25.0,43.0,2.0,1.0,496.0,37.9,29.0,-,28.6%,2.9%,11.4%,47.5%,33.2,26.8%,16.0,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),77rmbjidsouxav300f54behg,2025-08-30 19:30:00,3kq9cckrnlogidldtdie2fkbl,True,False,True,False,False,RMA,RMA,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,W 2-1,14.0,301.0,31.4%,40.0%,17.0,19.0,4.0,87.0,92,0.0,222.0,71.9%,42.9%,34.7%,23,25.0,67.0,7.0,67,12.0,104,0.0,55.7%,4.0,11.0,0.0,49.0,95.0,127.0,91.0,82.0,222,6.0,2.0,2.0,0.0,0.0,31.4%,169,1.82,56.1%,28.0,37.0,3.0,1.0,461.0,34.3,18.0,-,13.6%,6.8%,11.4%,68.6%,25.1,31.4%,17.0,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
