Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3wljbdagmhpi6h7viwogz9ul0,2026-05-23 19:00:00,clo928vcczjp0mczavs5o7p5k,false,true,false,true,false,OVI,OVI,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,L 0-3,Guillermo Almada,39,94.00,23.1%,30.8%,17,20,1,34,36,33.6%,50.7%,64.5%,34,5,49,4,49,5.00,25,0,53.0%,8,9,0,105,172,125,117,75,297,12,0,0,0,42.3%,154,0.34,45.5%,26,14,1,1,280,33.7,15.00,-,38.1%,4.8%,19.0%,10.2%,19.4,42.3%,7,15,0
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3tkk80csb0shs70l1ucy03uok,2026-05-17 17:00:00,clo928vcczjp0mczavs5o7p5k,true,false,false,true,false,OVI,OVI,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,L 0-1,Guillermo Almada,12,177.00,36.7%,40.0%,13,24,2,72,84,65.9%,71.5%,54.2%,33,17,58,3,58,6.00,51,0,62.1%,7,3,0,59,105,88,82,52,193,4,0,0,0,28.8%,159,0.33,62.3%,25,33,7,3,400,34.8,27.00,-,8.0%,4.0%,16.0%,22.2%,38.8,28.8%,7,27,1
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ql6gx72pau1cocng395b63h0,2026-05-14 19:30:00,clo928vcczjp0mczavs5o7p5k,false,true,false,true,false,OVI,OVI,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,L 0-2,Guillermo Almada,32,80.00,21.1%,26.3%,14,15,2,25,47,23.3%,46.9%,68.3%,31,10,43,4,43,7.00,19,0,40.3%,2,4,0,89,171,96,131,47,267,10,0,0,0,35.6%,116,1.04,41.2%,16,15,1,1,284,32.8,11.00,-,7.7%,15.4%,15.4%,12.4%,26.8,35.6%,9,15,2
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3msszbu4fc0okhk1cy6k7f09g,2026-05-10 16:30:00,clo928vcczjp0mczavs5o7p5k,true,false,false,false,true,OVI,OVI,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,D 0-0,Guillermo Almada,39,109.00,34.4%,37.5%,18,16,2,18,29,38.5%,52.1%,63.0%,32,7,42,4,42,5.00,30,0,55.1%,8,7,0,114,172,125,128,55,297,12,0,0,0,43.2%,152,0.54,67.5%,43,7,5,1,264,34.3,22.00,-,38.5%,15.4%,30.8%,26.6%,19.7,43.2%,8,10,1
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3gs6lllokoo9wk19co9k4yyac,2026-05-03 16:30:00,clo928vcczjp0mczavs5o7p5k,false,true,false,true,false,OVI,OVI,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,L 0-3,Guillermo Almada,29,142.00,31.3%,46.9%,18,29,5,45,83,39.7%,49.9%,59.4%,28,12,52,5,52,12.00,34,0,56.6%,2,8,0,94,156,149,117,94,305,3,0,0,0,28.7%,119,1.59,54.0%,15,27,5,0,274,37.2,31.00,-,16.7%,6.7%,23.3%,8.4%,29.8,28.7%,17,19,1
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3bihehy0y8mtxizg74rkkuh3o,2026-04-26 14:15:00,clo928vcczjp0mczavs5o7p5k,true,false,false,true,false,OVI,OVI,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,L 1-2,Guillermo Almada,7,174.00,44.4%,48.1%,19,20,3,49,56,59.1%,61.6%,51.5%,30,10,46,4,46,8.00,36,0,63.1%,4,3,1,65,130,113,110,68,243,2,1,0,0,33.3%,147,0.99,59.1%,32,17,7,7,273,35.2,22.00,-,13.3%,10.0%,16.7%,8.0%,27.4,33.3%,12,34,1
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3dqveie2v1c7dydqpn40ccyl0,2026-04-23 19:30:00,clo928vcczjp0mczavs5o7p5k,true,false,false,false,true,OVI,OVI,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,D 1-1,Guillermo Almada,12,198.00,33.3%,43.6%,19,16,12,53,83,63.9%,53.4%,52.3%,34,12,64,4,64,10.00,41,0,52.3%,8,10,1,46,95,166,108,106,260,5,0,0,1,28.5%,155,0.80,62.2%,29,24,8,8,442,37.7,31.00,-,12.9%,0.0%,16.1%,17.9%,31.1,28.5%,15,43,1
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),35q4pov6mhtlujc68n1nz7bpw,2026-04-12 16:30:00,clo928vcczjp0mczavs5o7p5k,false,true,true,false,false,OVI,OVI,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,W 3-0,Guillermo Almada,29,71.00,14.3%,14.3%,19,23,2,13,23,23.8%,41.1%,66.8%,43,6,59,3,59,3.00,24,0,48.3%,4,5,0,130,227,160,189,68,387,6,3,0,0,38.4%,123,1.47,50.7%,29,5,1,3,251,38.0,18.00,-,11.1%,0.0%,33.3%,72.8%,15.0,38.4%,8,9,3
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),33hvcbq5xmb0wo3x4r5p3w1ec,2026-04-05 16:30:00,clo928vcczjp0mczavs5o7p5k,true,false,true,false,false,OVI,OVI,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,W 1-0,Guillermo Almada,18,146.00,18.5%,22.2%,19,20,0,45,71,64.9%,70.4%,57.6%,24,12,41,5,41,5.00,49,0,59.3%,2,1,0,64,116,74,84,42,190,10,1,0,0,32.5%,163,0.48,47.9%,39,27,3,2,366,33.5,7.00,-,22.2%,0.0%,22.2%,78.0%,26.7,32.5%,7,17,1
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2zc6div45o8artjqg9vrawb2s,2026-03-21 17:30:00,clo928vcczjp0mczavs5o7p5k,false,true,false,true,false,OVI,OVI,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,L 2-4,Guillermo Almada,26,134.00,34.3%,34.3%,18,16,1,44,45,65.1%,59.1%,56.1%,45,16,64,5,64,5.00,52,0,59.3%,5,3,0,83,127,127,97,74,254,12,2,0,0,36.9%,174,1.41,54.4%,46,16,1,3,296,38.3,25.00,-,31.8%,18.2%,4.5%,9.0%,25.3,36.9%,10,12,2
