Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3vur4jhid3p73hq5qz0t48bv8,2026-05-23 19:00:00,63f5h8t5e9qm1fqmvfkb23ghh,False,True,False,False,True,RSO,RSO,c8llrezkm3b3op4afrou6b487,ESP,ESP,177.0,D 1-1,Pellegrino Matarazzo,24.0,124.0,37.1%,48.6%,14.0,19.0,8.0,34.0,55,56.0%,46.6%,56.6%,37,18.0,61.0,8.0,61,5.0,38,0.0,56.2%,7.0,5.0,0.0,59.0,102.0,134.0,101.0,76.0,236,11.0,1.0,0.0,0.0,35.6%,146,1.4,44.3%,26.0,20.0,2.0,0.0,222.0,35.1,13.0,-,23.8%,14.3%,19.0%,36.2%,21.2,35.6%,9.0,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3t723gzwnzh44w0jdk8bfjdhw,2026-05-17 17:00:00,63f5h8t5e9qm1fqmvfkb23ghh,True,False,False,True,False,RSO,RSO,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,L 3-4,Pellegrino Matarazzo,18.0,165.0,32.6%,34.9%,32.0,18.0,6.0,54.0,74,63.0%,48.2%,49.6%,24,22.0,67.0,10.0,67,6.0,63,0.0,51.8%,9.0,6.0,0.0,57.0,107.0,153.0,101.0,102.0,260,6.0,2.0,1.0,0.0,33.1%,161,1.15,52.8%,37.0,20.0,0.0,3.0,394.0,37.4,21.0,-,31.4%,11.4%,17.1%,40.7%,19.5,33.1%,8.0,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ooiol9lfrmnu1bfpa099xhxw,2026-05-14 18:00:00,63f5h8t5e9qm1fqmvfkb23ghh,False,True,False,False,True,RSO,RSO,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,D 1-1,Pellegrino Matarazzo,47.0,75.0,26.3%,31.6%,5.0,30.0,1.0,19.0,39,19.4%,65.8%,74.5%,48,10.0,56.0,5.0,56,4.0,26,0.0,51.5%,7.0,8.0,0.0,200.0,283.0,84.0,125.0,42.0,367,17.0,1.0,0.0,0.0,37.0%,148,0.34,56.3%,32.0,15.0,0.0,0.0,247.0,33.4,12.0,-,15.4%,15.4%,15.4%,29.6%,20.1,37.0%,6.0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3m24sjc20wo15f6mmkw3qeqz8,2026-05-09 19:00:00,63f5h8t5e9qm1fqmvfkb23ghh,True,False,False,False,True,RSO,RSO,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,D 2-2,Pellegrino Matarazzo,17.0,179.0,39.3%,39.3%,17.0,16.0,2.0,66.0,106,67.9%,63.8%,55.3%,47,20.0,81.0,7.0,81,10.0,69,0.0,57.0%,1.0,5.0,0.0,45.0,89.0,110.0,91.0,63.0,199,8.0,2.0,0.0,0.0,29.3%,176,2.4,50.0%,20.0,24.0,3.0,0.0,506.0,34.1,18.0,-,24.3%,2.7%,13.5%,24.1%,31.8,29.3%,14.0,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3fzj97pollbznset694q593bo,2026-05-04 19:00:00,63f5h8t5e9qm1fqmvfkb23ghh,False,True,False,True,False,RSO,RSO,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179.0,L 0-1,Pellegrino Matarazzo,21.0,123.0,19.2%,30.8%,17.0,15.0,1.0,53.0,62,56.0%,60.3%,58.7%,36,8.0,50.0,2.0,50,5.0,44,0.0,50.7%,5.0,4.0,0.0,70.0,132.0,121.0,117.0,66.0,253,8.0,0.0,0.0,0.0,33.8%,162,0.16,57.4%,31.0,17.0,4.0,1.0,357.0,30.7,23.0,-,20.0%,8.0%,24.0%,14.1%,30.1,33.8%,6.0,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),39yze5lq7b1227m0ry1qpjfh0,2026-04-26 12:00:00,63f5h8t5e9qm1fqmvfkb23ghh,False,True,False,False,True,RSO,RSO,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,D 3-3,Pellegrino Matarazzo,23.0,121.0,30.0%,43.3%,16.0,18.0,2.0,30.0,54,45.1%,40.4%,56.1%,26,7.0,41.0,3.0,41,8.0,27,1.0,45.7%,11.0,12.0,0.0,63.0,105.0,161.0,112.0,91.0,266,12.0,3.0,0.0,0.0,40.0%,120,2.24,67.3%,23.0,17.0,1.0,1.0,197.0,38.0,23.0,-,21.4%,14.3%,14.3%,39.7%,24.4,40.0%,13.0,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3bvyrbl5qq7s93s7yat969q1g,2026-04-22 18:00:00,63f5h8t5e9qm1fqmvfkb23ghh,True,False,False,True,False,RSO,RSO,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,L 0-1,Pellegrino Matarazzo,7.0,204.0,54.1%,64.9%,15.0,16.0,3.0,64.0,87,63.3%,68.3%,51.0%,18,20.0,40.0,6.0,40,8.0,64,0.0,67.9%,5.0,3.0,0.0,76.0,129.0,103.0,91.0,65.0,232,9.0,0.0,0.0,0.0,38.5%,195,1.89,58.9%,52.0,21.0,2.0,2.0,425.0,31.5,28.0,-,16.7%,13.9%,22.2%,25.3%,29.7,38.5%,13.0,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),36vy9cu402k8m0goxchkpmpzo,2026-04-11 12:00:00,63f5h8t5e9qm1fqmvfkb23ghh,True,False,False,False,True,RSO,RSO,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,D 3-3,Pellegrino Matarazzo,23.0,157.0,33.3%,42.2%,23.0,21.0,6.0,55.0,58,52.2%,55.0%,53.6%,33,18.0,57.0,5.0,57,9.0,40,0.0,53.5%,14.0,6.0,0.0,83.0,130.0,151.0,112.0,86.0,281,7.0,2.0,0.0,1.0,35.0%,177,0.97,60.0%,37.0,16.0,0.0,1.0,354.0,35.1,24.0,-,20.0%,8.0%,28.0%,58.8%,21.6,35.0%,12.0,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),317f8nnd5kiqw5pomd91v86j8,2026-04-04 12:00:00,63f5h8t5e9qm1fqmvfkb23ghh,True,False,True,False,False,RSO,RSO,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855.0,W 2-0,Pellegrino Matarazzo,18.0,156.0,35.7%,35.7%,24.0,10.0,2.0,56.0,48,60.3%,57.4%,56.5%,36,15.0,55.0,9.0,55,13.0,50,0.0,51.4%,1.0,7.0,0.0,56.0,90.0,117.0,74.0,77.0,207,6.0,2.0,0.0,0.0,33.4%,156,2.78,59.3%,25.0,16.0,1.0,1.0,286.0,32.2,21.0,-,5.6%,16.7%,11.1%,75.9%,32.6,33.4%,18.0,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2xgn2f7ghbsseb9afxdo1atqs,2026-03-20 20:00:00,63f5h8t5e9qm1fqmvfkb23ghh,False,True,False,True,False,RSO,RSO,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449.0,L 1-3,Pellegrino Matarazzo,33.0,273.0,38.2%,49.1%,30.0,16.0,7.0,98.0,109,77.8%,52.4%,42.1%,31,21.0,78.0,10.0,78,8.0,85,0.0,54.6%,8.0,19.0,0.0,53.0,90.0,198.0,104.0,131.0,288,6.0,0.0,0.0,1.0,29.0%,198,1.1,68.8%,20.0,28.0,5.0,3.0,549.0,33.5,13.0,-,9.8%,0.0%,9.8%,3.8%,32.4,29.0%,11.0,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
