Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3xq4alyjtlltd6j11gckoxvkk,2026-05-23 19:00:00,ba5e91hjacvma2sjvixn00pjo,True,False,True,False,False,VAL,VAL,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,W 3-1,Carlos Corberán,17.0,125.0,28.0%,28.0%,14.0,16.0,6.0,26.0,31,24.9%,23.9%,53.4%,18,11.0,28.0,6.0,28,10.0,24,1.0,47.1%,9.0,6.0,0.0,72.0,143.0,152.0,131.0,92.0,295,4.0,3.0,0.0,0.0,43.3%,88,1.35,57.1%,20.0,15.0,2.0,1.0,94.0,35.7,16.0,-,26.7%,26.7%,13.3%,34.9%,22.5,43.3%,19.0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3t723gzwnzh44w0jdk8bfjdhw,2026-05-17 17:00:00,ba5e91hjacvma2sjvixn00pjo,False,True,True,False,False,VAL,VAL,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,W 4-3,Carlos Corberán,16.0,110.0,20.8%,41.7%,18.0,27.0,6.0,32.0,38,37.0%,51.8%,62.4%,39,16.0,58.0,3.0,58,7.0,38,0.0,43.0%,5.0,13.0,0.0,71.0,141.0,123.0,130.0,63.0,264,5.0,3.0,1.0,0.0,36.8%,150,1.67,54.3%,29.0,13.0,0.0,2.0,268.0,32.2,20.0,-,25.0%,10.0%,45.0%,34.7%,19.8,36.8%,13.0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3psr2605g4d19sdukq2711gd0,2026-05-14 17:00:00,ba5e91hjacvma2sjvixn00pjo,True,False,False,False,True,VAL,VAL,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,D 1-1,Carlos Corberán,24.0,158.0,53.8%,59.0%,18.0,18.0,4.0,51.0,52,60.5%,46.9%,48.7%,33,24.0,56.0,7.0,56,9.0,49,1.0,49.2%,5.0,12.0,0.0,62.0,115.0,154.0,118.0,89.0,269,0.0,1.0,0.0,0.0,32.8%,144,0.76,66.7%,34.0,20.0,3.0,1.0,302.0,32.3,17.0,-,19.4%,6.5%,25.8%,26.7%,23.3,32.8%,12.0,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3jromoqjf4ywqhz6gv1xpo0lw,2026-05-10 14:15:00,ba5e91hjacvma2sjvixn00pjo,False,True,True,False,False,VAL,VAL,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,W 1-0,Carlos Corberán,27.0,89.0,16.2%,32.4%,18.0,15.0,3.0,13.0,53,29.8%,57.2%,70.9%,22,8.0,30.0,3.0,30,3.0,19,0.0,54.7%,7.0,7.0,0.0,117.0,162.0,94.0,84.0,55.0,256,7.0,1.0,0.0,0.0,33.9%,120,1.19,51.4%,45.0,18.0,1.0,2.0,256.0,30.6,16.0,-,23.1%,15.4%,15.4%,44.4%,23.0,33.9%,7.0,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3indehxonm3sorl5dn4ojvj84,2026-05-02 14:15:00,ba5e91hjacvma2sjvixn00pjo,True,False,False,True,False,VAL,VAL,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,L 0-2,Carlos Corberán,26.0,143.0,32.4%,44.1%,24.0,15.0,7.0,60.0,55,56.4%,50.4%,52.4%,38,15.0,57.0,5.0,57,9.0,45,0.0,48.4%,4.0,7.0,0.0,62.0,124.0,134.0,105.0,91.0,258,8.0,0.0,0.0,0.0,28.8%,135,1.02,54.8%,28.0,14.0,1.0,3.0,351.0,34.3,17.0,-,18.2%,4.5%,27.3%,28.7%,21.7,28.8%,12.0,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),380ebum8hdpxn90su6vzm4bo4,2026-04-25 16:30:00,ba5e91hjacvma2sjvixn00pjo,True,False,True,False,False,VAL,VAL,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,W 2-1,Carlos Corberán,13.0,142.0,29.5%,36.4%,19.0,22.0,8.0,42.0,44,40.0%,35.0%,54.1%,34,9.0,47.0,3.0,47,8.0,38,1.0,50.9%,3.0,12.0,0.0,83.0,134.0,166.0,114.0,103.0,300,2.0,2.0,0.0,0.0,40.9%,131,1.4,47.6%,30.0,20.0,2.0,0.0,195.0,33.9,17.0,-,13.3%,13.3%,33.3%,58.5%,19.2,40.9%,12.0,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ddiuilkmzwc7z89f5cjy1pn8,2026-04-21 17:00:00,ba5e91hjacvma2sjvixn00pjo,False,True,False,False,True,VAL,VAL,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,D 1-1,Carlos Corberán,32.0,117.0,38.7%,38.7%,14.0,22.0,1.0,33.0,42,32.1%,48.0%,65.0%,30,9.0,42.0,4.0,42,8.0,29,0.0,51.1%,8.0,7.0,0.0,95.0,169.0,126.0,126.0,74.0,295,10.0,1.0,0.0,0.0,38.7%,135,1.68,48.3%,26.0,13.0,1.0,2.0,229.0,30.8,17.0,-,13.6%,9.1%,22.7%,12.5%,16.0,38.7%,10.0,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),363nbiu36arb8us8vuxlizqc4,2026-04-11 14:15:00,ba5e91hjacvma2sjvixn00pjo,False,True,False,True,False,VAL,VAL,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,L 0-1,Carlos Corberán,20.0,144.0,34.5%,37.9%,18.0,11.0,5.0,37.0,60,42.5%,43.5%,52.7%,28,16.0,47.0,3.0,47,16.0,36,0.0,55.4%,10.0,4.0,0.0,77.0,134.0,108.0,113.0,52.0,242,10.0,0.0,0.0,0.0,35.5%,111,2.54,57.1%,29.0,18.0,0.0,2.0,217.0,35.5,24.0,-,8.3%,8.3%,20.8%,17.1%,26.8,35.5%,22.0,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),30gnuehy43on5orc9n3sh8pw4,2026-04-05 14:15:00,ba5e91hjacvma2sjvixn00pjo,True,False,False,True,False,VAL,VAL,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,L 2-3,Carlos Corberán,18.0,155.0,50.0%,50.0%,18.0,12.0,4.0,39.0,39,36.5%,48.0%,56.2%,36,17.0,65.0,16.0,65,7.0,27,0.0,51.4%,8.0,7.0,0.0,92.0,161.0,125.0,127.0,67.0,286,6.0,2.0,0.0,0.0,38.6%,133,0.8,56.9%,22.0,17.0,3.0,1.0,241.0,34.7,15.0,-,15.0%,10.0%,20.0%,36.6%,24.1,38.6%,13.0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2zpoy8pxorsqwffemhjkcff2s,2026-03-21 20:00:00,ba5e91hjacvma2sjvixn00pjo,False,True,True,False,False,VAL,VAL,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179.0,W 2-0,Carlos Corberán,22.0,66.0,41.2%,47.1%,17.0,29.0,3.0,23.0,34,27.8%,52.3%,70.7%,35,3.0,43.0,0.0,43,7.0,21,1.0,49.5%,2.0,7.0,0.0,100.0,165.0,92.0,114.0,43.0,257,9.0,2.0,0.0,0.0,39.9%,140,1.39,57.1%,38.0,8.0,1.0,0.0,250.0,34.0,17.0,-,30.8%,7.7%,30.8%,66.7%,22.4,39.9%,9.0,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
