Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
MAL,Einar Galilea (Defender),90.0,0.0,32.1,32.1,4.0,66.7,0.0,8.0,1.0,3.0,6.0,1.0,2.0,6.0,8.0,0.0,2.0,0.0,1.0,3.0,0.0,11.0,3.0,26.1,18.0,0.0,0.0,3.0,3.0,0.0,49.3,18.8,26.1,3.0,60.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,82.0,69.0,95.7,100.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,60.0,0.0,4.0,2026-08-24,2026-08-24_MAL-DEP,DEP,Einar Galilea,Defender
MAL,Alfonso Herrero (Goalkeeper),90.0,0.0,32.1,32.1,3.0,,0.0,5.0,0.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,48.4,15.0,0.0,0.0,0.0,4.0,0.0,25.8,25.8,48.4,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,31.0,90.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,3.0,2026-08-24,2026-08-24_MAL-DEP,DEP,Alfonso Herrero,Goalkeeper
MAL,Joaquín Muñoz (Midfielder),73.0,0.0,32.1,32.1,3.7,100.0,0.0,3.0,8.0,2.0,1.0,9.0,0.0,1.0,1.0,0.0,5.0,0.0,8.0,4.0,2.0,23.0,6.0,5.3,1.0,0.029,2.0,0.0,1.0,0.0,47.4,21.1,5.3,3.0,21.0,0.0,0.0,12.0,1.0,0.0,0.0,3.0,36.0,19.0,89.5,88.9,0.0,0.0,0.02,0.0,0.03,0.0,1.0,0.0,0.0,66.7,50.0,,3.0,2026-08-24,2026-08-24_MAL-DEP,DEP,Joaquín Muñoz,Midfielder
MAL,Juan Cruz (Midfielder),56.0,0.0,32.1,32.1,3.21,100.0,0.0,2.0,5.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,29.0,0.0,27.3,3.0,0.023,0.0,0.0,0.0,0.0,18.2,36.4,27.3,0.0,7.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,19.0,11.0,100.0,100.0,0.0,0.0,0.01,0.0,0.02,1.0,1.0,0.0,0.0,,50.0,100.0,2.0,2026-08-24,2026-08-24_MAL-DEP,DEP,Juan Cruz,Midfielder
MAL,Ángel Recio (Defender),90.0,0.0,32.1,32.1,1.0,66.7,1.0,8.0,0.0,3.0,1.0,1.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,4.0,2.0,12.0,0.0,20.3,12.0,0.0,0.0,4.0,5.0,0.0,25.4,45.8,20.3,0.0,51.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,64.0,59.0,94.9,100.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2026-08-24,2026-08-24_MAL-DEP,DEP,Ángel Recio,Defender
MAL,Carlos Dotor (Midfielder),73.0,0.0,32.1,32.1,2.47,40.0,1.0,4.0,7.0,5.0,0.0,12.0,7.0,2.0,9.0,0.0,9.0,0.0,8.0,3.0,2.0,43.0,2.0,28.3,13.0,0.033,1.0,0.0,4.0,0.0,17.4,43.5,28.3,1.0,45.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,56.0,46.0,80.4,91.7,1.0,0.0,0.04,0.0,0.03,1.0,1.0,1.0,100.0,100.0,66.7,,2.0,2026-08-24,2026-08-24_MAL-DEP,DEP,Carlos Dotor,Midfielder
MAL,Dani Lorenzo (Midfielder),85.0,3.0,32.1,32.1,6.35,60.0,3.0,9.0,6.0,5.0,1.0,18.0,4.0,2.0,6.0,0.0,21.0,1.0,0.0,5.0,2.0,39.0,7.0,12.7,9.0,0.0,2.0,0.0,6.0,0.0,40.8,25.4,12.7,6.0,64.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,89.0,71.0,94.4,94.4,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,,33.3,58.3,,6.0,2026-08-24,2026-08-24_MAL-DEP,DEP,Dani Lorenzo,Midfielder
MAL,Carlos Puga (Defender),90.0,0.0,32.1,32.1,5.0,50.0,0.0,8.0,9.0,9.0,1.0,25.0,7.0,2.0,9.0,0.0,2.0,0.0,0.0,6.0,3.0,28.0,9.0,25.0,15.0,0.015,3.0,2.0,0.0,0.0,5.0,46.7,25.0,6.0,54.0,0.0,1.0,18.0,2.0,0.0,1.0,6.0,94.0,60.0,85.0,88.0,0.0,0.0,0.07,0.0,0.02,1.0,1.0,0.0,0.0,60.0,50.0,0.0,5.0,2026-08-24,2026-08-24_MAL-DEP,DEP,Carlos Puga,Defender
MAL,Izan Merino (Defensive Midfielder),85.0,0.0,32.1,32.1,2.12,,0.0,5.0,1.0,2.0,7.0,11.0,4.0,4.0,8.0,0.0,18.0,0.0,2.0,3.0,1.0,14.0,1.0,16.9,12.0,0.047,0.0,0.0,7.0,0.0,28.2,43.7,16.9,0.0,62.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,73.0,71.0,95.8,100.0,1.0,0.0,0.04,0.0,0.05,1.0,1.0,0.0,0.0,50.0,25.0,0.0,2.0,2026-08-24,2026-08-24_MAL-DEP,DEP,Izan Merino,Defensive Midfielder
MAL,Rafita (Defender),90.0,0.0,32.1,32.1,2.0,50.0,0.0,3.0,5.0,3.0,1.0,8.0,2.0,3.0,5.0,0.0,5.0,1.0,2.0,2.0,1.0,11.0,4.0,18.6,8.0,0.0,0.0,2.0,0.0,0.0,53.5,9.3,18.6,2.0,40.0,0.0,0.0,8.0,1.0,0.0,3.0,2.0,58.0,43.0,88.4,87.5,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,100.0,50.0,0.0,2.0,2026-08-24,2026-08-24_MAL-DEP,DEP,Rafita,Defender
