Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
OSA,Rubén García (Midfielder),72.0,0.0,18.5,22.2,6.25,66.7,0.0,1.0,7.0,4.0,0.0,10.0,3.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,24.0,2.0,36.4,8.0,0.037,1.0,3.0,0.0,0.0,0.0,45.5,36.4,3.0,18.0,1.0,0.0,9.0,7.0,0.0,2.0,3.0,45.0,22.0,81.8,90.0,1.0,0.0,0.14,0.0,0.11,3.0,3.0,2.0,66.7,50.0,33.3,50.0,5.0,2026-08-24,2026-08-24_OSA-LEV,LEV,Rubén García,Midfielder
OSA,Moi Gómez (Midfielder),87.0,0.0,18.5,22.2,4.14,100.0,1.0,1.0,4.0,1.0,1.0,11.0,1.0,3.0,4.0,0.0,4.0,0.0,0.0,1.0,3.0,29.0,2.0,25.8,8.0,0.0,0.0,3.0,2.0,0.0,35.5,22.6,25.8,1.0,23.0,0.0,3.0,7.0,0.0,0.0,4.0,1.0,45.0,31.0,90.3,81.8,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,42.9,25.0,4.0,2026-08-24,2026-08-24_OSA-LEV,LEV,Moi Gómez,Midfielder
OSA,A. Budimir (Striker),80.0,6.0,18.5,22.2,1.13,0.0,0.0,1.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,1.0,0.0,56.0,4.0,75.0,6.0,0.064,0.0,1.0,0.0,0.0,12.5,0.0,75.0,2.0,8.0,0.0,0.0,14.0,0.0,2.0,9.0,2.0,21.0,8.0,12.5,0.0,0.0,0.0,0.0,0.0,0.26,4.0,4.0,2.0,50.0,100.0,71.4,66.7,1.0,2026-08-24,2026-08-24_OSA-LEV,LEV,A. Budimir,Striker
OSA,Sergio Herrera (Goalkeeper),90.0,0.0,18.5,22.2,1.0,,0.0,0.0,0.0,9.0,7.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.9,19.0,0.0,0.0,1.0,5.0,0.0,14.3,17.9,67.9,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,28.0,71.4,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2026-08-24,2026-08-24_OSA-LEV,LEV,Sergio Herrera,Goalkeeper
OSA,Alejandro Catena (Defender),90.0,1.0,18.5,22.2,1.0,69.2,2.0,7.0,4.0,9.0,2.0,2.0,1.0,7.0,8.0,0.0,1.0,1.0,0.0,3.0,0.0,9.0,0.0,42.4,25.0,0.0,0.0,9.0,4.0,0.0,8.5,42.4,42.4,0.0,31.0,1.0,0.0,4.0,1.0,0.0,4.0,0.0,73.0,59.0,81.4,0.0,1.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,100.0,100.0,1.0,2026-08-24,2026-08-24_OSA-LEV,LEV,Alejandro Catena,Defender
OSA,Jon Moncayola (Midfielder),90.0,0.0,18.5,22.2,1.0,50.0,0.0,1.0,2.0,3.0,1.0,10.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,29.0,4.0,37.5,12.0,0.071,0.0,2.0,0.0,0.0,9.4,18.8,37.5,1.0,24.0,0.0,1.0,7.0,1.0,0.0,2.0,1.0,44.0,32.0,87.5,100.0,0.0,0.0,0.02,0.0,0.07,1.0,1.0,1.0,100.0,100.0,71.4,50.0,1.0,2026-08-24,2026-08-24_OSA-LEV,LEV,Jon Moncayola,Midfielder
OSA,Aimar Oroz (Striker),72.0,0.0,18.5,22.2,0.0,0.0,0.0,3.0,6.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,0.0,32.0,3.0,10.5,2.0,0.023,1.0,0.0,0.0,1.0,36.8,10.5,10.5,2.0,17.0,3.0,0.0,6.0,2.0,0.0,2.0,2.0,31.0,19.0,78.9,91.7,3.0,0.0,0.13,0.0,0.02,0.0,1.0,0.0,0.0,,66.7,50.0,0.0,2026-08-24,2026-08-24_OSA-LEV,LEV,Aimar Oroz,Striker
OSA,Jorge Herrando (Defender),90.0,2.0,18.5,22.2,0.0,36.4,0.0,4.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,42.9,18.0,0.101,0.0,7.0,1.0,0.0,38.1,16.7,42.9,1.0,34.0,0.0,3.0,9.0,0.0,0.0,5.0,1.0,61.0,42.0,78.6,,0.0,0.0,0.0,0.0,0.2,2.0,2.0,2.0,100.0,,55.6,80.0,0.0,2026-08-24,2026-08-24_OSA-LEV,LEV,Jorge Herrando,Defender
OSA,Abel Bretones (Defender),90.0,0.0,18.5,22.2,4.0,42.9,0.0,5.0,9.0,9.0,1.0,7.0,2.0,3.0,5.0,0.0,1.0,0.0,2.0,1.0,0.0,13.0,1.0,45.5,15.0,0.0,2.0,3.0,0.0,1.0,24.2,0.0,45.5,0.0,33.0,1.0,1.0,10.0,3.0,0.0,6.0,0.0,59.0,33.0,72.7,85.7,1.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,100.0,50.0,66.7,4.0,2026-08-24,2026-08-24_OSA-LEV,LEV,Abel Bretones,Defender
OSA,Iker Muñoz (Midfielder),90.0,0.0,18.5,22.2,2.0,33.3,1.0,5.0,3.0,6.0,1.0,7.0,1.0,6.0,7.0,0.0,7.0,0.0,0.0,1.0,2.0,25.0,2.0,31.0,13.0,0.0,0.0,2.0,2.0,0.0,31.0,28.6,31.0,0.0,34.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,52.0,42.0,88.1,85.7,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,50.0,60.0,100.0,2.0,2026-08-24,2026-08-24_OSA-LEV,LEV,Iker Muñoz,Midfielder
