Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
RMA,T. Courtois (Goalkeeper),90.0,0.0,17.4,26.1,2.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,37.5,9.0,0.0,0.0,0.0,0.0,0.0,29.2,33.3,37.5,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,24.0,79.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,2026-08-22,2026-08-22_ESP-RMA,ESP,T. Courtois,Goalkeeper
RMA,D. Dumfries (Defender),80.0,1.0,17.4,26.1,1.13,33.3,0.0,3.0,4.0,5.0,0.0,8.0,1.0,1.0,2.0,1.0,1.0,0.0,5.0,2.0,0.0,15.0,5.0,22.6,7.0,0.042,0.0,1.0,0.0,0.0,6.5,48.4,22.6,0.0,31.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,53.0,31.0,87.1,87.5,0.0,0.0,0.01,0.0,0.17,2.0,4.0,1.0,25.0,75.0,83.3,,1.0,2026-08-22,2026-08-22_ESP-RMA,ESP,D. Dumfries,Defender
RMA,K. Mbappé (Striker),90.0,4.0,17.4,26.1,0.0,60.0,0.0,11.0,15.0,1.0,1.0,18.0,7.0,0.0,7.0,1.0,15.0,0.0,4.0,5.0,0.0,15.0,5.0,20.5,8.0,0.153,2.0,0.0,3.0,0.0,25.6,23.1,20.5,5.0,51.0,1.0,0.0,8.0,2.0,2.0,0.0,5.0,67.0,39.0,82.1,72.2,1.0,0.0,0.04,0.0,1.53,7.0,10.0,3.0,30.0,,62.5,,0.0,2026-08-22,2026-08-22_ESP-RMA,ESP,K. Mbappé,Striker
RMA,Bernardo Silva (Defensive Midfielder),80.0,0.0,17.4,26.1,4.5,80.0,1.0,8.0,5.0,4.0,3.0,11.0,9.0,5.0,14.0,0.0,7.0,0.0,0.0,5.0,0.0,16.0,2.0,30.9,17.0,0.0,1.0,2.0,3.0,0.0,18.2,38.2,30.9,3.0,38.0,1.0,1.0,10.0,2.0,0.0,0.0,3.0,68.0,55.0,94.5,90.9,1.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,,4.0,2026-08-22,2026-08-22_ESP-RMA,ESP,Bernardo Silva,Defensive Midfielder
RMA,F. Valverde (Defensive Midfielder),90.0,0.0,17.4,26.1,6.0,77.8,0.0,5.0,2.0,2.0,3.0,6.0,6.0,6.0,12.0,0.0,12.0,0.0,0.0,4.0,1.0,23.0,4.0,36.4,24.0,0.054,0.0,2.0,3.0,0.0,31.8,19.7,36.4,2.0,45.0,1.0,1.0,7.0,1.0,0.0,0.0,2.0,79.0,66.0,97.0,83.3,1.0,0.0,0.04,0.0,0.05,1.0,1.0,0.0,0.0,75.0,57.1,,6.0,2026-08-22,2026-08-22_ESP-RMA,ESP,F. Valverde,Defensive Midfielder
RMA,I. Konaté (Defender),90.0,1.0,17.4,26.1,5.0,75.0,0.0,11.0,1.0,2.0,8.0,0.0,5.0,7.0,12.0,1.0,0.0,0.0,0.0,3.0,0.0,13.0,4.0,25.3,19.0,0.021,0.0,4.0,2.0,0.0,24.0,42.7,25.3,1.0,61.0,0.0,1.0,11.0,0.0,0.0,6.0,1.0,89.0,75.0,97.3,,0.0,0.0,0.01,0.0,0.02,1.0,1.0,1.0,100.0,66.7,72.7,66.7,5.0,2026-08-22,2026-08-22_ESP-RMA,ESP,I. Konaté,Defender
RMA,Vinícius Júnior (Attacking Midfielder),90.0,0.0,17.4,26.1,1.0,50.0,0.0,10.0,15.0,1.0,0.0,7.0,2.0,0.0,2.0,0.0,3.0,0.0,4.0,3.0,0.0,20.0,12.0,38.5,5.0,0.037,0.0,0.0,0.0,0.0,30.8,15.4,38.5,8.0,26.0,0.0,0.0,16.0,2.0,0.0,0.0,8.0,38.0,13.0,69.2,57.1,0.0,0.0,0.03,0.0,0.04,1.0,1.0,0.0,0.0,100.0,75.0,,1.0,2026-08-22,2026-08-22_ESP-RMA,ESP,Vinícius Júnior,Attacking Midfielder
RMA,J. Bellingham (Attacking Midfielder),80.0,3.0,17.4,26.1,2.25,33.3,4.0,7.0,10.0,0.0,1.0,10.0,5.0,3.0,8.0,1.0,15.0,1.0,4.0,5.0,1.0,48.0,5.0,12.8,5.0,0.063,3.0,2.0,6.0,0.0,30.8,38.5,12.8,6.0,37.0,2.0,0.0,15.0,0.0,0.0,3.0,6.0,61.0,39.0,94.9,80.0,2.0,0.0,0.05,1.0,0.13,2.0,2.0,2.0,100.0,25.0,46.7,66.7,2.0,2026-08-22,2026-08-22_ESP-RMA,ESP,J. Bellingham,Attacking Midfielder
RMA,Álvaro Carreras (Defender),64.0,0.0,17.4,26.1,1.41,100.0,0.0,5.0,3.0,3.0,2.0,5.0,2.0,4.0,6.0,0.0,2.0,0.0,1.0,2.0,1.0,12.0,4.0,44.1,15.0,0.0,0.0,1.0,0.0,1.0,29.4,14.7,44.1,1.0,34.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,47.0,34.0,94.1,100.0,2.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,100.0,100.0,,1.0,2026-08-22,2026-08-22_ESP-RMA,ESP,Álvaro Carreras,Defender
RMA,A. Güler (Attacking Midfielder),64.0,0.0,17.4,26.1,2.81,83.3,2.0,4.0,9.0,3.0,0.0,15.0,4.0,3.0,7.0,0.0,8.0,0.0,3.0,2.0,1.0,34.0,5.0,26.8,11.0,0.0,1.0,0.0,5.0,0.0,14.6,41.5,26.8,3.0,45.0,6.0,0.0,8.0,8.0,0.0,1.0,3.0,63.0,41.0,92.7,93.3,7.0,1.0,0.85,0.0,0.0,0.0,0.0,0.0,,100.0,75.0,100.0,3.0,2026-08-22,2026-08-22_ESP-RMA,ESP,A. Güler,Attacking Midfielder
