Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
RAY,A. Batalla (Goalkeeper),60.0,0.0,25.0,32.1,0.0,33.3,0.0,3.0,0.0,6.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.4,9.0,0.0,0.0,0.0,3.0,0.0,36.8,15.8,47.4,0.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,19.0,68.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,,0.0,2026-08-20,2026-08-20_RAY-ALA,ALA,A. Batalla,Goalkeeper
RAY,F. Lejeune (Defender),90.0,0.0,25.0,32.1,4.0,33.3,0.0,7.0,1.0,7.0,2.0,2.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,17.0,2.0,32.7,16.0,0.0,0.0,3.0,2.0,0.0,22.4,36.7,32.7,0.0,33.0,0.0,2.0,10.0,0.0,0.0,6.0,0.0,60.0,49.0,83.7,100.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,25.0,50.0,50.0,4.0,2026-08-20,2026-08-20_RAY-ALA,ALA,F. Lejeune,Defender
RAY,Unai López (Midfielder),90.0,0.0,25.0,32.1,5.0,50.0,2.0,6.0,15.0,6.0,3.0,10.0,1.0,3.0,4.0,0.0,6.0,0.0,2.0,3.0,0.0,34.0,4.0,29.2,14.0,0.026,2.0,1.0,4.0,1.0,35.4,20.8,29.2,3.0,37.0,5.0,0.0,12.0,11.0,0.0,3.0,3.0,76.0,48.0,85.4,100.0,5.0,0.0,0.19,0.0,0.03,1.0,1.0,1.0,100.0,100.0,33.3,0.0,5.0,2026-08-20,2026-08-20_RAY-ALA,ALA,Unai López,Midfielder
RAY,Isi Palazón (Midfielder),17.0,1.0,25.0,32.1,5.29,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,33.3,2.0,0.043,0.0,1.0,0.0,0.0,0.0,50.0,33.3,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,6.0,66.7,100.0,0.0,0.0,0.0,0.0,0.04,1.0,1.0,0.0,0.0,0.0,50.0,,1.0,2026-08-20,2026-08-20_RAY-ALA,ALA,Isi Palazón,Midfielder
RAY,Fran Pérez (Midfielder),55.0,0.0,25.0,32.1,1.64,,0.0,5.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,19.0,1.0,12.5,1.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,12.5,2.0,12.0,1.0,2.0,5.0,1.0,0.0,0.0,2.0,22.0,8.0,87.5,85.7,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,,2.0,2026-08-20,2026-08-20_RAY-ALA,ALA,Fran Pérez,Midfielder
RAY,Sergio Camello (Striker),90.0,1.0,25.0,32.1,3.0,80.0,0.0,7.0,9.0,5.0,0.0,9.0,3.0,1.0,4.0,1.0,4.0,1.0,5.0,5.0,1.0,48.0,3.0,35.0,7.0,0.059,2.0,1.0,0.0,0.0,25.0,20.0,35.0,3.0,27.0,0.0,0.0,11.0,2.0,0.0,2.0,3.0,39.0,20.0,80.0,77.8,0.0,0.0,0.01,1.0,0.18,3.0,3.0,2.0,66.7,,27.3,0.0,3.0,2026-08-20,2026-08-20_RAY-ALA,ALA,Sergio Camello,Striker
RAY,A. Ratiu (Defender),90.0,1.0,25.0,32.1,3.0,87.5,0.0,11.0,10.0,2.0,3.0,3.0,4.0,5.0,9.0,1.0,2.0,1.0,1.0,3.0,1.0,27.0,4.0,51.7,15.0,0.117,0.0,5.0,0.0,0.0,3.4,24.1,51.7,2.0,29.0,0.0,0.0,10.0,3.0,1.0,3.0,2.0,57.0,29.0,86.2,100.0,0.0,0.0,0.02,0.0,0.12,1.0,1.0,0.0,0.0,40.0,50.0,33.3,3.0,2026-08-20,2026-08-20_RAY-ALA,ALA,A. Ratiu,Defender
RAY,P. Ciss (Defensive Midfielder),90.0,0.0,25.0,32.1,3.0,66.7,0.0,3.0,3.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,15.0,2.0,25.7,9.0,0.0,2.0,6.0,0.0,0.0,34.3,25.7,25.7,0.0,24.0,0.0,3.0,10.0,0.0,0.0,4.0,0.0,51.0,35.0,85.7,66.7,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,50.0,40.0,50.0,3.0,2026-08-20,2026-08-20_RAY-ALA,ALA,P. Ciss,Defensive Midfielder
RAY,Jorge de Frutos (Midfielder),90.0,0.0,25.0,32.1,5.0,50.0,0.0,5.0,8.0,5.0,0.0,5.0,1.0,2.0,3.0,0.0,2.0,0.0,12.0,2.0,0.0,45.0,7.0,31.3,5.0,0.0,1.0,2.0,1.0,0.0,6.3,43.8,31.3,5.0,13.0,0.0,0.0,17.0,3.0,0.0,2.0,5.0,36.0,16.0,68.8,80.0,1.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,,50.0,47.1,50.0,5.0,2026-08-20,2026-08-20_RAY-ALA,ALA,Jorge de Frutos,Midfielder
RAY,J. Vertrouwd (Defender),90.0,0.0,25.0,32.1,4.0,100.0,0.0,4.0,4.0,4.0,1.0,2.0,3.0,5.0,8.0,0.0,3.0,1.0,0.0,3.0,1.0,15.0,1.0,41.4,12.0,0.0,1.0,2.0,0.0,0.0,44.8,10.3,41.4,0.0,21.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,46.0,29.0,82.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,33.3,,4.0,2026-08-20,2026-08-20_RAY-ALA,ALA,J. Vertrouwd,Defender
