Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
RSO,Álex Remiro (Goalkeeper),90.0,0.0,32.0,36.0,0.0,50.0,1.0,5.0,0.0,10.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,43.2,16.0,0.0,0.0,0.0,4.0,0.0,32.4,24.3,43.2,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,37.0,75.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,2026-08-26,2026-08-26_RMA-RSO,RMA,Álex Remiro,Goalkeeper
RSO,Mikel Oyarzabal (Striker),57.0,1.0,32.0,36.0,3.16,0.0,0.0,5.0,4.0,3.0,0.0,6.0,3.0,2.0,5.0,1.0,6.0,1.0,7.0,3.0,0.0,39.0,1.0,19.2,5.0,0.176,0.0,0.0,1.0,0.0,19.2,19.2,19.2,0.0,23.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,32.0,26.0,80.8,66.7,1.0,0.0,0.03,0.0,0.18,1.0,1.0,1.0,100.0,0.0,50.0,50.0,2.0,2026-08-26,2026-08-26_RMA-RSO,RMA,Mikel Oyarzabal,Striker
RSO,Y. Herrera (Defensive Midfielder),66.0,0.0,32.0,36.0,1.36,75.0,1.0,3.0,2.0,6.0,4.0,6.0,3.0,3.0,6.0,0.0,5.0,0.0,0.0,1.0,1.0,42.0,4.0,26.8,11.0,0.0,3.0,1.0,1.0,0.0,31.7,31.7,26.8,1.0,34.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,54.0,41.0,90.2,100.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,36.4,0.0,1.0,2026-08-26,2026-08-26_RMA-RSO,RMA,Y. Herrera,Defensive Midfielder
RSO,T. Kubo (Attacking Midfielder),74.0,1.0,32.0,36.0,2.43,60.0,0.0,6.0,9.0,1.0,0.0,8.0,2.0,0.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,34.0,4.0,31.3,5.0,0.0,1.0,0.0,0.0,1.0,18.8,25.0,31.3,4.0,16.0,1.0,0.0,8.0,1.0,0.0,0.0,4.0,28.0,16.0,75.0,62.5,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,50.0,,3.0,2026-08-26,2026-08-26_RMA-RSO,RMA,T. Kubo,Attacking Midfielder
RSO,Sergio Gómez (Defender),90.0,0.0,32.0,36.0,5.0,100.0,0.0,11.0,8.0,7.0,2.0,24.0,1.0,8.0,9.0,1.0,2.0,1.0,6.0,3.0,1.0,18.0,2.0,30.1,22.0,0.041,0.0,1.0,1.0,0.0,38.4,8.2,30.1,2.0,69.0,2.0,2.0,3.0,3.0,0.0,0.0,2.0,101.0,73.0,90.4,87.5,2.0,0.0,0.04,0.0,0.08,2.0,2.0,0.0,0.0,100.0,66.7,,5.0,2026-08-26,2026-08-26_RMA-RSO,RMA,Sergio Gómez,Defender
RSO,L. Sucic (Attacking Midfielder),90.0,1.0,32.0,36.0,3.0,75.0,0.0,8.0,5.0,3.0,0.0,12.0,6.0,3.0,9.0,2.0,13.0,0.0,4.0,2.0,0.0,31.0,1.0,17.9,10.0,0.059,1.0,0.0,4.0,0.0,32.1,21.4,17.9,1.0,52.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,70.0,56.0,98.2,91.7,1.0,0.0,0.17,1.0,0.12,2.0,2.0,1.0,50.0,0.0,20.0,,3.0,2026-08-26,2026-08-26_RMA-RSO,RMA,L. Sucic,Attacking Midfielder
RSO,Beñat Turrientes (Defensive Midfielder),90.0,0.0,32.0,36.0,3.0,100.0,1.0,6.0,3.0,0.0,6.0,12.0,6.0,6.0,12.0,0.0,8.0,0.0,0.0,4.0,0.0,41.0,2.0,26.0,19.0,0.016,1.0,4.0,1.0,0.0,17.8,35.6,26.0,0.0,66.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,85.0,73.0,98.6,91.7,1.0,0.0,0.05,0.0,0.02,1.0,1.0,1.0,100.0,33.3,50.0,,3.0,2026-08-26,2026-08-26_RMA-RSO,RMA,Beñat Turrientes,Defensive Midfielder
RSO,J. Aramburu (Defender),57.0,0.0,32.0,36.0,0.0,0.0,1.0,8.0,8.0,1.0,0.0,5.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,26.0,2.0,20.6,7.0,0.013,0.0,0.0,1.0,0.0,5.9,44.1,20.6,3.0,33.0,0.0,1.0,7.0,1.0,0.0,1.0,3.0,48.0,34.0,88.2,60.0,0.0,0.0,0.01,0.0,0.01,1.0,1.0,0.0,0.0,0.0,28.6,0.0,0.0,2026-08-26,2026-08-26_RMA-RSO,RMA,J. Aramburu,Defender
RSO,Jon Martín (Defender),90.0,0.0,32.0,36.0,3.0,100.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,12.0,2.0,26.9,14.0,0.0,0.0,0.0,1.0,0.0,55.8,11.5,26.9,1.0,33.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,56.0,52.0,96.2,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,50.0,50.0,0.0,3.0,2026-08-26,2026-08-26_RMA-RSO,RMA,Jon Martín,Defender
RSO,J. Ochieng (Attacking Midfielder),66.0,0.0,32.0,36.0,1.36,50.0,0.0,3.0,4.0,3.0,0.0,6.0,1.0,0.0,1.0,0.0,2.0,1.0,12.0,1.0,0.0,33.0,0.0,15.4,2.0,0.083,2.0,0.0,0.0,0.0,30.8,15.4,15.4,0.0,12.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,19.0,13.0,69.2,66.7,0.0,0.0,0.01,0.0,0.08,0.0,1.0,0.0,0.0,,0.0,,1.0,2026-08-26,2026-08-26_RMA-RSO,RMA,J. Ochieng,Attacking Midfielder
