Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
ATH,I. Williams (Attacking Midfielder),58.0,1.0,52.8,55.6,3.1,50.0,0.0,1.0,7.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,3.0,0.0,9.0,3.0,0.0,19.0,5.0,33.3,4.0,0.075,1.0,0.0,0.0,0.0,25.0,25.0,33.3,4.0,11.0,2.0,1.0,11.0,1.0,0.0,4.0,4.0,24.0,12.0,66.7,80.0,2.0,0.0,0.02,0.0,0.15,2.0,2.0,2.0,100.0,100.0,63.6,50.0,3.0,2026-08-22,2026-08-22_ATH-SEV,SEV,I. Williams,Attacking Midfielder
ATH,Yeray (Defender),90.0,2.0,52.8,55.6,3.0,33.3,0.0,9.0,9.0,5.0,2.0,4.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,1.0,12.0,4.0,35.2,19.0,0.067,0.0,7.0,0.0,1.0,13.0,40.7,35.2,7.0,43.0,1.0,0.0,12.0,3.0,0.0,6.0,7.0,78.0,54.0,85.2,100.0,2.0,1.0,0.01,0.0,0.13,2.0,2.0,0.0,0.0,,66.7,66.7,3.0,2026-08-22,2026-08-22_ATH-SEV,SEV,Yeray,Defender
ATH,Yuri (Defender),11.0,0.0,52.8,55.6,0.0,,0.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,41.2,7.0,0.0,0.0,0.0,0.0,0.0,35.3,17.6,41.2,0.0,14.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,18.0,17.0,82.4,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,,,50.0,100.0,0.0,2026-08-22,2026-08-22_ATH-SEV,SEV,Yuri,Defender
ATH,Alex Berenguer (Attacking Midfielder),90.0,1.0,52.8,55.6,3.0,75.0,0.0,14.0,20.0,3.0,0.0,17.0,3.0,4.0,7.0,0.0,2.0,0.0,9.0,4.0,0.0,19.0,3.0,32.7,16.0,0.026,2.0,0.0,0.0,0.0,30.6,8.2,32.7,4.0,45.0,1.0,0.0,11.0,7.0,0.0,4.0,4.0,85.0,49.0,85.7,82.4,0.0,0.0,0.11,0.0,0.05,1.0,2.0,1.0,50.0,100.0,45.5,50.0,3.0,2026-08-22,2026-08-22_ATH-SEV,SEV,Alex Berenguer,Attacking Midfielder
ATH,Unai Simón (Goalkeeper),90.0,0.0,52.8,55.6,2.0,42.9,0.0,1.0,0.0,19.0,5.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.9,35.0,0.0,0.0,1.0,7.0,0.0,12.5,14.6,72.9,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,48.0,60.4,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,,,2.0,2026-08-22,2026-08-22_ATH-SEV,SEV,Unai Simón,Goalkeeper
ATH,Gorka Guruzeta (Striker),58.0,1.0,52.8,55.6,3.1,33.3,0.0,0.0,7.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,2.0,0.0,32.0,2.0,23.1,3.0,0.023,0.0,2.0,0.0,0.0,30.8,23.1,23.1,0.0,8.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,24.0,13.0,46.2,50.0,0.0,0.0,0.01,0.0,0.05,2.0,2.0,0.0,0.0,,62.5,50.0,2.0,2026-08-22,2026-08-22_ATH-SEV,SEV,Gorka Guruzeta,Striker
ATH,Aitor Paredes (Defender),74.0,1.0,52.8,55.6,3.65,62.5,0.0,11.0,2.0,8.0,6.0,4.0,2.0,3.0,5.0,1.0,3.0,1.0,0.0,3.0,0.0,13.0,4.0,24.3,17.0,0.262,0.0,4.0,2.0,0.0,31.4,35.7,24.3,0.0,49.0,1.0,0.0,8.0,1.0,1.0,3.0,0.0,85.0,70.0,87.1,75.0,1.0,0.0,0.02,1.0,0.26,1.0,1.0,1.0,100.0,50.0,87.5,100.0,3.0,2026-08-22,2026-08-22_ATH-SEV,SEV,Aitor Paredes,Defender
ATH,Oihan Sancet (Attacking Midfielder),90.0,4.0,52.8,55.6,4.0,50.0,0.0,7.0,13.0,2.0,0.0,16.0,4.0,0.0,4.0,0.0,12.0,0.0,4.0,4.0,1.0,24.0,8.0,16.7,6.0,0.125,3.0,0.0,1.0,0.0,30.6,25.0,16.7,9.0,35.0,3.0,1.0,20.0,1.0,1.0,4.0,9.0,64.0,36.0,86.1,93.8,3.0,0.0,0.17,0.0,0.38,2.0,3.0,1.0,33.3,33.3,50.0,50.0,4.0,2026-08-22,2026-08-22_ATH-SEV,SEV,Oihan Sancet,Attacking Midfielder
ATH,Jesús Areso (Defender),58.0,1.0,52.8,55.6,3.1,66.7,0.0,5.0,6.0,2.0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,12.0,3.0,18.2,4.0,0.07,1.0,0.0,0.0,0.0,0.0,40.9,18.2,2.0,19.0,2.0,1.0,8.0,2.0,0.0,1.0,2.0,41.0,22.0,86.4,88.9,2.0,0.0,0.08,0.0,0.07,1.0,1.0,0.0,0.0,100.0,50.0,100.0,2.0,2026-08-22,2026-08-22_ATH-SEV,SEV,Jesús Areso,Defender
ATH,Beñat Gerenabarrena (Defensive Midfielder),83.0,0.0,52.8,55.6,1.08,40.0,0.0,4.0,9.0,5.0,0.0,11.0,5.0,0.0,5.0,1.0,10.0,0.0,0.0,3.0,2.0,41.0,5.0,19.5,8.0,0.031,0.0,0.0,0.0,0.0,29.3,31.7,19.5,0.0,32.0,0.0,4.0,12.0,4.0,0.0,1.0,0.0,60.0,41.0,80.5,72.7,0.0,0.0,0.02,0.0,0.03,1.0,1.0,1.0,100.0,75.0,50.0,100.0,1.0,2026-08-22,2026-08-22_ATH-SEV,SEV,Beñat Gerenabarrena,Defensive Midfielder
