Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
ATM,J. Oblak (Goalkeeper),90.0,0.0,28.6,45.7,1.0,0.0,0.0,5.0,0.0,6.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.4,13.0,0.0,0.0,0.0,0.0,0.0,10.7,42.9,46.4,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,28.0,78.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2026-08-19,2026-08-19_ATM-MAL,MAL,J. Oblak,Goalkeeper
ATM,Koke (Defensive Midfielder),78.0,0.0,28.6,45.7,4.62,57.1,1.0,7.0,13.0,1.0,3.0,14.0,10.0,6.0,16.0,0.0,15.0,0.0,0.0,13.0,1.0,32.0,3.0,28.4,19.0,0.0,0.0,0.0,9.0,0.0,23.9,37.3,28.4,0.0,53.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,79.0,67.0,88.1,64.3,1.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,,25.0,50.0,,5.0,2026-08-19,2026-08-19_ATM-MAL,MAL,Koke,Defensive Midfielder
ATM,A. Lookman (Striker),90.0,1.0,28.6,45.7,2.0,100.0,0.0,4.0,10.0,2.0,0.0,12.0,1.0,0.0,1.0,1.0,10.0,0.0,8.0,7.0,1.0,41.0,2.0,13.0,3.0,0.077,0.0,0.0,0.0,0.0,30.4,13.0,13.0,3.0,25.0,0.0,0.0,7.0,0.0,1.0,0.0,3.0,33.0,23.0,73.9,58.3,0.0,0.0,0.01,0.0,0.15,2.0,2.0,2.0,100.0,0.0,28.6,,2.0,2026-08-19,2026-08-19_ATM-MAL,MAL,A. Lookman,Striker
ATM,Robin Le Normand (Defender),90.0,0.0,28.6,45.7,2.0,50.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,15.0,3.0,20.0,6.0,0.0,1.0,6.0,3.0,0.0,10.0,60.0,20.0,1.0,24.0,0.0,3.0,9.0,0.0,0.0,3.0,1.0,48.0,30.0,93.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,66.7,100.0,2.0,2026-08-19,2026-08-19_ATM-MAL,MAL,Robin Le Normand,Defender
ATM,D. Hancko (Defender),90.0,4.0,28.6,45.7,5.0,76.9,3.0,5.0,2.0,5.0,8.0,4.0,8.0,14.0,22.0,0.0,7.0,0.0,2.0,14.0,2.0,15.0,5.0,38.9,37.0,0.023,0.0,2.0,5.0,0.0,28.4,25.3,38.9,0.0,76.0,0.0,2.0,8.0,1.0,0.0,2.0,0.0,113.0,95.0,95.8,100.0,1.0,1.0,0.21,0.0,0.07,2.0,3.0,0.0,0.0,66.7,87.5,100.0,5.0,2026-08-19,2026-08-19_ATM-MAL,MAL,D. Hancko,Defender
ATM,Carlos Martín (Midfielder),57.0,3.0,28.6,45.7,3.16,75.0,0.0,1.0,9.0,1.0,0.0,12.0,2.0,1.0,3.0,0.0,1.0,0.0,9.0,6.0,0.0,33.0,0.0,30.0,6.0,0.033,1.0,0.0,0.0,0.0,0.0,45.0,30.0,0.0,17.0,0.0,0.0,8.0,1.0,0.0,3.0,0.0,28.0,20.0,75.0,75.0,0.0,0.0,0.07,0.0,0.07,2.0,2.0,0.0,0.0,,12.5,33.3,2.0,2026-08-19,2026-08-19_ATM-MAL,MAL,Carlos Martín,Midfielder
ATM,Arnau Ortiz (Midfielder),57.0,0.0,28.6,45.7,0.0,0.0,0.0,5.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,5.0,0.0,15.0,2.0,14.3,1.0,0.0,1.0,0.0,1.0,0.0,42.9,28.6,14.3,1.0,13.0,3.0,0.0,6.0,3.0,0.0,1.0,1.0,16.0,7.0,71.4,66.7,3.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,,0.0,33.3,0.0,0.0,2026-08-19,2026-08-19_ATM-MAL,MAL,Arnau Ortiz,Midfielder
ATM,Pablo Barrios (Midfielder),90.0,0.0,28.6,45.7,8.0,75.0,0.0,4.0,7.0,2.0,2.0,14.0,8.0,3.0,11.0,0.0,14.0,0.0,2.0,11.0,3.0,33.0,5.0,24.1,14.0,0.0,1.0,0.0,2.0,1.0,37.9,17.2,24.1,4.0,45.0,1.0,3.0,9.0,0.0,0.0,1.0,4.0,71.0,58.0,87.9,85.7,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,66.7,100.0,8.0,2026-08-19,2026-08-19_ATM-MAL,MAL,Pablo Barrios,Midfielder
ATM,Rodrigo Mendoza (Midfielder),57.0,1.0,28.6,45.7,4.74,100.0,0.0,1.0,6.0,1.0,0.0,10.0,4.0,0.0,4.0,0.0,8.0,1.0,2.0,6.0,1.0,43.0,3.0,18.2,4.0,0.075,0.0,0.0,1.0,0.0,31.8,31.8,18.2,4.0,24.0,0.0,0.0,8.0,0.0,1.0,0.0,4.0,34.0,22.0,90.9,90.0,0.0,0.0,0.08,0.0,0.22,2.0,3.0,2.0,66.7,25.0,37.5,,3.0,2026-08-19,2026-08-19_ATM-MAL,MAL,Rodrigo Mendoza,Midfielder
ATM,Dani Martínez (Defender),90.0,1.0,28.6,45.7,7.0,66.7,0.0,4.0,7.0,10.0,2.0,17.0,3.0,3.0,6.0,0.0,0.0,0.0,4.0,13.0,1.0,30.0,6.0,32.7,18.0,0.221,0.0,2.0,0.0,0.0,34.5,1.8,32.7,8.0,53.0,0.0,0.0,13.0,2.0,1.0,0.0,8.0,88.0,55.0,85.5,82.4,0.0,0.0,0.03,0.0,0.22,0.0,1.0,0.0,0.0,20.0,46.2,,8.0,2026-08-19,2026-08-19_ATM-MAL,MAL,Dani Martínez,Defender
ATM,Jorge Domínguez (Defender),45.0,0.0,28.6,45.7,0.0,100.0,0.0,3.0,3.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,14.0,2.0,15.4,2.0,0.0,1.0,0.0,0.0,0.0,7.7,61.5,15.4,0.0,13.0,0.0,0.0,9.0,1.0,0.0,2.0,0.0,24.0,13.0,100.0,100.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,33.3,50.0,0.0,2026-08-19,2026-08-19_ATM-MAL,MAL,Jorge Domínguez,Defender
