Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
BAR,A. Christensen (Defender),90.0,0.0,23.3,46.7,3.0,60.0,0.0,10.0,1.0,2.0,11.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,18.0,0.0,23.0,17.0,0.0,0.0,8.0,2.0,0.0,39.2,35.1,23.0,1.0,60.0,0.0,2.0,8.0,0.0,0.0,5.0,1.0,89.0,74.0,97.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,37.5,60.0,3.0,2026-08-23,2026-08-23_ELC-BAR,ELC,A. Christensen,Defender
BAR,Raphinha (Striker),80.0,5.0,23.3,46.7,1.13,50.0,0.0,5.0,3.0,2.0,0.0,7.0,1.0,0.0,1.0,0.0,5.0,0.0,9.0,3.0,0.0,26.0,1.0,11.1,2.0,0.668,0.0,1.0,1.0,2.0,33.3,22.2,11.1,1.0,19.0,2.0,0.0,3.0,2.0,3.0,1.0,1.0,26.0,18.0,83.3,85.7,3.0,1.0,0.36,2.0,2.0,3.0,3.0,3.0,100.0,0.0,33.3,0.0,1.0,2026-08-23,2026-08-23_ELC-BAR,ELC,Raphinha,Striker
BAR,Eric García (Defender),90.0,0.0,23.3,46.7,4.0,40.0,0.0,5.0,6.0,5.0,5.0,3.0,5.0,13.0,19.0,0.0,2.0,0.0,1.0,4.0,0.0,35.0,5.0,60.6,43.0,0.0,0.0,5.0,2.0,1.0,2.8,31.0,60.6,2.0,60.0,1.0,2.0,9.0,1.0,0.0,2.0,2.0,101.0,71.0,87.3,100.0,1.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,,50.0,66.7,50.0,4.0,2026-08-23,2026-08-23_ELC-BAR,ELC,Eric García,Defender
BAR,K. Adeyemi (Attacking Midfielder),65.0,3.0,23.3,46.7,1.38,33.3,0.0,6.0,6.0,7.0,0.0,8.0,1.0,1.0,2.0,0.0,2.0,0.0,11.0,3.0,1.0,34.0,4.0,30.0,6.0,0.52,0.0,0.0,0.0,0.0,30.0,0.0,30.0,3.0,18.0,1.0,0.0,5.0,0.0,1.0,0.0,3.0,31.0,20.0,55.0,50.0,1.0,0.0,0.05,1.0,0.52,1.0,1.0,1.0,100.0,,80.0,,1.0,2026-08-23,2026-08-23_ELC-BAR,ELC,K. Adeyemi,Attacking Midfielder
BAR,Joan García (Goalkeeper),90.0,0.0,23.3,46.7,3.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,28.6,6.0,0.0,0.0,1.0,4.0,0.0,19.0,52.4,28.6,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,21.0,90.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,2026-08-23,2026-08-23_ELC-BAR,ELC,Joan García,Goalkeeper
BAR,Gavi (Defensive Midfielder),44.0,0.0,23.3,46.7,2.05,66.7,1.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,28.0,3.0,21.4,3.0,0.0,0.0,0.0,1.0,0.0,28.6,35.7,21.4,0.0,13.0,0.0,1.0,9.0,0.0,0.0,3.0,0.0,25.0,14.0,85.7,100.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,55.6,66.7,1.0,2026-08-23,2026-08-23_ELC-BAR,ELC,Gavi,Defensive Midfielder
BAR,Gerard Martín (Defender),90.0,0.0,23.3,46.7,1.0,,0.0,6.0,0.0,2.0,2.0,0.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,2.0,17.2,10.0,0.0,0.0,11.0,0.0,0.0,50.0,29.3,17.2,0.0,49.0,0.0,1.0,7.0,0.0,0.0,4.0,0.0,75.0,58.0,96.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,42.9,25.0,1.0,2026-08-23,2026-08-23_ELC-BAR,ELC,Gerard Martín,Defender
BAR,Fermín López (Attacking Midfielder),90.0,2.0,23.3,46.7,3.0,80.0,0.0,1.0,9.0,4.0,1.0,7.0,1.0,2.0,3.0,1.0,10.0,0.0,8.0,4.0,0.0,33.0,5.0,21.2,7.0,0.506,1.0,0.0,0.0,1.0,21.2,30.3,21.2,2.0,33.0,1.0,0.0,10.0,0.0,2.0,1.0,2.0,51.0,33.0,81.8,71.4,1.0,0.0,0.03,2.0,1.01,2.0,2.0,2.0,100.0,33.3,60.0,100.0,3.0,2026-08-23,2026-08-23_ELC-BAR,ELC,Fermín López,Attacking Midfielder
BAR,Lamine Yamal (Attacking Midfielder),65.0,0.0,23.3,46.7,2.77,50.0,0.0,6.0,9.0,3.0,1.0,10.0,2.0,1.0,3.0,2.0,2.0,0.0,5.0,2.0,0.0,27.0,3.0,24.1,7.0,0.103,1.0,0.0,0.0,1.0,0.0,48.3,24.1,2.0,31.0,1.0,1.0,6.0,0.0,1.0,0.0,2.0,41.0,29.0,75.9,90.0,1.0,0.0,0.15,0.0,0.21,2.0,2.0,0.0,0.0,100.0,50.0,,2.0,2026-08-23,2026-08-23_ELC-BAR,ELC,Lamine Yamal,Attacking Midfielder
BAR,Marc Bernal (Defensive Midfielder),80.0,1.0,23.3,46.7,6.75,27.3,0.0,3.0,5.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,9.0,0.0,2.0,6.0,1.0,38.0,8.0,38.1,16.0,0.443,0.0,0.0,1.0,0.0,19.0,26.2,38.1,0.0,29.0,0.0,2.0,10.0,0.0,1.0,1.0,0.0,59.0,42.0,76.2,75.0,0.0,0.0,0.03,0.0,0.44,1.0,1.0,0.0,0.0,12.5,80.0,0.0,6.0,2026-08-23,2026-08-23_ELC-BAR,ELC,Marc Bernal,Defensive Midfielder
