Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
CEL,Marcos Alonso (Defender),90.0,2.0,20.0,26.7,7.0,66.7,0.0,17.0,5.0,6.0,3.0,14.0,13.0,3.0,16.0,1.0,12.0,0.0,0.0,4.0,0.0,14.0,3.0,34.0,36.0,0.117,0.0,5.0,1.0,0.0,44.3,18.9,34.0,1.0,89.0,0.0,3.0,6.0,1.0,0.0,1.0,1.0,127.0,106.0,91.5,92.9,0.0,0.0,0.04,0.0,0.23,2.0,2.0,0.0,0.0,100.0,66.7,100.0,7.0,2026-08-22,2026-08-22_VAL-CEL,VAL,Marcos Alonso,Defender
CEL,Javi Galán (Midfielder),64.0,0.0,20.0,26.7,2.81,0.0,0.0,3.0,10.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,18.0,2.0,13.0,3.0,0.0,0.0,2.0,0.0,0.0,47.8,0.0,13.0,3.0,28.0,1.0,1.0,4.0,5.0,0.0,0.0,3.0,45.0,23.0,95.7,90.9,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,50.0,,2.0,2026-08-22,2026-08-22_VAL-CEL,VAL,Javi Galán,Midfielder
CEL,Aleix Febas (Midfielder),77.0,0.0,20.0,26.7,5.84,66.7,0.0,8.0,2.0,2.0,2.0,25.0,4.0,0.0,4.0,0.0,27.0,1.0,0.0,4.0,0.0,25.0,6.0,10.9,7.0,0.02,0.0,1.0,0.0,0.0,39.1,31.3,10.9,1.0,61.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,73.0,64.0,95.3,96.0,0.0,0.0,0.05,0.0,0.02,1.0,1.0,1.0,100.0,50.0,50.0,,5.0,2026-08-22,2026-08-22_VAL-CEL,VAL,Aleix Febas,Midfielder
CEL,I. Radu (Goalkeeper),90.0,0.0,20.0,26.7,3.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.3,6.0,0.0,0.0,1.0,3.0,0.0,36.4,36.4,27.3,0.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30.0,22.0,68.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,100.0,3.0,2026-08-22,2026-08-22_VAL-CEL,VAL,I. Radu,Goalkeeper
CEL,Ferran Jutglà (Striker),64.0,3.0,20.0,26.7,1.41,0.0,0.0,1.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,29.0,1.0,12.5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,12.5,12.5,1.0,9.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,15.0,8.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16.7,0.0,1.0,2026-08-22,2026-08-22_VAL-CEL,VAL,Ferran Jutglà,Striker
CEL,Sergio Carreira (Midfielder),90.0,0.0,20.0,26.7,4.0,40.0,0.0,11.0,8.0,4.0,0.0,27.0,5.0,2.0,7.0,0.0,19.0,1.0,3.0,1.0,1.0,22.0,6.0,27.1,16.0,0.028,0.0,2.0,0.0,0.0,20.3,35.6,27.1,3.0,53.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,78.0,59.0,84.7,92.6,0.0,0.0,0.15,0.0,0.03,0.0,1.0,0.0,0.0,,85.7,,4.0,2026-08-22,2026-08-22_VAL-CEL,VAL,Sergio Carreira,Midfielder
CEL,Hugo Álvarez (Striker),57.0,1.0,20.0,26.7,4.74,0.0,0.0,4.0,7.0,2.0,0.0,13.0,2.0,0.0,2.0,0.0,9.0,0.0,3.0,3.0,1.0,18.0,0.0,14.8,4.0,0.0,2.0,0.0,0.0,1.0,33.3,22.2,14.8,1.0,28.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,33.0,27.0,85.2,84.6,1.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,3.0,2026-08-22,2026-08-22_VAL-CEL,VAL,Hugo Álvarez,Striker
CEL,J. El Abdellaoui (Striker),63.0,0.0,20.0,26.7,0.0,100.0,0.0,3.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,1.0,28.0,0.0,15.4,2.0,0.272,0.0,0.0,0.0,0.0,0.0,38.5,15.4,0.0,14.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,18.0,13.0,92.3,88.9,0.0,0.0,0.02,0.0,0.27,1.0,1.0,0.0,0.0,,0.0,,0.0,2026-08-22,2026-08-22_VAL-CEL,VAL,J. El Abdellaoui,Striker
CEL,Miguel Román (Midfielder),90.0,0.0,20.0,26.7,6.0,70.0,0.0,4.0,6.0,5.0,4.0,22.0,8.0,4.0,12.0,0.0,31.0,0.0,1.0,4.0,1.0,28.0,0.0,24.7,21.0,0.0,0.0,1.0,2.0,0.0,34.1,32.9,24.7,0.0,72.0,2.0,0.0,4.0,3.0,0.0,3.0,0.0,94.0,85.0,90.6,90.9,2.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,,,25.0,33.3,6.0,2026-08-22,2026-08-22_VAL-CEL,VAL,Miguel Román,Midfielder
CEL,Javi Rodríguez (Defender),90.0,0.0,20.0,26.7,3.0,85.7,0.0,14.0,1.0,4.0,5.0,5.0,6.0,7.0,13.0,0.0,11.0,0.0,0.0,3.0,1.0,10.0,1.0,31.0,26.0,0.015,0.0,4.0,0.0,0.0,10.7,53.6,31.0,0.0,75.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,93.0,84.0,95.2,100.0,0.0,0.0,0.03,0.0,0.01,1.0,1.0,1.0,100.0,50.0,33.3,,3.0,2026-08-22,2026-08-22_VAL-CEL,VAL,Javi Rodríguez,Defender
