Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
ESP,M. Dmitrovic (Goalkeeper),90.0,0.0,21.1,21.1,0.0,,0.0,2.0,0.0,5.0,4.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.7,14.0,0.0,0.0,0.0,3.0,0.0,15.8,10.5,73.7,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.0,73.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,2026-08-16,2026-08-16_ESP-LEV,LEV,M. Dmitrovic,Goalkeeper
ESP,Edu Expósito (Defensive Midfielder),86.0,0.0,21.1,21.1,8.37,80.0,0.0,4.0,10.0,3.0,1.0,6.0,6.0,5.0,11.0,0.0,11.0,1.0,0.0,4.0,1.0,15.0,4.0,19.6,10.0,0.037,5.0,1.0,0.0,0.0,31.4,37.3,19.6,2.0,47.0,1.0,0.0,11.0,2.0,0.0,1.0,2.0,74.0,51.0,92.2,100.0,1.0,0.0,0.04,0.0,0.11,1.0,3.0,0.0,0.0,100.0,36.4,0.0,8.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Edu Expósito,Defensive Midfielder
ESP,Unai Núñez (Defender),90.0,0.0,21.1,21.1,4.0,60.0,0.0,2.0,0.0,5.0,5.0,0.0,1.0,11.0,12.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,3.0,32.9,23.0,0.0,0.0,6.0,3.0,0.0,41.4,21.4,32.9,0.0,59.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,81.0,70.0,92.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,100.0,100.0,4.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Unai Núñez,Defender
ESP,T. Dolan (Attacking Midfielder),81.0,1.0,21.1,21.1,11.11,100.0,0.0,11.0,10.0,3.0,2.0,9.0,2.0,2.0,4.0,0.0,1.0,2.0,9.0,4.0,0.0,22.0,2.0,20.7,6.0,0.053,1.0,0.0,0.0,0.0,34.5,0.0,20.7,4.0,26.0,0.0,2.0,8.0,2.0,0.0,0.0,4.0,49.0,29.0,82.8,77.8,0.0,0.0,0.04,1.0,0.21,2.0,4.0,1.0,25.0,100.0,25.0,,11.0,2026-08-16,2026-08-16_ESP-LEV,LEV,T. Dolan,Attacking Midfielder
ESP,Urko González de Zárate (Defensive Midfielder),72.0,0.0,21.1,21.1,7.5,60.0,0.0,5.0,2.0,3.0,0.0,6.0,3.0,2.0,5.0,0.0,9.0,0.0,0.0,3.0,0.0,18.0,3.0,22.6,7.0,0.0,0.0,2.0,0.0,0.0,22.6,35.5,22.6,1.0,27.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,39.0,31.0,87.1,83.3,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,50.0,60.0,,6.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Urko González de Zárate,Defensive Midfielder
ESP,O. El Hilali (Defender),90.0,0.0,21.1,21.1,1.0,50.0,0.0,4.0,6.0,5.0,0.0,4.0,1.0,5.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,17.0,1.0,22.6,7.0,0.0,0.0,4.0,0.0,0.0,6.5,41.9,22.6,0.0,27.0,0.0,2.0,7.0,4.0,0.0,4.0,0.0,59.0,31.0,83.9,100.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,100.0,42.9,50.0,1.0,2026-08-16,2026-08-16_ESP-LEV,LEV,O. El Hilali,Defender
ESP,Roberto Fernández (Striker),90.0,3.0,21.1,21.1,1.0,0.0,0.0,1.0,4.0,4.0,0.0,5.0,1.0,0.0,1.0,1.0,3.0,0.0,11.0,1.0,0.0,32.0,1.0,25.0,3.0,0.23,1.0,0.0,0.0,0.0,8.3,16.7,25.0,1.0,8.0,2.0,0.0,7.0,0.0,2.0,3.0,1.0,20.0,12.0,58.3,80.0,2.0,0.0,0.1,2.0,0.46,2.0,2.0,2.0,100.0,0.0,14.3,0.0,1.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Roberto Fernández,Striker
ESP,C. Riedel (Defender),90.0,0.0,21.1,21.1,1.0,40.0,0.0,4.0,3.0,12.0,3.0,0.0,2.0,7.0,9.0,0.0,2.0,0.0,0.0,4.0,1.0,11.0,1.0,25.7,19.0,0.0,0.0,6.0,2.0,0.0,10.8,52.7,25.7,0.0,57.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,83.0,74.0,81.1,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,50.0,44.4,75.0,1.0,2026-08-16,2026-08-16_ESP-LEV,LEV,C. Riedel,Defender
ESP,Cala (Attacking Midfielder),72.0,0.0,21.1,21.1,1.25,50.0,0.0,4.0,5.0,5.0,2.0,11.0,2.0,1.0,3.0,2.0,7.0,0.0,2.0,3.0,1.0,38.0,3.0,16.0,4.0,0.086,3.0,1.0,0.0,0.0,12.0,40.0,16.0,2.0,22.0,1.0,1.0,13.0,0.0,0.0,4.0,2.0,39.0,25.0,80.0,100.0,1.0,0.0,0.09,0.0,0.17,2.0,2.0,2.0,100.0,25.0,38.5,50.0,1.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Cala,Attacking Midfielder
ESP,Javi Hernández (Attacking Midfielder),82.0,2.0,21.1,21.1,3.29,50.0,1.0,9.0,11.0,5.0,0.0,12.0,0.0,3.0,3.0,0.0,7.0,1.0,10.0,3.0,1.0,29.0,6.0,26.9,7.0,0.094,4.0,1.0,1.0,1.0,30.8,26.9,26.9,3.0,24.0,2.0,0.0,16.0,1.0,0.0,0.0,3.0,45.0,26.0,73.1,66.7,3.0,1.0,0.35,0.0,0.19,2.0,2.0,1.0,50.0,66.7,37.5,,3.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Javi Hernández,Attacking Midfielder
ESP,Roger Hinojo (Defender),90.0,0.0,21.1,21.1,0.0,100.0,0.0,11.0,3.0,6.0,2.0,5.0,5.0,11.0,16.0,0.0,3.0,0.0,0.0,4.0,0.0,14.0,3.0,35.1,20.0,0.0,0.0,2.0,0.0,0.0,49.1,8.8,35.1,0.0,47.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,73.0,57.0,87.7,100.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,,100.0,80.0,100.0,0.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Roger Hinojo,Defender
ESP,Pere Milla (Substitute),8.0,0.0,21.1,21.1,22.5,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.3,33.3,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,3.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,100.0,,2.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Pere Milla,Substitute
ESP,Pol Lozano (Substitute),18.0,0.0,21.1,21.1,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,36.4,4.0,0.058,0.0,0.0,0.0,0.0,18.2,27.3,36.4,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,11.0,81.8,100.0,1.0,0.0,0.02,0.0,0.06,1.0,1.0,0.0,0.0,100.0,50.0,,1.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Pol Lozano,Substitute
ESP,Jofre Carreras (Substitute),9.0,1.0,21.1,21.1,0.0,100.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.7,1.0,0.18,0.0,0.0,0.0,0.0,66.7,0.0,16.7,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,66.7,66.7,0.0,0.0,0.0,0.0,0.18,1.0,1.0,0.0,0.0,,,,0.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Jofre Carreras,Substitute
ESP,Marcos Fernández (Substitute),4.0,0.0,21.1,21.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.096,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0.0,,,,0.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Marcos Fernández,Substitute
ESP,Rafel Bauzà (Substitute),18.0,0.0,21.1,21.1,0.0,66.7,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,25.0,3.0,0.0,0.0,1.0,0.0,0.0,8.3,50.0,25.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,12.0,91.7,100.0,1.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,,,,,0.0,2026-08-16,2026-08-16_ESP-LEV,LEV,Rafel Bauzà,Substitute
