Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
SEV,G. Suazo (Defender),90.0,0.0,35.6,42.2,4.0,57.1,0.0,5.0,11.0,3.0,1.0,8.0,6.0,3.0,9.0,0.0,1.0,0.0,3.0,6.0,1.0,24.0,6.0,36.4,12.0,0.0,0.0,1.0,1.0,0.0,54.5,3.0,36.4,3.0,27.0,0.0,0.0,15.0,2.0,0.0,2.0,3.0,63.0,33.0,81.8,75.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,60.0,53.3,100.0,4.0,2026-08-15,2026-08-15_SEV-RAY,RAY,G. Suazo,Defender
SEV,O. Vlachodimos (Goalkeeper),90.0,0.0,35.6,42.2,2.0,57.1,0.0,6.0,0.0,13.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,69.0,20.0,0.0,0.0,2.0,1.0,0.0,6.9,24.1,69.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,29.0,55.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,2026-08-15,2026-08-15_SEV-RAY,RAY,O. Vlachodimos,Goalkeeper
SEV,Jon Guridi (Attacking Midfielder),82.0,1.0,35.6,42.2,3.29,80.0,0.0,2.0,4.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,44.0,0.0,30.0,6.0,0.426,1.0,0.0,1.0,0.0,25.0,25.0,30.0,0.0,17.0,0.0,0.0,7.0,2.0,1.0,5.0,0.0,29.0,20.0,95.0,100.0,0.0,0.0,0.01,1.0,0.85,2.0,2.0,2.0,100.0,,14.3,20.0,3.0,2026-08-15,2026-08-15_SEV-RAY,RAY,Jon Guridi,Attacking Midfielder
SEV,L. Agoumé (Defensive Midfielder),90.0,0.0,35.6,42.2,6.0,71.4,0.0,6.0,11.0,4.0,0.0,8.0,2.0,4.0,6.0,0.0,5.0,1.0,0.0,6.0,5.0,26.0,7.0,45.7,16.0,0.0,2.0,1.0,0.0,0.0,2.9,25.7,45.7,1.0,23.0,0.0,0.0,14.0,2.0,0.0,2.0,1.0,50.0,35.0,71.4,75.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,,75.0,57.1,50.0,6.0,2026-08-15,2026-08-15_SEV-RAY,RAY,L. Agoumé,Defensive Midfielder
SEV,A. Sangante (Defender),90.0,0.0,35.6,42.2,3.0,58.3,1.0,4.0,3.0,7.0,4.0,2.0,1.0,4.0,5.0,0.0,2.0,0.0,0.0,3.0,1.0,9.0,1.0,42.6,20.0,0.0,0.0,3.0,3.0,0.0,17.0,29.8,42.6,1.0,20.0,0.0,3.0,7.0,1.0,0.0,4.0,1.0,58.0,47.0,83.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,71.4,100.0,3.0,2026-08-15,2026-08-15_SEV-RAY,RAY,A. Sangante,Defender
SEV,Juan Iglesias (Defender),90.0,0.0,35.6,42.2,3.0,62.5,0.0,3.0,12.0,5.0,0.0,4.0,4.0,5.0,9.0,0.0,2.0,0.0,1.0,5.0,0.0,15.0,5.0,51.9,14.0,0.0,1.0,4.0,0.0,0.0,7.4,29.6,51.9,0.0,24.0,2.0,0.0,10.0,5.0,0.0,3.0,0.0,65.0,27.0,66.7,50.0,2.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,50.0,60.0,33.3,3.0,2026-08-15,2026-08-15_SEV-RAY,RAY,Juan Iglesias,Defender
SEV,Kike Salas (Defender),88.0,1.0,35.6,42.2,5.11,45.5,0.0,5.0,3.0,10.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,15.0,4.0,52.3,23.0,0.01,0.0,4.0,1.0,0.0,20.5,22.7,52.3,0.0,26.0,1.0,1.0,13.0,0.0,0.0,7.0,0.0,55.0,44.0,70.5,66.7,1.0,0.0,0.03,0.0,0.01,1.0,1.0,0.0,0.0,50.0,53.8,42.9,5.0,2026-08-15,2026-08-15_SEV-RAY,RAY,Kike Salas,Defender
SEV,Isaac Romero (Striker),45.0,3.0,35.6,42.2,2.0,50.0,0.0,2.0,10.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,1.0,10.0,3.0,0.0,20.0,0.0,23.1,3.0,0.071,1.0,0.0,1.0,0.0,15.4,30.8,23.1,0.0,12.0,0.0,0.0,8.0,1.0,0.0,5.0,0.0,23.0,13.0,61.5,66.7,0.0,0.0,0.01,0.0,0.14,2.0,2.0,0.0,0.0,,37.5,60.0,1.0,2026-08-15,2026-08-15_SEV-RAY,RAY,Isaac Romero,Striker
SEV,Oso (Attacking Midfielder),78.0,1.0,35.6,42.2,2.31,0.0,1.0,3.0,13.0,6.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,21.0,1.0,47.1,8.0,0.024,0.0,1.0,1.0,0.0,35.3,5.9,47.1,1.0,17.0,0.0,0.0,8.0,7.0,0.0,4.0,1.0,31.0,17.0,47.1,100.0,0.0,0.0,0.02,0.0,0.05,1.0,2.0,0.0,0.0,50.0,50.0,75.0,2.0,2026-08-15,2026-08-15_SEV-RAY,RAY,Oso,Attacking Midfielder
SEV,Miguel Sierra (Attacking Midfielder),70.0,2.0,35.6,42.2,6.43,25.0,1.0,5.0,12.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,5.0,1.0,32.0,5.0,37.5,6.0,0.029,3.0,1.0,1.0,0.0,0.0,37.5,37.5,2.0,16.0,2.0,1.0,15.0,1.0,0.0,5.0,2.0,42.0,16.0,56.3,55.6,2.0,0.0,0.13,0.0,0.03,0.0,1.0,0.0,0.0,0.0,46.7,40.0,5.0,2026-08-15,2026-08-15_SEV-RAY,RAY,Miguel Sierra,Attacking Midfielder
