Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3wz71k4469ny273fw5c1yavx0,2026-05-23 19:00:00,3czravw89omgc9o4s0w3l1bg5,False,True,False,True,False,ATH,ATH,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186.0,L 2-4,Ernesto Valverde,21.0,76.0,8.8%,26.5%,14.0,15.0,4.0,18.0,38,38.1%,20.3%,51.7%,11,2.0,17.0,1.0,17,5.0,33,0.0,53.6%,6.0,8.0,0.0,60.0,137.0,186.0,194.0,69.0,323,6.0,2.0,0.0,0.0,41.7%,106,0.81,51.5%,9.0,11.0,1.0,2.0,184.0,32.7,9.0,-,26.7%,13.3%,33.3%,5.7%,13.8,41.7%,8.0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3qyh2orw2524xs3k60h0cxxxw,2026-05-17 17:00:00,3czravw89omgc9o4s0w3l1bg5,True,False,False,False,True,ATH,ATH,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,D 1-1,Ernesto Valverde,5.0,283.0,38.7%,48.4%,31.0,15.0,9.0,83.0,89,78.7%,36.7%,31.8%,35,26.0,107.0,13.0,107,17.0,91,1.0,54.5%,5.0,10.0,0.0,30.0,73.0,182.0,112.0,113.0,255,1.0,1.0,0.0,0.0,30.1%,159,2.49,60.0%,19.0,43.0,5.0,9.0,310.0,36.9,17.0,-,17.8%,8.9%,17.8%,28.2%,23.2,30.1%,27.0,42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3p1xhxrl565qq3x5swdj977dg,2026-05-13 17:00:00,3czravw89omgc9o4s0w3l1bg5,False,True,False,True,False,ATH,ATH,c8llrezkm3b3op4afrou6b487,ESP,ESP,177.0,L 0-2,Ernesto Valverde,16.0,118.0,27.6%,31.0%,12.0,20.0,5.0,28.0,27,38.5%,35.9%,60.3%,18,12.0,29.0,5.0,29,10.0,34,0.0,49.7%,8.0,2.0,0.0,72.0,150.0,143.0,150.0,71.0,293,8.0,0.0,0.0,0.0,48.7%,134,0.82,50.0%,33.0,10.0,6.0,4.0,127.0,34.4,17.0,-,19.0%,19.0%,19.0%,14.8%,17.6,48.7%,11.0,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3jromoqjf4ywqhz6gv1xpo0lw,2026-05-10 14:15:00,3czravw89omgc9o4s0w3l1bg5,True,False,False,True,False,ATH,ATH,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,L 0-1,Ernesto Valverde,8.0,214.0,43.2%,48.6%,19.0,15.0,6.0,43.0,67,70.2%,42.8%,43.6%,17,16.0,36.0,2.0,36,9.0,64,0.0,52.8%,3.0,7.0,0.0,47.0,87.0,173.0,101.0,112.0,260,3.0,0.0,0.0,0.0,31.5%,129,0.93,57.1%,25.0,26.0,2.0,7.0,335.0,38.1,16.0,-,17.1%,11.4%,14.3%,26.5%,28.7,31.5%,14.0,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3getgrlqh307l5da5tutqt3pw,2026-05-02 16:30:00,3czravw89omgc9o4s0w3l1bg5,False,True,True,False,False,ATH,ATH,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,W 4-2,Ernesto Valverde,25.0,173.0,32.3%,32.3%,19.0,18.0,3.0,49.0,72,54.3%,45.9%,49.3%,28,23.0,61.0,4.0,61,4.0,54,0.0,58.3%,6.0,6.0,0.0,84.0,139.0,156.0,125.0,86.0,295,3.0,3.0,1.0,0.0,34.4%,139,0.97,63.8%,41.0,21.0,3.0,4.0,235.0,36.1,17.0,-,10.3%,7.7%,10.3%,30.9%,22.6,34.4%,9.0,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3achbi56yevn41ahu7amhx638,2026-04-25 19:00:00,3czravw89omgc9o4s0w3l1bg5,False,True,False,True,False,ATH,ATH,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,L 2-3,Ernesto Valverde,19.0,172.0,36.6%,58.5%,23.0,13.0,6.0,55.0,69,52.7%,41.6%,49.2%,34,13.0,52.0,1.0,52,9.0,57,1.0,51.3%,8.0,12.0,1.0,61.0,133.0,200.0,158.0,114.0,333,7.0,2.0,0.0,0.0,33.0%,152,0.8,40.0%,28.0,21.0,4.0,7.0,273.0,34.8,26.0,-,14.3%,14.3%,20.0%,24.8%,22.2,33.0%,12.0,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3c9hm7srm769qr9qfg4prhlhw,2026-04-21 17:00:00,3czravw89omgc9o4s0w3l1bg5,True,False,True,False,False,ATH,ATH,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,W 1-0,Ernesto Valverde,19.0,114.0,30.8%,35.9%,15.0,18.0,5.0,21.0,32,39.9%,32.6%,56.5%,20,13.0,31.0,3.0,31,5.0,23,0.0,51.8%,6.0,6.0,0.0,59.0,110.0,183.0,128.0,106.0,293,5.0,1.0,0.0,0.0,38.6%,112,0.54,56.5%,26.0,8.0,2.0,1.0,139.0,30.8,14.0,-,8.3%,20.8%,25.0%,66.6%,21.8,38.6%,7.0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),34zj5er2za9qrjro5eq94ack4,2026-04-12 19:00:00,3czravw89omgc9o4s0w3l1bg5,True,False,False,True,False,ATH,ATH,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449.0,L 1-2,Ernesto Valverde,15.0,274.0,47.3%,60.0%,29.0,14.0,10.0,85.0,89,76.8%,45.3%,35.6%,21,22.0,69.0,4.0,69,9.0,66,0.0,47.8%,8.0,7.0,0.0,43.0,78.0,185.0,88.0,132.0,263,4.0,1.0,0.0,0.0,30.2%,169,1.16,58.3%,17.0,26.0,3.0,12.0,326.0,33.7,30.0,-,17.1%,7.3%,14.6%,14.5%,28.1,30.2%,18.0,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),33vcbxcbnojlxdm39q4elkutw,2026-04-05 12:00:00,3czravw89omgc9o4s0w3l1bg5,False,True,False,True,False,ATH,ATH,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,L 0-2,Ernesto Valverde,16.0,163.0,52.4%,61.9%,19.0,23.0,2.0,66.0,116,66.5%,68.0%,50.5%,30,30.0,68.0,9.0,68,5.0,69,0.0,56.4%,3.0,5.0,0.0,62.0,115.0,100.0,85.0,68.0,215,7.0,0.0,0.0,0.0,35.2%,185,0.57,48.4%,34.0,37.0,3.0,1.0,457.0,34.0,29.0,-,13.2%,15.8%,7.9%,11.0%,22.4,35.2%,5.0,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2xuajcyluofrmnt1siit15jbo,2026-03-22 17:30:00,3czravw89omgc9o4s0w3l1bg5,True,False,True,False,False,ATH,ATH,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,W 2-1,Ernesto Valverde,16.0,201.0,26.7%,28.9%,14.0,29.0,4.0,44.0,55,50.6%,31.1%,44.9%,30,14.0,46.0,2.0,46,7.0,64,0.0,47.8%,7.0,12.0,0.0,66.0,128.0,193.0,150.0,105.0,321,8.0,1.0,0.0,1.0,38.5%,138,1.26,48.8%,22.0,19.0,1.0,1.0,203.0,29.5,25.0,-,16.2%,29.7%,5.4%,76.5%,18.4,38.5%,11.0,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
