Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3vhe91racce86uhq0b3mw29sk,2026-05-23 19:00:00,6f27yvbqcngegwsg2ozxxdj4,True,False,True,False,False,CEL,CEL,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179.0,W 1-0,Claudio Giráldez,18.0,129.0,36.0%,48.0%,20.0,22.0,4.0,52.0,73,52.7%,55.5%,57.1%,69,26.0,114.0,18.0,114,9.0,63,1.0,48.4%,6.0,6.0,1.0,78.0,123.0,115.0,100.0,60.0,238,9.0,1.0,0.0,0.0,31.5%,167,1.59,60.7%,24.0,22.0,0.0,0.0,322.0,33.7,16.0,-,14.8%,3.7%,7.4%,63.9%,26.3,31.5%,12.0,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3qyh2orw2524xs3k60h0cxxxw,2026-05-17 17:00:00,6f27yvbqcngegwsg2ozxxdj4,False,True,False,False,True,CEL,CEL,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,D 1-1,Claudio Giráldez,50.0,55.0,33.3%,36.7%,14.0,20.0,2.0,21.0,32,21.3%,63.3%,76.8%,68,10.0,84.0,9.0,84,2.0,26,0.0,46.6%,4.0,3.0,0.0,132.0,228.0,75.0,141.0,30.0,303,16.0,0.0,1.0,0.0,36.0%,141,0.15,57.0%,41.0,11.0,0.0,1.0,290.0,33.2,14.0,-,20.0%,0.0%,40.0%,28.2%,19.8,36.0%,3.0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3nxmo9ajqnht9425i3n9szevo,2026-05-12 17:00:00,6f27yvbqcngegwsg2ozxxdj4,True,False,False,True,False,CEL,CEL,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855.0,L 2-3,Claudio Giráldez,21.0,171.0,33.3%,38.1%,11.0,11.0,2.0,60.0,83,54.8%,60.2%,53.1%,45,28.0,110.0,16.0,110,7.0,84,1.0,46.2%,4.0,7.0,0.0,78.0,130.0,110.0,87.0,75.0,240,10.0,2.0,0.0,0.0,28.0%,163,2.18,42.4%,10.0,22.0,2.0,3.0,351.0,32.0,15.0,-,3.4%,10.3%,6.9%,43.6%,32.5,28.0%,11.0,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3k57p4cr98z0cknr4b39kaivo,2026-05-09 16:30:00,6f27yvbqcngegwsg2ozxxdj4,False,True,True,False,False,CEL,CEL,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,W 1-0,Claudio Giráldez,37.0,75.0,26.1%,26.1%,20.0,19.0,2.0,48.0,42,33.7%,52.8%,65.6%,65,19.0,94.0,6.0,94,2.0,34,0.0,42.7%,8.0,4.0,0.0,111.0,177.0,96.0,114.0,48.0,273,13.0,0.0,1.0,0.0,30.1%,141,0.13,52.5%,26.0,13.0,0.0,0.0,207.0,34.2,10.0,-,11.8%,23.5%,0.0%,33.9%,20.6,30.1%,3.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3h5n4m7klbnl9dx9yx9w5zk7o,2026-05-03 12:00:00,6f27yvbqcngegwsg2ozxxdj4,True,False,True,False,False,CEL,CEL,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,W 3-1,Claudio Giráldez,19.0,100.0,12.1%,27.3%,13.0,22.0,5.0,27.0,43,26.0%,41.4%,59.5%,49,23.0,69.0,18.0,69,3.0,33,1.0,49.3%,2.0,5.0,0.0,106.0,206.0,136.0,169.0,67.0,342,11.0,2.0,0.0,1.0,41.5%,127,1.05,50.0%,37.0,11.0,0.0,0.0,208.0,30.7,15.0,-,25.0%,10.0%,40.0%,78.7%,18.5,41.5%,6.0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3b3hklhztdbiyiwxo9qwh80lw,2026-04-26 19:00:00,6f27yvbqcngegwsg2ozxxdj4,False,True,False,True,False,CEL,CEL,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449.0,L 1-2,Claudio Giráldez,32.0,227.0,19.4%,29.0%,15.0,24.0,2.0,78.0,99,64.1%,43.7%,47.2%,54,29.0,127.0,16.0,127,8.0,87,0.0,50.0%,6.0,6.0,0.0,65.0,103.0,194.0,106.0,126.0,297,3.0,1.0,0.0,0.0,25.6%,139,1.98,58.3%,15.0,24.0,2.0,2.0,395.0,32.6,13.0,-,5.0%,7.5%,15.0%,4.8%,32.2,25.6%,9.0,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3cmwlyivmqd5wesvf6o13mtjo,2026-04-22 19:30:00,6f27yvbqcngegwsg2ozxxdj4,False,True,False,True,False,CEL,CEL,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,L 0-1,Claudio Giráldez,24.0,130.0,26.9%,30.8%,15.0,21.0,2.0,41.0,39,34.1%,44.3%,58.6%,63,29.0,104.0,16.0,104,3.0,65,0.0,45.7%,6.0,3.0,0.0,100.0,197.0,162.0,181.0,78.0,359,6.0,0.0,0.0,0.0,26.7%,121,0.8,54.7%,22.0,10.0,1.0,1.0,258.0,32.2,21.0,-,11.1%,11.1%,33.3%,12.8%,29.1,26.7%,6.0,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),35q4pov6mhtlujc68n1nz7bpw,2026-04-12 16:30:00,6f27yvbqcngegwsg2ozxxdj4,True,False,False,True,False,CEL,CEL,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,L 0-3,Claudio Giráldez,13.0,269.0,54.1%,56.8%,23.0,18.0,6.0,83.0,84,76.2%,58.9%,43.5%,70,36.0,149.0,15.0,149,7.0,127,0.0,54.9%,5.0,13.0,0.0,39.0,102.0,167.0,126.0,104.0,269,6.0,0.0,0.0,0.0,25.9%,178,0.77,53.2%,25.0,15.0,2.0,1.0,438.0,32.9,22.0,-,9.4%,9.4%,6.3%,12.0%,30.4,25.9%,9.0,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),30gnuehy43on5orc9n3sh8pw4,2026-04-05 14:15:00,6f27yvbqcngegwsg2ozxxdj4,False,True,True,False,False,CEL,CEL,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,W 3-2,Claudio Giráldez,22.0,179.0,31.3%,46.9%,18.0,17.0,6.0,63.0,61,63.5%,52.0%,46.6%,45,36.0,102.0,16.0,102,5.0,73,2.0,54.8%,5.0,3.0,1.0,85.0,114.0,111.0,75.0,65.0,225,9.0,3.0,0.0,0.0,28.8%,144,1.24,53.8%,25.0,17.0,4.0,2.0,362.0,35.8,17.0,-,19.0%,4.8%,4.8%,43.5%,23.6,28.8%,9.0,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3036nph9xhmltiks40aso8lck,2026-03-22 15:15:00,6f27yvbqcngegwsg2ozxxdj4,True,False,False,True,False,CEL,CEL,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,L 3-4,Claudio Giráldez,23.0,176.0,24.1%,34.5%,13.0,17.0,2.0,49.0,71,53.1%,56.6%,49.9%,62,21.0,115.0,12.0,115,7.0,87,1.0,54.9%,3.0,5.0,0.0,95.0,142.0,131.0,114.0,64.0,273,13.0,2.0,1.0,0.0,27.1%,137,1.84,61.5%,24.0,24.0,2.0,0.0,360.0,34.3,24.0,-,4.0%,16.0%,16.0%,56.5%,30.2,27.1%,12.0,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
