Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3y3gz2ufpcbu5vkgph7jyg74k,2026-05-23 19:00:00,7h7eg7q7dbwvzww78h9d5eh0h,true,false,false,false,true,GIR,GIR,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,D 1-1,Míchel Sánchez,14,159.00,28.1%,28.1%,10,23,2,46,82,54.1%,57.1%,57.4%,20,10,33,0,33,7.00,55,0,59.2%,2,6,0,74,125,116,90,77,241,7,1,0,0,37.0%,154,0.58,56.0%,37,32,4,4,336,33.5,16.00,-,6.7%,13.3%,20.0%,27.5%,25.4,37.0%,10,19,1
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3rbvenobhbiyu2oz1067g87x0,2026-05-17 17:00:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,false,true,false,GIR,GIR,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,L 0-1,Míchel Sánchez,28,290.00,28.9%,34.2%,20,21,9,79,90,65.9%,38.7%,37.0%,19,25,65,7,65,15.00,87,0,52.9%,7,5,1,81,115,166,79,121,281,7,0,0,0,30.9%,149,2.17,49.0%,27,41,5,2,374,37.1,40.00,-,25.0%,10.0%,20.0%,11.5%,25.7,30.9%,25,25,1
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ooiol9lfrmnu1bfpa099xhxw,2026-05-14 18:00:00,7h7eg7q7dbwvzww78h9d5eh0h,true,false,false,false,true,GIR,GIR,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,D 1-1,Míchel Sánchez,16,388.00,35.0%,57.5%,29,10,7,70,110,80.6%,34.2%,26.7%,20,18,66,10,66,22.00,133,0,54.7%,4,6,0,41,85,156,97,103,241,2,1,0,0,30.5%,171,2.11,52.4%,24,45,4,12,458,32.3,22.00,-,20.4%,7.4%,20.4%,29.4%,31.9,30.5%,29,42,3
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3je81f1r98u8rqsk99bzjwyl0,2026-05-11 19:00:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,false,false,true,GIR,GIR,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,D 1-1,Míchel Sánchez,25,117.00,17.6%,23.5%,12,29,5,38,60,40.4%,41.6%,61.3%,18,7,30,2,30,6.00,32,0,51.6%,6,3,0,99,170,128,124,75,298,8,1,0,0,37.3%,128,0.98,53.0%,27,24,0,1,266,34.5,18.00,-,21.4%,7.1%,14.3%,21.3%,21.5,37.3%,9,12,2
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3i9z3nd0s3lxkt3l5hpy8wil0,2026-05-01 19:00:00,7h7eg7q7dbwvzww78h9d5eh0h,true,false,false,true,false,GIR,GIR,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,L 0-1,Míchel Sánchez,26,207.00,35.3%,38.2%,22,17,4,58,57,60.0%,57.5%,52.4%,25,19,54,8,54,10.00,64,0,49.3%,5,8,0,69,125,133,106,83,258,7,0,0,0,30.3%,154,1.72,61.1%,30,24,4,4,285,31.9,23.00,-,17.9%,17.9%,17.9%,23.2%,29.1,30.3%,14,28,6
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),380ebum8hdpxn90su6vzm4bo4,2026-04-25 16:30:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,false,true,false,GIR,GIR,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,L 1-2,Míchel Sánchez,25,163.00,22.0%,31.7%,20,27,2,58,75,60.0%,65.0%,57.6%,33,21,61,9,61,2.00,67,0,57.0%,7,7,0,81,129,108,95,61,237,6,1,0,0,33.0%,185,1.56,68.7%,32,28,1,2,363,32.7,27.00,-,9.4%,3.1%,21.9%,16.3%,27.9,33.0%,7,14,2
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3eve0z8ko67bbailw6nhbl3x0,2026-04-21 19:30:00,7h7eg7q7dbwvzww78h9d5eh0h,true,false,false,true,false,GIR,GIR,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,L 2-3,Míchel Sánchez,16,191.00,33.3%,38.9%,17,23,2,59,116,59.8%,53.0%,51.0%,27,15,58,4,58,5.00,96,0,46.8%,4,6,0,51,104,105,97,61,209,6,2,0,0,23.6%,136,1.49,59.2%,18,32,3,0,477,35.2,24.00,-,12.1%,6.1%,18.2%,40.5%,35.8,23.6%,9,11,2
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),34m6ahxmkq28k9h8al6i9gsno,2026-04-10 19:00:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,false,false,true,GIR,GIR,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,D 1-1,Míchel Sánchez,64,114.00,5.0%,10.0%,6,18,2,35,60,33.3%,44.8%,61.6%,23,12,43,4,43,7.00,60,0,51.6%,1,8,0,147,208,93,109,45,301,11,1,0,0,28.2%,110,0.47,58.3%,23,21,0,0,253,33.4,11.00,-,15.8%,5.3%,26.3%,14.6%,26.3,28.2%,10,5,0
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),32qxs3ohgfo1bgb2g7k7we9zo,2026-04-06 19:00:00,7h7eg7q7dbwvzww78h9d5eh0h,true,false,true,false,false,GIR,GIR,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,W 1-0,Míchel Sánchez,29,208.00,25.8%,38.7%,15,26,11,58,65,60.2%,47.5%,48.1%,26,20,63,9,63,10.00,71,0,60.4%,9,5,0,90,139,149,103,95,288,5,1,0,0,32.1%,166,0.48,55.6%,21,23,0,3,373,34.6,27.00,-,14.3%,0.0%,14.3%,68.3%,26.1,32.1%,10,19,1
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2x2xudpjc4s1hoolcluxehudw,2026-03-21 17:30:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,false,true,false,GIR,GIR,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,L 0-1,Míchel Sánchez,28,170.00,41.4%,41.4%,18,23,6,35,98,50.7%,53.3%,57.3%,36,10,57,4,57,3.00,71,0,54.8%,6,11,0,92,141,131,103,77,272,5,0,0,0,27.1%,134,0.21,57.4%,36,32,0,1,437,36.2,16.00,-,8.3%,4.2%,8.3%,13.3%,33.2,27.1%,5,11,0
