Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3w881304b6s154go90fihrjtg,2026-05-23 19:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,False,True,False,True,False,OSA,OSA,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,L 0-1,Alessio Lisci,13.0,108.0,46.4%,50.0%,18.0,12.0,3.0,23.0,19,47.0%,46.5%,57.3%,15,10.0,25.0,3.0,25,8.0,15,0.0,59.8%,7.0,5.0,0.0,70.0,109.0,105.0,75.0,69.0,214,5.0,0.0,0.0,0.0,55.7%,123,0.51,55.2%,41.0,6.0,6.0,1.0,90.0,36.9,10.0,-,48.0%,8.0%,16.0%,18.0%,19.0,55.7%,11.0,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ty1scc4fcein2b664ssgnwus,2026-05-17 17:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,True,False,False,True,False,OSA,OSA,c8llrezkm3b3op4afrou6b487,ESP,ESP,177.0,L 1-2,Alessio Lisci,9.0,225.0,50.0%,55.9%,16.0,17.0,2.0,64.0,106,74.6%,61.2%,44.0%,35,18.0,70.0,4.0,70,17.0,60,0.0,53.8%,6.0,8.0,0.0,42.0,81.0,127.0,77.0,89.0,208,3.0,0.0,1.0,0.0,33.0%,170,1.72,47.8%,18.0,39.0,9.0,7.0,428.0,34.7,23.0,-,20.9%,14.0%,18.6%,27.1%,34.3,33.0%,24.0,43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3pfak8vavaxumsfvxz2yo48wk,2026-05-12 19:30:00,2l0ldgiwsgb8d6y3z0sfgjzyj,True,False,False,True,False,OSA,OSA,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,L 1-2,Alessio Lisci,15.0,267.0,35.9%,38.5%,20.0,23.0,4.0,63.0,67,72.0%,43.3%,33.5%,31,19.0,62.0,5.0,62,18.0,82,0.0,43.0%,4.0,6.0,0.0,37.0,80.0,145.0,86.0,102.0,225,2.0,1.0,0.0,0.0,33.5%,161,2.3,50.0%,19.0,22.0,11.0,6.0,270.0,32.0,16.0,-,17.1%,5.7%,25.7%,16.9%,33.8,33.5%,23.0,49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3kvn4dplqj7ecztktcd1afhuc,2026-05-08 19:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,False,True,False,True,False,OSA,OSA,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855.0,L 2-3,Alessio Lisci,56.0,47.0,33.3%,38.1%,5.0,18.0,1.0,12.0,23,16.2%,51.3%,77.1%,30,5.0,34.0,1.0,34,2.0,14,0.0,45.7%,4.0,1.0,0.0,128.0,199.0,81.0,113.0,39.0,280,17.0,2.0,0.0,0.0,42.7%,114,0.63,56.9%,29.0,8.0,3.0,0.0,165.0,33.3,11.0,-,14.3%,0.0%,28.6%,27.7%,18.7,42.7%,5.0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3j0vwkubszbtkr21f7upb4il0,2026-05-02 19:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,True,False,False,True,False,OSA,OSA,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,L 1-2,Alessio Lisci,30.0,111.0,24.2%,27.3%,7.0,18.0,3.0,22.0,28,25.3%,37.6%,55.0%,19,7.0,28.0,4.0,28,7.0,32,0.0,49.8%,5.0,5.0,0.0,140.0,213.0,132.0,125.0,80.0,345,14.0,1.0,0.0,0.0,44.1%,120,0.8,57.8%,21.0,11.0,0.0,0.0,139.0,33.5,19.0,-,17.6%,29.4%,23.5%,19.2%,19.6,44.1%,9.0,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),39ifvpi5wnexvu36qh4irjbx0,2026-04-26 16:30:00,2l0ldgiwsgb8d6y3z0sfgjzyj,True,False,True,False,False,OSA,OSA,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179.0,W 2-1,Alessio Lisci,9.0,183.0,46.7%,50.0%,22.0,14.0,3.0,56.0,54,59.2%,61.7%,56.0%,22,14.0,42.0,4.0,42,8.0,43,0.0,51.8%,7.0,2.0,0.0,58.0,121.0,110.0,99.0,74.0,231,6.0,2.0,0.0,0.0,35.7%,173,1.43,58.7%,39.0,23.0,9.0,8.0,267.0,35.7,19.0,-,31.4%,0.0%,11.4%,33.8%,25.9,35.7%,15.0,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3c9hm7srm769qr9qfg4prhlhw,2026-04-21 17:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,False,True,False,True,False,OSA,OSA,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,L 0-1,Alessio Lisci,15.0,114.0,31.0%,37.9%,9.0,25.0,2.0,38.0,84,60.1%,67.4%,66.3%,28,10.0,44.0,3.0,44,5.0,26,0.0,50.9%,6.0,8.0,0.0,58.0,102.0,101.0,85.0,60.0,203,6.0,0.0,0.0,0.0,27.7%,151,1.17,61.5%,26.0,21.0,2.0,3.0,398.0,36.6,21.0,-,21.1%,10.5%,5.3%,11.1%,38.9,27.7%,8.0,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),37mlon39zla9t9jjetz0zei38,2026-04-12 12:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,True,False,False,False,True,OSA,OSA,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,D 1-1,Alessio Lisci,13.0,203.0,46.2%,51.3%,21.0,20.0,5.0,60.0,76,54.9%,47.4%,51.2%,29,11.0,52.0,11.0,52,8.0,65,1.0,51.5%,5.0,5.0,0.0,70.0,128.0,156.0,124.0,90.0,284,4.0,1.0,0.0,0.0,33.3%,151,1.45,48.2%,24.0,27.0,2.0,4.0,319.0,35.3,24.0,-,34.2%,7.9%,18.4%,29.8%,25.2,33.3%,12.0,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),31mkjysd2ypln9u9s88ge8qhg,2026-04-05 19:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,False,True,False,False,True,OSA,OSA,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,D 2-2,Alessio Lisci,24.0,107.0,13.0%,21.7%,13.0,18.0,1.0,43.0,59,44.4%,57.1%,60.7%,26,10.0,49.0,3.0,49,5.0,38,0.0,47.5%,8.0,4.0,0.0,76.0,135.0,98.0,109.0,47.0,232,12.0,2.0,0.0,0.0,34.0%,144,1.24,51.9%,29.0,16.0,4.0,1.0,266.0,39.8,6.0,-,27.8%,11.1%,11.1%,39.7%,27.9,34.0%,8.0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2x2xudpjc4s1hoolcluxehudw,2026-03-21 17:30:00,2l0ldgiwsgb8d6y3z0sfgjzyj,True,False,True,False,False,OSA,OSA,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,W 1-0,Alessio Lisci,16.0,168.0,21.9%,34.4%,17.0,18.0,6.0,52.0,76,49.3%,46.7%,54.6%,30,19.0,55.0,5.0,55,11.0,42,0.0,47.1%,6.0,13.0,0.0,80.0,144.0,167.0,122.0,109.0,311,3.0,1.0,0.0,0.0,27.4%,121,1.71,50.8%,25.0,30.0,6.0,1.0,383.0,35.0,25.0,-,33.3%,6.7%,16.7%,55.6%,28.1,27.4%,19.0,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
