Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
1.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3vhe91racce86uhq0b3mw29sk,2026-05-23 19:00:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,L 0-1,22.0,161.0,24.2%,36.4%,24.0,15.0,5.0,45.0,62,47.3%,44.5%,53.3%,52,14.0,93.0,10.0,93,7.0,46,0.0,46.5%,10.0,4.0,0.0,60.0,120.0,120.0,115.0,65.0,240,8.0,0.0,0.0,0.0,30.3%,132,0.82,50.0%,23.0,19.0,2.0,2.0,340.0,35.0,17.0,-,42.9%,0.0%,17.9%,14.4%,21.4,30.3%,9.0,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ubq4xhedh6kqvsb2d7cvw650,2026-05-17 17:00:00,10eyb18v5puw4ez03ocaug09m,True,False,False,True,False,SEV,SEV,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186.0,L 0-1,29.0,173.0,34.3%,40.0%,15.0,23.0,11.0,43.0,63,53.2%,33.6%,47.9%,24,18.0,46.0,4.0,46,14.0,43,0.0,56.1%,9.0,3.0,0.0,69.0,113.0,132.0,100.0,76.0,245,7.0,0.0,0.0,0.0,35.9%,129,0.72,74.1%,30.0,21.0,2.0,2.0,286.0,33.1,17.0,-,25.8%,6.5%,29.0%,12.9%,17.0,35.9%,14.0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3q7xe5wdnb9goknf23kydt8no,2026-05-13 17:00:00,10eyb18v5puw4ez03ocaug09m,False,True,True,False,False,SEV,SEV,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449.0,W 3-2,23.0,125.0,13.6%,18.2%,12.0,14.0,3.0,33.0,63,34.8%,40.3%,57.5%,19,9.0,37.0,3.0,37,8.0,24,3.0,47.1%,4.0,2.0,0.0,90.0,144.0,109.0,100.0,63.0,253,7.0,2.0,1.0,0.0,34.0%,111,0.87,67.9%,26.0,20.0,2.0,2.0,236.0,33.8,25.0,-,18.2%,4.5%,27.3%,26.1%,27.2,34.0%,13.0,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3mfg133s0kwtlbnaes34dxhxw,2026-05-09 14:15:00,10eyb18v5puw4ez03ocaug09m,True,False,True,False,False,SEV,SEV,c8llrezkm3b3op4afrou6b487,ESP,ESP,177.0,W 2-1,13.0,159.0,40.0%,45.0%,24.0,15.0,3.0,35.0,61,65.5%,62.7%,53.9%,29,12.0,47.0,5.0,47,14.0,24,0.0,51.1%,10.0,5.0,0.0,45.0,103.0,110.0,96.0,72.0,213,6.0,1.0,0.0,1.0,36.2%,155,1.38,59.7%,37.0,22.0,4.0,4.0,276.0,36.3,15.0,-,29.2%,12.5%,12.5%,42.1%,24.5,36.2%,21.0,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3fzj97pollbznset694q593bo,2026-05-04 19:00:00,10eyb18v5puw4ez03ocaug09m,True,False,True,False,False,SEV,SEV,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,W 1-0,13.0,138.0,30.8%,34.6%,24.0,14.0,5.0,35.0,47,44.0%,39.7%,55.9%,27,12.0,41.0,3.0,41,13.0,39,0.0,47.2%,5.0,1.0,0.0,58.0,132.0,144.0,156.0,62.0,276,4.0,1.0,0.0,0.0,39.2%,135,1.82,58.2%,38.0,17.0,0.0,4.0,252.0,36.5,14.0,-,42.9%,0.0%,28.6%,62.6%,22.6,39.2%,19.0,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),39ifvpi5wnexvu36qh4irjbx0,2026-04-26 16:30:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,L 1-2,24.0,112.0,27.6%,31.0%,19.0,18.0,2.0,28.0,33,40.8%,38.3%,55.3%,22,10.0,40.0,2.0,40,5.0,34,0.0,55.2%,5.0,6.0,0.0,101.0,167.0,144.0,123.0,87.0,311,10.0,1.0,0.0,0.0,43.9%,136,0.4,50.0%,37.0,12.0,5.0,3.0,191.0,34.1,15.0,-,35.3%,5.9%,35.3%,24.4%,21.4,43.9%,8.0,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3d093m8yc27r7p3gumt3gg4d0,2026-04-23 17:00:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855.0,L 0-2,13.0,106.0,25.0%,34.4%,20.0,19.0,2.0,35.0,45,54.7%,58.7%,63.7%,27,10.0,44.0,4.0,44,3.0,27,0.0,47.1%,3.0,7.0,0.0,48.0,98.0,110.0,92.0,67.0,207,3.0,0.0,0.0,0.0,38.5%,161,0.28,55.4%,25.0,13.0,2.0,4.0,248.0,33.8,16.0,-,20.8%,0.0%,12.5%,10.9%,25.5,38.5%,7.0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3799288svdt7jtyvzloemtt04,2026-04-11 19:00:00,10eyb18v5puw4ez03ocaug09m,True,False,True,False,False,SEV,SEV,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,W 2-1,25.0,129.0,25.8%,32.3%,14.0,20.0,2.0,29.0,29,32.6%,32.2%,53.1%,21,12.0,37.0,7.0,37,8.0,33,0.0,56.4%,6.0,1.0,0.0,97.0,159.0,111.0,109.0,64.0,270,8.0,2.0,0.0,0.0,47.4%,120,2.01,70.2%,28.0,12.0,0.0,5.0,145.0,29.7,22.0,-,11.8%,17.6%,47.1%,61.3%,24.7,47.4%,11.0,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),33hvcbq5xmb0wo3x4r5p3w1ec,2026-04-05 16:30:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,L 0-1,12.0,108.0,29.0%,35.5%,15.0,16.0,2.0,20.0,22,35.1%,29.6%,48.2%,19,15.0,41.0,8.0,41,7.0,20,0.0,48.6%,14.0,9.0,0.0,71.0,131.0,148.0,135.0,73.0,279,7.0,0.0,0.0,0.0,51.2%,107,0.57,65.0%,17.0,4.0,1.0,1.0,102.0,37.5,12.0,-,27.8%,11.1%,33.3%,8.6%,23.5,51.2%,9.0,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2zpoy8pxorsqwffemhjkcff2s,2026-03-21 20:00:00,10eyb18v5puw4ez03ocaug09m,True,False,False,True,False,SEV,SEV,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,L 0-2,14.0,202.0,25.6%,37.2%,33.0,14.0,6.0,45.0,60,72.2%,47.7%,46.0%,18,19.0,48.0,7.0,48,9.0,53,0.0,54.5%,5.0,7.0,0.0,36.0,82.0,165.0,105.0,106.0,247,4.0,0.0,0.0,0.0,28.1%,139,0.4,63.3%,33.0,26.0,4.0,4.0,379.0,34.8,13.0,-,13.8%,0.0%,17.2%,17.4%,21.4,28.1%,13.0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2v65xqf9xnj8r2gxj9akbtqfo,2026-03-15 15:15:00,10eyb18v5puw4ez03ocaug09m,False,True,False,True,False,SEV,SEV,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,L 2-5,26.0,94.0,22.7%,36.4%,16.0,17.0,2.0,32.0,33,33.1%,42.4%,67.4%,32,9.0,42.0,7.0,42,4.0,23,0.0,47.6%,10.0,7.0,0.0,60.0,156.0,164.0,208.0,52.0,320,9.0,2.0,0.0,0.0,34.2%,130,0.83,48.2%,22.0,11.0,1.0,0.0,240.0,37.3,13.0,-,27.8%,11.1%,16.7%,3.4%,20.1,34.2%,8.0,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2pwdpb63byqohajaokb5793pw,2026-03-08 18:30:00,10eyb18v5puw4ez03ocaug09m,True,False,False,False,True,SEV,SEV,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,D 1-1,10.0,132.0,24.2%,27.3%,12.0,19.0,3.0,25.0,45,46.3%,39.2%,56.5%,22,16.0,36.0,2.0,36,4.0,28,0.0,57.3%,6.0,5.0,1.0,55.0,118.0,119.0,111.0,71.0,237,5.0,1.0,0.0,0.0,41.3%,117,1.0,67.2%,29.0,13.0,2.0,2.0,193.0,32.5,29.0,-,25.0%,15.0%,20.0%,40.8%,25.1,41.3%,11.0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
