Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
ALA,Jonny Otto (Defender),90.0,0.0,38.7,45.2,1.0,83.3,0.0,3.0,1.0,5.0,1.0,3.0,3.0,4.0,7.0,0.0,2.0,0.0,0.0,5.0,0.0,16.0,3.0,45.5,15.0,0.0,0.0,2.0,1.0,0.0,27.3,18.2,45.5,1.0,21.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,47.0,33.0,90.9,100.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,66.7,100.0,1.0,2026-08-15,2026-08-15_ALA-GET,GET,Jonny Otto,Defender
ALA,Denis Suárez (Midfielder),57.0,1.0,38.7,45.2,3.16,42.9,0.0,10.0,8.0,4.0,0.0,7.0,4.0,1.0,5.0,1.0,4.0,0.0,4.0,3.0,0.0,30.0,0.0,46.2,12.0,0.37,0.0,0.0,0.0,0.0,19.2,26.9,46.2,0.0,21.0,3.0,0.0,3.0,5.0,1.0,0.0,0.0,34.0,26.0,69.2,57.1,3.0,0.0,0.14,0.0,0.37,1.0,1.0,1.0,100.0,,0.0,,2.0,2026-08-15,2026-08-15_ALA-GET,GET,Denis Suárez,Midfielder
ALA,Toni Martínez (Striker),90.0,4.0,38.7,45.2,1.0,50.0,0.0,1.0,5.0,3.0,0.0,7.0,2.0,0.0,2.0,1.0,4.0,0.0,6.0,3.0,0.0,26.0,3.0,46.2,6.0,0.107,0.0,3.0,1.0,2.0,23.1,7.7,46.2,0.0,10.0,2.0,0.0,12.0,0.0,0.0,7.0,0.0,27.0,13.0,69.2,71.4,2.0,0.0,0.01,0.0,0.32,3.0,3.0,0.0,0.0,33.3,50.0,42.9,1.0,2026-08-15,2026-08-15_ALA-GET,GET,Toni Martínez,Striker
ALA,Antonio Sivera (Goalkeeper),90.0,0.0,38.7,45.2,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,15.0,0.0,0.0,1.0,0.0,0.0,9.5,19.0,71.4,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,21.0,71.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,2026-08-15,2026-08-15_ALA-GET,GET,Antonio Sivera,Goalkeeper
ALA,Antonio Blanco (Midfielder),89.0,0.0,38.7,45.2,2.02,80.0,0.0,5.0,5.0,1.0,1.0,3.0,2.0,4.0,6.0,3.0,4.0,0.0,0.0,2.0,0.0,36.0,2.0,26.2,11.0,0.025,0.0,1.0,1.0,0.0,38.1,14.3,26.2,0.0,36.0,1.0,1.0,12.0,1.0,0.0,2.0,0.0,53.0,42.0,92.9,66.7,1.0,0.0,0.02,0.0,0.07,3.0,3.0,0.0,0.0,25.0,33.3,100.0,2.0,2026-08-15,2026-08-15_ALA-GET,GET,Antonio Blanco,Midfielder
ALA,N. Tenaglia (Defender),90.0,2.0,38.7,45.2,6.0,28.6,0.0,13.0,5.0,7.0,2.0,6.0,5.0,1.0,6.0,1.0,4.0,0.0,0.0,6.0,1.0,22.0,5.0,44.3,27.0,0.103,1.0,6.0,3.0,0.0,11.5,27.9,44.3,1.0,45.0,0.0,0.0,14.0,0.0,1.0,5.0,1.0,81.0,61.0,85.2,100.0,0.0,0.0,0.03,1.0,0.31,1.0,3.0,1.0,33.3,50.0,50.0,40.0,6.0,2026-08-15,2026-08-15_ALA-GET,GET,N. Tenaglia,Defender
ALA,Pablo Ibáñez (Midfielder),90.0,0.0,38.7,45.2,2.0,45.5,0.0,9.0,9.0,5.0,1.0,5.0,3.0,1.0,4.0,0.0,4.0,1.0,2.0,6.0,0.0,43.0,2.0,43.3,13.0,0.0,1.0,1.0,0.0,0.0,26.7,16.7,43.3,4.0,26.0,0.0,2.0,11.0,1.0,0.0,1.0,4.0,47.0,30.0,76.7,40.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,27.3,100.0,3.0,2026-08-15,2026-08-15_ALA-GET,GET,Pablo Ibáñez,Midfielder
ALA,V. Koski (Defender),90.0,0.0,38.7,45.2,0.0,25.0,0.0,6.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,9.0,1.0,24.1,13.0,0.0,0.0,3.0,2.0,0.0,46.3,25.9,24.1,1.0,43.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,58.0,54.0,90.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,50.0,33.3,0.0,2026-08-15,2026-08-15_ALA-GET,GET,V. Koski,Defender
ALA,A. Rebbach (Midfielder),89.0,0.0,38.7,45.2,3.03,25.0,0.0,4.0,14.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,1.0,33.0,6.0,37.5,6.0,0.017,0.0,0.0,0.0,0.0,37.5,12.5,37.5,2.0,15.0,0.0,2.0,9.0,5.0,0.0,2.0,2.0,40.0,16.0,50.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,1.0,1.0,100.0,20.0,88.9,100.0,3.0,2026-08-15,2026-08-15_ALA-GET,GET,A. Rebbach,Midfielder
ALA,Ángel Pérez (Midfielder),65.0,0.0,38.7,45.2,1.38,,0.0,2.0,8.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,10.0,3.0,18.2,2.0,0.071,0.0,2.0,0.0,0.0,0.0,27.3,18.2,2.0,12.0,0.0,1.0,5.0,3.0,0.0,0.0,2.0,32.0,11.0,81.8,100.0,0.0,0.0,0.06,0.0,0.07,1.0,1.0,1.0,100.0,50.0,60.0,,1.0,2026-08-15,2026-08-15_ALA-GET,GET,Ángel Pérez,Midfielder
