Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
DEP,Ximo Navarro (Defender),90.0,0.0,28.1,40.6,5.0,75.0,0.0,5.0,5.0,7.0,1.0,5.0,3.0,4.0,7.0,0.0,1.0,0.0,2.0,6.0,1.0,35.0,4.0,25.0,9.0,0.0,0.0,2.0,1.0,0.0,2.8,36.1,25.0,2.0,31.0,0.0,1.0,8.0,2.0,0.0,0.0,2.0,67.0,36.0,83.3,100.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,25.0,50.0,,5.0,2026-08-17,2026-08-17_DEP-ELC,ELC,Ximo Navarro,Defender
DEP,P. Aubameyang (Striker),85.0,0.0,28.1,40.6,0.0,,0.0,4.0,7.0,0.0,0.0,11.0,1.0,0.0,1.0,1.0,2.0,0.0,7.0,4.0,0.0,50.0,1.0,6.3,1.0,0.046,0.0,2.0,0.0,0.0,25.0,43.8,6.3,2.0,17.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,27.0,16.0,75.0,72.7,1.0,0.0,0.04,1.0,0.09,2.0,2.0,2.0,100.0,,40.0,100.0,0.0,2026-08-17,2026-08-17_DEP-ELC,ELC,P. Aubameyang,Striker
DEP,G. Quagliata (Defender),90.0,0.0,28.1,40.6,2.0,0.0,0.0,4.0,10.0,5.0,0.0,9.0,6.0,1.0,7.0,0.0,3.0,0.0,3.0,5.0,0.0,25.0,2.0,26.7,8.0,0.0,1.0,1.0,0.0,0.0,46.7,0.0,26.7,3.0,32.0,1.0,0.0,8.0,3.0,0.0,1.0,3.0,60.0,30.0,80.0,88.9,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,,,25.0,0.0,2.0,2026-08-17,2026-08-17_DEP-ELC,ELC,G. Quagliata,Defender
DEP,Leo Román (Goalkeeper),90.0,0.0,28.1,40.6,0.0,50.0,0.0,2.0,0.0,9.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,54.5,18.0,0.0,0.0,2.0,5.0,0.0,21.2,24.2,54.5,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,33.0,72.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,2026-08-17,2026-08-17_DEP-ELC,ELC,Leo Román,Goalkeeper
DEP,Mario Soriano (Defensive Midfielder),71.0,0.0,28.1,40.6,1.27,66.7,2.0,4.0,4.0,3.0,0.0,4.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0,4.0,1.0,30.0,4.0,21.4,9.0,0.043,2.0,1.0,2.0,0.0,28.6,31.0,21.4,0.0,30.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,53.0,42.0,88.1,75.0,1.0,0.0,0.01,0.0,0.04,0.0,1.0,0.0,0.0,100.0,66.7,,1.0,2026-08-17,2026-08-17_DEP-ELC,ELC,Mario Soriano,Defensive Midfielder
DEP,L. Noubi (Defender),90.0,0.0,28.1,40.6,3.0,33.3,1.0,5.0,1.0,10.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,19.0,1.0,35.8,19.0,0.0,0.0,2.0,6.0,0.0,17.0,41.5,35.8,0.0,42.0,0.0,1.0,9.0,0.0,0.0,6.0,0.0,67.0,53.0,83.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,33.3,33.3,3.0,2026-08-17,2026-08-17_DEP-ELC,ELC,L. Noubi,Defender
DEP,Adrià Alti (Attacking Midfielder),71.0,0.0,28.1,40.6,2.54,50.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,32.0,3.0,21.4,3.0,0.0,0.0,0.0,0.0,0.0,14.3,42.9,21.4,0.0,12.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,21.0,14.0,92.9,100.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,,66.7,60.0,,2.0,2026-08-17,2026-08-17_DEP-ELC,ELC,Adrià Alti,Attacking Midfielder
DEP,J. Jensen (Attacking Midfielder),60.0,0.0,28.1,40.6,3.0,50.0,0.0,1.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,5.0,4.0,1.0,40.0,2.0,22.2,2.0,0.031,1.0,0.0,0.0,0.0,33.3,0.0,22.2,0.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,20.0,9.0,77.8,100.0,0.0,0.0,0.0,0.0,0.03,1.0,1.0,0.0,0.0,100.0,50.0,,2.0,2026-08-17,2026-08-17_DEP-ELC,ELC,J. Jensen,Attacking Midfielder
DEP,L. Amatucci (Defensive Midfielder),90.0,1.0,28.1,40.6,4.0,71.4,0.0,9.0,7.0,4.0,3.0,7.0,6.0,3.0,9.0,0.0,6.0,0.0,0.0,9.0,1.0,48.0,2.0,17.7,11.0,0.0,0.0,1.0,5.0,0.0,37.1,37.1,17.7,0.0,45.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,76.0,62.0,87.1,71.4,1.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,,50.0,37.5,100.0,4.0,2026-08-17,2026-08-17_DEP-ELC,ELC,L. Amatucci,Defensive Midfielder
DEP,B. Ede (Defender),90.0,1.0,28.1,40.6,2.0,75.0,1.0,7.0,2.0,8.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,22.0,2.0,34.2,13.0,0.038,1.0,4.0,1.0,0.0,39.5,2.6,34.2,0.0,33.0,0.0,1.0,7.0,0.0,0.0,4.0,0.0,53.0,38.0,86.8,100.0,0.0,0.0,0.0,0.0,0.04,1.0,1.0,0.0,0.0,50.0,85.7,100.0,2.0,2026-08-17,2026-08-17_DEP-ELC,ELC,B. Ede,Defender
