Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
ELC,M. Dituro (Goalkeeper),90.0,0.0,54.2,58.3,1.0,25.0,1.0,10.0,0.0,16.0,4.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,44.6,25.0,0.0,0.0,0.0,6.0,0.0,23.2,32.1,44.6,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,56.0,71.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2026-08-17,2026-08-17_DEP-ELC,DEP,M. Dituro,Goalkeeper
ELC,Víctor Chust (Defender),90.0,0.0,54.2,58.3,6.0,58.3,2.0,11.0,3.0,8.0,4.0,4.0,1.0,11.0,12.0,0.0,2.0,2.0,0.0,5.0,1.0,7.0,2.0,32.1,26.0,0.0,0.0,5.0,3.0,1.0,40.7,13.6,32.1,0.0,68.0,2.0,1.0,5.0,3.0,0.0,3.0,0.0,97.0,81.0,91.4,100.0,2.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,,50.0,80.0,66.7,6.0,2026-08-17,2026-08-17_DEP-ELC,DEP,Víctor Chust,Defender
ELC,Gonzalo Villar (Midfielder),90.0,2.0,54.2,58.3,2.0,50.0,0.0,2.0,6.0,5.0,2.0,10.0,3.0,0.0,3.0,1.0,13.0,0.0,1.0,5.0,0.0,28.0,7.0,15.5,11.0,0.043,0.0,0.0,0.0,0.0,21.1,35.2,15.5,0.0,58.0,0.0,1.0,12.0,1.0,0.0,3.0,0.0,85.0,71.0,84.5,70.0,1.0,1.0,0.12,0.0,0.09,2.0,2.0,2.0,100.0,0.0,66.7,33.3,2.0,2026-08-17,2026-08-17_DEP-ELC,DEP,Gonzalo Villar,Midfielder
ELC,D. Affengruber (Defender),90.0,1.0,54.2,58.3,6.0,50.0,0.0,5.0,3.0,6.0,3.0,2.0,3.0,6.0,9.0,0.0,3.0,0.0,0.0,5.0,0.0,12.0,5.0,25.0,22.0,0.065,0.0,5.0,0.0,0.0,11.4,56.8,25.0,1.0,71.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,109.0,88.0,94.3,50.0,0.0,0.0,0.01,0.0,0.13,1.0,2.0,0.0,0.0,100.0,83.3,,6.0,2026-08-17,2026-08-17_DEP-ELC,DEP,D. Affengruber,Defender
ELC,Germán Valera (Wing Back),81.0,0.0,54.2,58.3,3.33,50.0,1.0,11.0,8.0,2.0,0.0,11.0,2.0,0.0,2.0,0.0,2.0,1.0,7.0,5.0,1.0,17.0,6.0,31.4,11.0,0.0,1.0,2.0,2.0,0.0,37.1,2.9,31.4,2.0,36.0,1.0,0.0,9.0,5.0,0.0,0.0,2.0,55.0,35.0,88.6,90.9,1.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,,100.0,66.7,,4.0,2026-08-17,2026-08-17_DEP-ELC,DEP,Germán Valera,Wing Back
ELC,Marc Aguado (Midfielder),90.0,1.0,54.2,58.3,6.0,75.0,0.0,2.0,3.0,2.0,5.0,3.0,1.0,1.0,2.0,1.0,6.0,0.0,2.0,4.0,1.0,38.0,1.0,21.5,14.0,0.045,0.0,0.0,1.0,0.0,26.2,36.9,21.5,0.0,48.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,69.0,65.0,92.3,33.3,1.0,0.0,0.01,1.0,0.05,1.0,1.0,1.0,100.0,,66.7,100.0,6.0,2026-08-17,2026-08-17_DEP-ELC,DEP,Marc Aguado,Midfielder
ELC,Fer Niño (Striker),69.0,1.0,54.2,58.3,1.3,0.0,0.0,3.0,4.0,6.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,28.0,2.0,21.1,4.0,0.457,0.0,1.0,0.0,0.0,21.1,26.3,21.1,1.0,18.0,0.0,0.0,9.0,0.0,1.0,6.0,1.0,30.0,19.0,73.7,83.3,0.0,0.0,0.02,0.0,0.46,1.0,1.0,1.0,100.0,100.0,44.4,33.3,1.0,2026-08-17,2026-08-17_DEP-ELC,DEP,Fer Niño,Striker
ELC,Martim Neto (Midfielder),60.0,0.0,54.2,58.3,1.5,75.0,0.0,1.0,4.0,1.0,3.0,7.0,3.0,3.0,6.0,0.0,5.0,1.0,3.0,4.0,0.0,33.0,2.0,20.8,5.0,0.0,2.0,0.0,0.0,0.0,29.2,25.0,20.8,1.0,23.0,2.0,1.0,6.0,2.0,0.0,0.0,1.0,33.0,24.0,95.8,100.0,2.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,33.3,,1.0,2026-08-17,2026-08-17_DEP-ELC,DEP,Martim Neto,Midfielder
ELC,F. Redondo (Defender),60.0,2.0,54.2,58.3,6.0,60.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,4.0,2.0,16.0,1.0,18.8,12.0,0.052,0.0,2.0,0.0,1.0,35.9,37.5,18.8,0.0,56.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,73.0,64.0,93.8,,1.0,0.0,0.01,0.0,0.05,0.0,1.0,0.0,0.0,0.0,33.3,0.0,4.0,2026-08-17,2026-08-17_DEP-ELC,DEP,F. Redondo,Defender
ELC,A. Houary (Midfielder),81.0,2.0,54.2,58.3,3.33,33.3,0.0,6.0,10.0,5.0,1.0,12.0,2.0,2.0,4.0,1.0,12.0,0.0,4.0,3.0,0.0,32.0,5.0,22.0,9.0,0.151,3.0,0.0,0.0,0.0,26.8,19.5,22.0,6.0,45.0,2.0,0.0,12.0,1.0,1.0,1.0,6.0,62.0,41.0,87.8,83.3,2.0,0.0,0.03,0.0,0.45,2.0,3.0,1.0,33.3,50.0,41.7,0.0,4.0,2026-08-17,2026-08-17_DEP-ELC,DEP,A. Houary,Midfielder
