Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
GET,Kiko Femenía (Midfielder),42.0,0.0,16.1,22.6,4.29,66.7,0.0,5.0,4.0,3.0,0.0,12.0,4.0,2.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,30.0,9.0,0.0,1.0,0.0,2.0,0.0,6.7,46.7,30.0,0.0,24.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,36.0,30.0,90.0,100.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,,0.0,,2.0,2026-08-15,2026-08-15_ALA-GET,ALA,Kiko Femenía,Midfielder
GET,David Soria (Goalkeeper),90.0,0.0,16.1,22.6,0.0,100.0,0.0,3.0,0.0,14.0,10.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,25.0,0.0,0.0,1.0,6.0,0.0,6.7,10.0,83.3,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,30.0,53.3,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,,,0.0,2026-08-15,2026-08-15_ALA-GET,ALA,David Soria,Goalkeeper
GET,D. Dakonam (Defender),81.0,0.0,16.1,22.6,2.22,66.7,0.0,4.0,2.0,4.0,4.0,1.0,1.0,6.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,55.3,21.0,0.0,0.0,4.0,1.0,0.0,18.4,23.7,55.3,0.0,30.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,46.0,38.0,86.8,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,,,50.0,66.7,2.0,2026-08-15,2026-08-15_ALA-GET,ALA,D. Dakonam,Defender
GET,O. Mangala (Midfielder),90.0,1.0,16.1,22.6,3.0,25.0,0.0,8.0,8.0,1.0,1.0,8.0,1.0,5.0,6.0,0.0,8.0,1.0,0.0,2.0,1.0,22.0,5.0,21.6,8.0,0.06,2.0,1.0,0.0,0.0,37.8,37.8,21.6,2.0,28.0,0.0,2.0,12.0,0.0,0.0,2.0,2.0,52.0,37.0,83.8,50.0,0.0,0.0,0.01,0.0,0.06,0.0,1.0,0.0,0.0,25.0,58.3,100.0,3.0,2026-08-15,2026-08-15_ALA-GET,ALA,O. Mangala,Midfielder
GET,A. Abqar (Defender),90.0,0.0,16.1,22.6,1.0,16.7,0.0,4.0,1.0,8.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,3.0,45.2,14.0,0.0,0.0,7.0,3.0,0.0,32.3,19.4,45.2,0.0,25.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,43.0,31.0,71.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,80.0,100.0,1.0,2026-08-15,2026-08-15_ALA-GET,ALA,A. Abqar,Defender
GET,Z. Romero (Defender),90.0,0.0,16.1,22.6,7.0,80.0,1.0,9.0,3.0,8.0,0.0,3.0,4.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,24.0,6.0,21.6,8.0,0.0,2.0,6.0,1.0,0.0,48.6,10.8,21.6,4.0,22.0,0.0,1.0,14.0,2.0,0.0,4.0,4.0,68.0,37.0,94.6,100.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,50.0,57.1,50.0,7.0,2026-08-15,2026-08-15_ALA-GET,ALA,Z. Romero,Defender
GET,M. Satriano (Striker),73.0,2.0,16.1,22.6,2.47,50.0,0.0,1.0,12.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,23.0,3.0,22.2,4.0,0.034,2.0,2.0,0.0,0.0,44.4,22.2,22.2,1.0,20.0,0.0,0.0,12.0,0.0,0.0,4.0,1.0,31.0,18.0,55.6,50.0,0.0,0.0,0.01,0.0,0.03,1.0,1.0,1.0,100.0,,41.7,50.0,2.0,2026-08-15,2026-08-15_ALA-GET,ALA,M. Satriano,Striker
GET,Ramón Terrats (Midfielder),90.0,0.0,16.1,22.6,1.0,33.3,0.0,10.0,10.0,5.0,1.0,7.0,6.0,1.0,7.0,2.0,5.0,1.0,4.0,1.0,0.0,36.0,9.0,41.4,12.0,0.023,1.0,0.0,2.0,0.0,17.2,17.2,41.4,8.0,28.0,1.0,0.0,15.0,3.0,0.0,2.0,8.0,52.0,29.0,79.3,85.7,1.0,0.0,0.16,0.0,0.05,2.0,2.0,1.0,50.0,,60.0,0.0,1.0,2026-08-15,2026-08-15_ALA-GET,ALA,Ramón Terrats,Midfielder
GET,Mario Martín (Midfielder),66.0,1.0,16.1,22.6,1.36,100.0,1.0,1.0,1.0,2.0,0.0,5.0,3.0,2.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,40.0,5.0,13.6,3.0,0.0,0.0,0.0,1.0,0.0,36.4,22.7,13.6,0.0,15.0,0.0,0.0,11.0,1.0,0.0,4.0,0.0,28.0,22.0,90.9,100.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,,0.0,45.5,0.0,1.0,2026-08-15,2026-08-15_ALA-GET,ALA,Mario Martín,Midfielder
GET,Andrés García (Striker),81.0,0.0,16.1,22.6,1.11,0.0,0.0,2.0,9.0,4.0,0.0,9.0,1.0,2.0,3.0,0.0,4.0,1.0,11.0,2.0,0.0,19.0,1.0,16.7,4.0,0.0,2.0,2.0,0.0,0.0,0.0,20.8,16.7,2.0,24.0,1.0,0.0,6.0,2.0,0.0,2.0,2.0,44.0,24.0,87.5,100.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,16.7,0.0,1.0,2026-08-15,2026-08-15_ALA-GET,ALA,Andrés García,Striker
GET,Davinchi (Midfielder),45.0,0.0,16.1,22.6,4.0,,0.0,4.0,2.0,4.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,14.0,2.0,33.3,3.0,0.0,0.0,2.0,0.0,0.0,44.4,0.0,33.3,1.0,6.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,22.0,9.0,55.6,75.0,1.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,100.0,50.0,0.0,2.0,2026-08-15,2026-08-15_ALA-GET,ALA,Davinchi,Midfielder
GET,E. Ünal (Substitute),45.0,1.0,16.1,22.6,0.0,0.0,0.0,0.0,8.0,3.0,1.0,6.0,1.0,0.0,1.0,1.0,3.0,0.0,6.0,0.0,1.0,30.0,0.0,11.8,2.0,0.086,0.0,0.0,0.0,0.0,29.4,23.5,11.8,0.0,17.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,26.0,17.0,64.7,33.3,0.0,0.0,0.0,0.0,0.09,1.0,1.0,0.0,0.0,0.0,66.7,80.0,0.0,2026-08-15,2026-08-15_ALA-GET,ALA,E. Ünal,Substitute
GET,S. Sazonov (Substitute),9.0,0.0,16.1,22.6,0.0,100.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,66.7,6.0,0.0,0.0,0.0,0.0,0.0,22.2,11.1,66.7,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,9.0,77.8,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,100.0,100.0,,0.0,2026-08-15,2026-08-15_ALA-GET,ALA,S. Sazonov,Substitute
GET,S. Boselli (Substitute),9.0,0.0,16.1,22.6,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2026-08-15,2026-08-15_ALA-GET,ALA,S. Boselli,Substitute
GET,Alberto Risco (Substitute),24.0,0.0,16.1,22.6,3.75,100.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,3.0,25.0,1.0,0.015,1.0,0.0,0.0,0.0,0.0,25.0,25.0,1.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,13.0,4.0,75.0,100.0,0.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,33.3,50.0,,1.0,2026-08-15,2026-08-15_ALA-GET,ALA,Alberto Risco,Substitute
GET,J. Valou (Substitute),17.0,0.0,16.1,22.6,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,33.3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,33.3,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,3.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,2026-08-15,2026-08-15_ALA-GET,ALA,J. Valou,Substitute
GET,Borja Mayoral (Substitute),0.0,0.0,16.1,22.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,2026-08-15,2026-08-15_ALA-GET,ALA,Borja Mayoral,Substitute
