Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
VAL,A. Danjuma (Striker),83.0,3.0,33.3,43.3,2.17,100.0,0.0,3.0,6.0,1.0,0.0,7.0,3.0,0.0,3.0,1.0,5.0,1.0,12.0,3.0,0.0,27.0,2.0,26.7,4.0,0.151,1.0,0.0,1.0,0.0,26.7,26.7,26.7,1.0,19.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,28.0,15.0,93.3,100.0,0.0,0.0,0.02,0.0,0.45,3.0,3.0,0.0,0.0,,40.0,,2.0,2026-08-22,2026-08-22_VAL-CEL,CEL,A. Danjuma,Striker
VAL,José Gayà (Wing Back),69.0,0.0,33.3,43.3,1.3,50.0,0.0,1.0,1.0,3.0,1.0,6.0,2.0,3.0,5.0,0.0,0.0,0.0,6.0,3.0,0.0,19.0,2.0,33.3,8.0,0.0,0.0,1.0,0.0,0.0,45.8,0.0,33.3,0.0,19.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,37.0,24.0,83.3,83.3,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,66.7,,1.0,2026-08-22,2026-08-22_VAL-CEL,CEL,José Gayà,Wing Back
VAL,S. Dimitrievski (Goalkeeper),90.0,0.0,33.3,43.3,3.0,0.0,0.0,9.0,0.0,11.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,65.5,19.0,0.0,0.0,1.0,1.0,0.0,10.3,24.1,65.5,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,29.0,65.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,2026-08-22,2026-08-22_VAL-CEL,CEL,S. Dimitrievski,Goalkeeper
VAL,G. Rodríguez (Midfielder),90.0,0.0,33.3,43.3,8.0,60.0,1.0,6.0,3.0,7.0,1.0,4.0,2.0,5.0,7.0,0.0,11.0,0.0,0.0,5.0,0.0,36.0,4.0,25.4,17.0,0.022,3.0,3.0,5.0,0.0,41.8,22.4,25.4,0.0,49.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,81.0,67.0,89.6,100.0,0.0,0.0,0.02,0.0,0.02,1.0,1.0,1.0,100.0,100.0,60.0,100.0,8.0,2026-08-22,2026-08-22_VAL-CEL,CEL,G. Rodríguez,Midfielder
VAL,Pepelu (Defender),90.0,0.0,33.3,43.3,4.0,63.6,0.0,9.0,2.0,7.0,9.0,2.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,8.0,1.0,11.0,3.0,25.6,21.0,0.033,0.0,7.0,2.0,0.0,25.6,46.3,25.6,0.0,69.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,96.0,82.0,91.5,50.0,0.0,0.0,0.02,0.0,0.03,0.0,1.0,0.0,0.0,0.0,75.0,,4.0,2026-08-22,2026-08-22_VAL-CEL,CEL,Pepelu,Defender
VAL,F. Ugrinic (Midfielder),69.0,0.0,33.3,43.3,3.91,100.0,0.0,5.0,1.0,3.0,0.0,12.0,3.0,2.0,5.0,1.0,10.0,0.0,1.0,5.0,0.0,30.0,4.0,22.5,9.0,0.059,0.0,0.0,2.0,0.0,25.0,32.5,22.5,0.0,39.0,1.0,0.0,6.0,3.0,0.0,1.0,0.0,52.0,40.0,97.5,100.0,1.0,0.0,0.13,0.0,0.12,1.0,2.0,1.0,50.0,100.0,66.7,0.0,3.0,2026-08-22,2026-08-22_VAL-CEL,CEL,F. Ugrinic,Midfielder
VAL,Jesús Vázquez (Wing Back),90.0,1.0,33.3,43.3,2.0,,0.0,3.0,6.0,2.0,0.0,12.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,6.0,0.0,32.0,6.0,3.7,1.0,0.0,0.0,1.0,0.0,0.0,22.2,51.9,3.7,3.0,26.0,0.0,2.0,9.0,1.0,0.0,0.0,3.0,45.0,27.0,88.9,83.3,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,50.0,66.7,,2.0,2026-08-22,2026-08-22_VAL-CEL,CEL,Jesús Vázquez,Wing Back
VAL,J. de Haas (Defender),45.0,0.0,33.3,43.3,4.0,75.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,5.0,7.0,0.0,1.0,0.0,0.0,4.0,0.0,10.0,0.0,50.0,18.0,0.0,0.0,2.0,1.0,0.0,25.0,11.1,50.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,36.0,94.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2.0,2026-08-22,2026-08-22_VAL-CEL,CEL,J. de Haas,Defender
VAL,Javi Guerra (Midfielder),90.0,1.0,33.3,43.3,5.0,75.0,0.0,6.0,13.0,7.0,3.0,15.0,3.0,1.0,4.0,1.0,8.0,0.0,5.0,6.0,0.0,42.0,3.0,28.9,11.0,0.071,1.0,2.0,2.0,0.0,42.1,15.8,28.9,1.0,37.0,1.0,0.0,8.0,3.0,0.0,1.0,1.0,56.0,38.0,71.1,66.7,1.0,0.0,0.03,0.0,0.07,1.0,1.0,0.0,0.0,0.0,37.5,0.0,5.0,2026-08-22,2026-08-22_VAL-CEL,CEL,Javi Guerra,Midfielder
VAL,César Tárrega (Defender),90.0,0.0,33.3,43.3,5.0,80.0,0.0,2.0,1.0,4.0,0.0,3.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,10.0,1.0,25.0,6.0,15.3,9.0,0.0,0.0,3.0,3.0,0.0,3.4,72.9,15.3,0.0,43.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,72.0,59.0,91.5,100.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,60.0,77.8,100.0,5.0,2026-08-22,2026-08-22_VAL-CEL,CEL,César Tárrega,Defender
VAL,R. Sato (Midfielder),57.0,0.0,33.3,43.3,0.0,50.0,0.0,5.0,2.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,5.0,0.0,7.0,4.0,0.0,57.0,1.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,25.0,0.0,21.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,25.0,20.0,90.0,100.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,100.0,50.0,,0.0,2026-08-22,2026-08-22_VAL-CEL,CEL,R. Sato,Midfielder
VAL,Pablo Maffeo (Substitute),21.0,0.0,33.3,43.3,4.29,0.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,0.0,33.3,2.0,0.0,0.0,2.0,0.0,1.0,0.0,33.3,33.3,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,6.0,83.3,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2026-08-22,2026-08-22_VAL-CEL,CEL,Pablo Maffeo,Substitute
VAL,M. Diakhaby (Substitute),45.0,0.0,33.3,43.3,2.0,0.0,0.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,10.0,0.0,22.6,7.0,0.0,0.0,4.0,1.0,0.0,38.7,22.6,22.6,0.0,25.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,41.0,31.0,83.9,100.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,100.0,100.0,1.0,2026-08-22,2026-08-22_VAL-CEL,CEL,M. Diakhaby,Substitute
VAL,U. Sadiq (Substitute),33.0,0.0,33.3,43.3,2.73,0.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,3.0,0.0,19.0,0.0,16.7,1.0,0.0,1.0,0.0,1.0,0.0,50.0,16.7,16.7,1.0,8.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,10.0,6.0,83.3,80.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,20.0,50.0,1.0,2026-08-22,2026-08-22_VAL-CEL,CEL,U. Sadiq,Substitute
VAL,Hugo Duro (Substitute),7.0,0.0,33.3,43.3,12.86,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,2026-08-22,2026-08-22_VAL-CEL,CEL,Hugo Duro,Substitute
VAL,A. Dieng (Substitute),21.0,0.0,33.3,43.3,4.29,,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.3,57.1,0.0,0.0,8.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,11.0,7.0,85.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,2026-08-22,2026-08-22_VAL-CEL,CEL,A. Dieng,Substitute
