Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
VIL,Ayoze Pérez (Striker),56.0,3.0,32.6,44.2,0.0,100.0,0.0,4.0,3.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0,2.0,4.0,0.0,33.0,5.0,42.9,3.0,0.064,0.0,0.0,0.0,0.0,28.6,14.3,42.9,2.0,18.0,1.0,0.0,11.0,0.0,0.0,1.0,2.0,23.0,7.0,100.0,100.0,1.0,0.0,0.01,0.0,0.13,1.0,2.0,1.0,50.0,0.0,45.5,0.0,0.0,2026-08-16,2026-08-16_RAC-VIL,RAC,Ayoze Pérez,Striker
VIL,N. Pepe (Midfielder),77.0,0.0,32.6,44.2,5.84,50.0,0.0,8.0,14.0,6.0,0.0,29.0,6.0,0.0,6.0,0.0,6.0,1.0,9.0,5.0,0.0,33.0,6.0,23.7,9.0,0.04,3.0,0.0,1.0,0.0,7.9,42.1,23.7,8.0,46.0,0.0,0.0,12.0,3.0,0.0,1.0,8.0,68.0,38.0,86.8,89.7,0.0,0.0,0.23,1.0,0.08,2.0,2.0,2.0,100.0,100.0,58.3,100.0,5.0,2026-08-16,2026-08-16_RAC-VIL,RAC,N. Pepe,Midfielder
VIL,Santi Comesaña (Midfielder),56.0,1.0,32.6,44.2,1.61,75.0,0.0,2.0,5.0,1.0,1.0,6.0,3.0,5.0,8.0,0.0,5.0,0.0,1.0,3.0,0.0,32.0,5.0,31.0,9.0,0.0,0.0,2.0,4.0,0.0,17.2,24.1,31.0,1.0,23.0,0.0,2.0,8.0,0.0,0.0,2.0,1.0,45.0,29.0,89.7,66.7,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,,25.0,62.5,0.0,1.0,2026-08-16,2026-08-16_RAC-VIL,RAC,Santi Comesaña,Midfielder
VIL,J. Foyth (Defender),90.0,0.0,32.6,44.2,7.0,80.0,0.0,15.0,1.0,6.0,5.0,1.0,7.0,11.0,18.0,0.0,7.0,0.0,0.0,7.0,1.0,15.0,1.0,34.7,26.0,0.0,0.0,8.0,1.0,0.0,20.0,44.0,34.7,0.0,56.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,96.0,75.0,90.7,100.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,100.0,100.0,100.0,7.0,2026-08-16,2026-08-16_RAC-VIL,RAC,J. Foyth,Defender
VIL,P. Gueye (Midfielder),90.0,0.0,32.6,44.2,5.0,55.6,0.0,1.0,6.0,5.0,4.0,10.0,11.0,7.0,18.0,0.0,14.0,0.0,1.0,7.0,1.0,38.0,3.0,30.4,17.0,0.022,0.0,1.0,5.0,0.0,21.4,37.5,30.4,0.0,48.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,71.0,56.0,83.9,70.0,2.0,0.0,0.13,1.0,0.02,1.0,1.0,1.0,100.0,0.0,60.0,,5.0,2026-08-16,2026-08-16_RAC-VIL,RAC,P. Gueye,Midfielder
VIL,G. Mikautadze (Striker),90.0,8.0,32.6,44.2,2.0,75.0,0.0,6.0,17.0,1.0,1.0,19.0,4.0,1.0,5.0,0.0,11.0,0.0,7.0,7.0,1.0,37.0,5.0,28.6,8.0,0.055,1.0,1.0,1.0,0.0,14.3,32.1,28.6,8.0,33.0,1.0,0.0,14.0,0.0,0.0,2.0,8.0,54.0,28.0,89.3,84.2,2.0,1.0,0.41,0.0,0.22,3.0,4.0,2.0,50.0,0.0,35.7,0.0,3.0,2026-08-16,2026-08-16_RAC-VIL,RAC,G. Mikautadze,Striker
VIL,Alberto Moleiro (Midfielder),56.0,2.0,32.6,44.2,1.61,100.0,0.0,4.0,7.0,0.0,1.0,18.0,3.0,1.0,4.0,0.0,4.0,1.0,5.0,7.0,1.0,13.0,0.0,18.5,5.0,0.0,0.0,0.0,0.0,0.0,40.7,18.5,18.5,1.0,22.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,35.0,27.0,96.3,94.4,2.0,1.0,0.17,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,2026-08-16,2026-08-16_RAC-VIL,RAC,Alberto Moleiro,Midfielder
VIL,Luíz Júnior (Goalkeeper),90.0,0.0,32.6,44.2,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,45.0,9.0,0.0,0.0,0.0,2.0,0.0,30.0,25.0,45.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,20.0,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2026-08-16,2026-08-16_RAC-VIL,RAC,Luíz Júnior,Goalkeeper
VIL,Renato Veiga (Defender),90.0,1.0,32.6,44.2,2.0,100.0,0.0,9.0,3.0,5.0,4.0,4.0,10.0,9.0,19.0,0.0,5.0,0.0,0.0,4.0,0.0,18.0,1.0,26.3,21.0,0.0,1.0,8.0,2.0,0.0,48.8,23.8,26.3,1.0,60.0,0.0,2.0,7.0,0.0,0.0,2.0,1.0,99.0,80.0,95.0,75.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,,0.0,42.9,100.0,2.0,2026-08-16,2026-08-16_RAC-VIL,RAC,Renato Veiga,Defender
VIL,Carlos Romero (Defender),90.0,1.0,32.6,44.2,6.0,75.0,0.0,12.0,7.0,3.0,1.0,20.0,7.0,6.0,13.0,0.0,10.0,1.0,4.0,8.0,1.0,13.0,11.0,24.5,13.0,0.016,0.0,3.0,2.0,0.0,50.9,7.5,24.5,7.0,48.0,0.0,0.0,17.0,1.0,0.0,2.0,7.0,82.0,53.0,94.3,90.0,0.0,0.0,0.1,0.0,0.02,1.0,1.0,0.0,0.0,75.0,70.6,50.0,6.0,2026-08-16,2026-08-16_RAC-VIL,RAC,Carlos Romero,Defender
