Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
LEV,A. Mandi (Defender),90.0,0.0,27.3,31.8,3.0,50.0,0.0,10.0,1.0,4.0,5.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,1.0,21.9,14.0,0.0,0.0,9.0,4.0,0.0,39.1,37.5,21.9,0.0,50.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,77.0,64.0,92.2,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,100.0,62.5,57.1,3.0,2026-08-24,2026-08-24_OSA-LEV,OSA,A. Mandi,Defender
LEV,M. Ryan (Goalkeeper),90.0,0.0,27.3,31.8,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.8,5.0,0.0,0.0,0.0,4.0,0.0,37.5,41.7,20.8,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,24.0,91.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,2026-08-24,2026-08-24_OSA-LEV,OSA,M. Ryan,Goalkeeper
LEV,Adrián de la Fuente (Defender),90.0,2.0,27.3,31.8,4.0,36.4,0.0,8.0,8.0,10.0,4.0,3.0,2.0,7.0,9.0,0.0,3.0,0.0,0.0,2.0,0.0,11.0,0.0,35.2,25.0,0.161,0.0,4.0,2.0,0.0,11.3,40.8,35.2,0.0,54.0,0.0,1.0,4.0,3.0,0.0,2.0,0.0,83.0,71.0,80.3,66.7,0.0,0.0,0.44,0.0,0.16,0.0,1.0,0.0,0.0,,25.0,50.0,4.0,2026-08-24,2026-08-24_OSA-LEV,OSA,Adrián de la Fuente,Defender
LEV,Roger Brugué (Midfielder),90.0,3.0,27.3,31.8,3.0,40.0,0.0,7.0,9.0,2.0,0.0,5.0,3.0,1.0,4.0,0.0,1.0,1.0,8.0,1.0,0.0,35.0,3.0,35.0,7.0,0.176,1.0,1.0,1.0,0.0,5.0,45.0,35.0,0.0,22.0,1.0,0.0,13.0,2.0,1.0,8.0,0.0,36.0,20.0,75.0,100.0,1.0,0.0,0.04,0.0,0.53,2.0,3.0,0.0,0.0,0.0,46.2,37.5,3.0,2026-08-24,2026-08-24_OSA-LEV,OSA,Roger Brugué,Midfielder
LEV,Oriol Rey (Defensive Midfielder),89.0,0.0,27.3,31.8,0.0,50.0,0.0,1.0,3.0,2.0,1.0,6.0,2.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,23.0,1.0,17.1,6.0,0.0,0.0,1.0,2.0,0.0,17.1,45.7,17.1,0.0,24.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,41.0,35.0,91.4,100.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,100.0,25.0,25.0,0.0,2026-08-24,2026-08-24_OSA-LEV,OSA,Oriol Rey,Defensive Midfielder
LEV,Manu Sánchez (Defender),90.0,0.0,27.3,31.8,4.0,28.6,3.0,12.0,5.0,9.0,3.0,5.0,3.0,8.0,11.0,0.0,5.0,2.0,0.0,1.0,0.0,21.0,4.0,39.0,23.0,0.006,1.0,5.0,6.0,0.0,47.5,8.5,39.0,2.0,52.0,0.0,3.0,10.0,2.0,0.0,1.0,2.0,90.0,59.0,84.7,60.0,0.0,0.0,0.03,0.0,0.01,1.0,1.0,0.0,0.0,50.0,40.0,0.0,4.0,2026-08-24,2026-08-24_OSA-LEV,OSA,Manu Sánchez,Defender
LEV,E. Bardeli (Midfielder),90.0,0.0,27.3,31.8,0.0,0.0,0.0,6.0,7.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,3.0,4.0,5.0,2.0,0.0,38.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,1.0,40.0,20.0,12.0,0.0,25.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,31.0,25.0,80.0,71.4,2.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,,50.0,33.3,,0.0,2026-08-24,2026-08-24_OSA-LEV,OSA,E. Bardeli,Midfielder
LEV,Iván Romero (Striker),89.0,2.0,27.3,31.8,2.02,0.0,0.0,1.0,12.0,3.0,0.0,10.0,2.0,0.0,2.0,1.0,4.0,1.0,9.0,2.0,0.0,62.0,5.0,18.8,3.0,0.21,2.0,0.0,1.0,0.0,25.0,18.8,18.8,1.0,16.0,1.0,0.0,18.0,1.0,1.0,8.0,1.0,35.0,16.0,75.0,80.0,1.0,0.0,0.03,0.0,0.42,2.0,2.0,0.0,0.0,33.3,33.3,12.5,2.0,2026-08-24,2026-08-24_OSA-LEV,OSA,Iván Romero,Striker
LEV,Jon Ander Olasagasti (Midfielder),90.0,1.0,27.3,31.8,4.0,20.0,1.0,2.0,16.0,6.0,1.0,13.0,1.0,4.0,5.0,2.0,6.0,2.0,1.0,4.0,0.0,19.0,3.0,43.6,17.0,0.023,0.0,0.0,3.0,1.0,17.9,23.1,43.6,2.0,26.0,3.0,0.0,9.0,7.0,0.0,4.0,2.0,58.0,39.0,71.8,69.2,3.0,0.0,0.33,0.0,0.05,2.0,2.0,1.0,50.0,100.0,55.6,50.0,4.0,2026-08-24,2026-08-24_OSA-LEV,OSA,Jon Ander Olasagasti,Midfielder
LEV,T. Fernández (Midfielder),78.0,0.0,27.3,31.8,1.15,66.7,0.0,5.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,35.0,3.0,33.3,5.0,0.048,0.0,0.0,1.0,0.0,33.3,0.0,33.3,1.0,14.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,25.0,15.0,73.3,55.6,0.0,0.0,0.01,0.0,0.05,0.0,1.0,0.0,0.0,66.7,60.0,0.0,1.0,2026-08-24,2026-08-24_OSA-LEV,OSA,T. Fernández,Midfielder
